,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2673,2673,AV3LVmlE-R03vmj0PFK-,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:24.195Z,2017-08-10T08:50:23.000Z,3674,fcffff0732ffd4ff08ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-88.0,29.5,1502355023.0,1.195,-206,-44,-248,325.38592471094995,33,2017-08-10 16:50:23,56.97727272727275,21.977272727272734,-102.56818181818181,119.37186454711407
2674,2674,AV3LVoCm-R03vmj0PFLS,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:30.181Z,2017-08-10T08:50:29.000Z,3676,fcffff0732ffd1ff09ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85.0,23.0,1502355029.0,1.181,-206,-47,-247,325.04461232267795,33,2017-08-10 16:50:29,56.97727272727275,18.977272727272734,-101.56818181818181,117.99424581501654
2675,2675,AV3LVozy-R03vmj0PFLa,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:33.329Z,2017-08-10T08:50:32.000Z,3677,fcffff0732ffceff0bff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-87.0,28.8,1502355032.0,1.329,-206,-50,-245,323.9768510248842,33,2017-08-10 16:50:32,56.97727272727275,15.977272727272734,-99.56818181818181,115.8253240091224
2676,2676,AV3LVpiF-R03vmj0PFLg,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:36.292Z,2017-08-10T08:50:35.000Z,3678,fcffff0733ffcdff08ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-87.0,30.0,1502355035.0,1.2919999999999998,-205,-51,-248,325.7759966602818,33,2017-08-10 16:50:35,57.97727272727275,14.977272727272734,-102.56818181818181,118.76832394509604
2677,2677,AV3LVrAx-R03vmj0PFL6,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:42.352Z,2017-08-10T08:50:41.000Z,3680,fcffff0735ffd1ff07ff21,yilan,宜蘭市中山路二段,1003,192.168.88.113,-82.0,20.0,1502355041.0,1.3519999999999999,-203,-47,-249,324.6829222487687,33,2017-08-10 16:50:41,59.97727272727275,18.977272727272734,-103.56818181818181,121.17664135092585
2679,2679,AV3LVru_-R03vmj0PFMC,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:45.310Z,2017-08-10T08:50:44.000Z,3681,fcffff0733ffd2ff06ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-76.0,22.5,1502355044.0,1.31,-205,-46,-250,326.55933610907533,33,2017-08-10 16:50:44,57.97727272727275,19.977272727272734,-104.56818181818181,121.22277107570478
2680,2680,AV3LVtLF-R03vmj0PFMX,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:51.204Z,2017-08-10T08:50:50.000Z,3683,fcffff0733ffd3ff06ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-96.0,8.0,1502355050.0,1.204,-205,-45,-250,326.4199748789893,33,2017-08-10 16:50:50,57.97727272727275,20.977272727272734,-104.56818181818181,121.39157620167586
2681,2681,AV3LVt6K-R03vmj0PFMg,parking_record_index_v2,101a0d0100dc,2017-08-10T08:50:54.217Z,2017-08-10T08:50:53.000Z,3684,fcffff0734ffd5ff06ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-88.0,30.0,1502355053.0,1.217,-204,-43,-250,325.5226566615602,33,2017-08-10 16:50:53,58.97727272727275,22.977272727272734,-104.56818181818181,122.23247689992587
2682,2682,AV3LVwHk-R03vmj0PFNI,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:03.263Z,2017-08-10T08:51:02.000Z,3687,fcffff07fdfe87ff53ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-87.0,16.3,1502355062.0,1.263,-259,-121,-173,334.14218530439996,33,2017-08-10 16:51:02,3.977272727272748,-55.022727272727266,-27.568181818181813,61.671094230898504
2683,2683,AV3LVw3S-R03vmj0PFNT,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:06.320Z,2017-08-10T08:51:05.000Z,3688,fcffff07fafeb2ff6eff21,yilan,宜蘭市中山路二段,1003,192.168.88.113,-68.0,20.8,1502355065.0,1.32,-262,-78,-146,309.9096642571832,33,2017-08-10 16:51:05,0.9772727272727479,-12.022727272727266,-0.568181818181813,12.075755199421838
2686,2686,AV3LVxpr-R03vmj0PFNe,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:09.546Z,2017-08-10T08:51:08.000Z,3689,fcffff07f9feb6ff6dff21,yilan,宜蘭市中山路二段,1003,192.168.88.113,-74.0,21.3,1502355068.0,1.546,-263,-74,-147,310.2482876665075,33,2017-08-10 16:51:08,-0.022727272727252057,-8.022727272727266,-1.568181818181813,8.174586450479529
2688,2688,AV3LVzz1-R03vmj0PFN_,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:18.388Z,2017-08-10T08:51:17.000Z,3692,fcffff07f9feb8ff6fff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-134.0,-14.0,1502355077.0,1.3880000000000001,-263,-72,-145,308.8332883612128,33,2017-08-10 16:51:17,-0.022727272727252057,-6.022727272727266,0.431818181818187,6.038230475290521
2690,2690,AV3LV1Qi-R03vmj0PFOk,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:24.321Z,2017-08-10T08:51:23.000Z,3694,fcffff07fafeb8ff6eff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-76.0,-1.0,1502355083.0,1.321,-262,-72,-146,308.45421054023564,33,2017-08-10 16:51:23,0.9772727272727479,-6.022727272727266,-0.568181818181813,6.127898201148279
2691,2691,AV3LV19a-R03vmj0PFOr,parking_record_index_v2,101a0d0100dc,2017-08-10T08:51:27.193Z,2017-08-10T08:51:26.000Z,3695,fcffff07f9feb7ff6fff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-110.8,-5.8,1502355086.0,1.193,-263,-73,-145,309.06795369303495,33,2017-08-10 16:51:26,-0.022727272727252057,-7.022727272727266,0.431818181818187,7.036027417384168
