,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4283,4283,AV3LVmys-R03vmj0PFLB,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:25.067Z,2017-08-10T08:50:24.000Z,3321,fcffff0700ffe5ff92ff25,yilan,宜蘭市中山路二段,1002,10.5.180.50,-100.8,-1.8,1502355024.0,1.067,-256,-27,-110,279.93749302299614,37,2017-08-10 16:50:24,-6.418181818181807,-27.672727272727272,52.0,59.253463127162306
4285,4285,AV3LVnjQ-R03vmj0PFLN,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:28.176Z,2017-08-10T08:50:27.000Z,3322,fcffff07fffee5ff94ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-90.0,13.8,1502355027.0,1.176,-257,-27,-108,280.0749899580468,37,2017-08-10 16:50:27,-7.418181818181807,-27.672727272727272,54.0,61.12944671922319
4286,4286,AV3LVo-8-R03vmj0PFLd,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:34.043Z,2017-08-10T08:50:33.000Z,3324,fcffff07fffee1ff97ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-87.0,25.5,1502355033.0,1.043,-257,-31,-105,279.34745389926144,37,2017-08-10 16:50:33,-7.418181818181807,-31.672727272727272,57.0,65.62919376603803
4287,4287,AV3LVpuZ-R03vmj0PFLj,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:37.081Z,2017-08-10T08:50:36.000Z,3325,fcffff07fffee0ff96ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-88.0,27.0,1502355036.0,1.081,-257,-32,-106,279.8374528185961,37,2017-08-10 16:50:36,-7.418181818181807,-32.67272727272727,56.0,65.25746339634739
4288,4288,AV3LVqmB-R03vmj0PFL2,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:40.640Z,2017-08-10T08:50:39.000Z,3326,fcffff07fffedfff93ff25,yilan,宜蘭市中山路二段,1002,192.168.88.113,-93.0,16.3,1502355039.0,1.64,-257,-33,-109,281.10318390228167,37,2017-08-10 16:50:39,-7.418181818181807,-33.67272727272727,53.0,63.22880659534129
4291,4291,AV3LVrMb-R03vmj0PFL-,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:43.099Z,2017-08-10T08:50:42.000Z,3327,fcffff07fffee1ff90ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-88.0,25.0,1502355042.0,1.099,-257,-31,-112,282.0531864737572,37,2017-08-10 16:50:42,-7.418181818181807,-31.672727272727272,50.0,59.65057480343475
4292,4292,AV3LVr9Z-R03vmj0PFMG,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:46.232Z,2017-08-10T08:50:45.000Z,3328,fcffff0700ffe2ff90ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-85.0,31.2,1502355045.0,1.232,-256,-30,-112,281.0338057956729,37,2017-08-10 16:50:45,-6.418181818181807,-30.672727272727272,50.0,59.00855239876968
4293,4293,AV3LVsqj-R03vmj0PFMP,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:49.122Z,2017-08-10T08:50:48.000Z,3329,fcffff0700ffe4ff8fff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-93.0,22.5,1502355048.0,1.122,-256,-28,-113,281.22766577988017,37,2017-08-10 16:50:48,-6.418181818181807,-28.672727272727272,49.0,57.134213454876914
4295,4295,AV3LVtXr-R03vmj0PFMa,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:52.010Z,2017-08-10T08:50:51.000Z,3330,fcffff07fffee5ff91ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-87.0,27.5,1502355051.0,1.01,-257,-27,-111,281.24544440754954,37,2017-08-10 16:50:51,-7.418181818181807,-27.672727272727272,51.0,58.496232837665254
4296,4296,AV3LVuJO-R03vmj0PFMn,parking_record_index_v2,101a0d0100cc,2017-08-10T08:50:55.181Z,2017-08-10T08:50:54.000Z,3331,fcffff07fefee4ff96ff25,yilan,宜蘭市中山路二段,1002,10.5.151.1,-85.0,33.8,1502355054.0,1.181,-258,-28,-106,280.32837887021,37,2017-08-10 16:50:54,-8.418181818181807,-28.672727272727272,56.0,63.4743339813831
