,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4787,4787,AV3LWE6I-R03vmj0PFSQ,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:28.423Z,2017-08-10T08:52:28.000Z,3958,fcffff07c8fe3d0026ff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,32.5,1502355148.0,0.423,-312,61,-218,385.4724374063599,34,2017-08-10 16:52:28,-51.25490196078431,39.54901960784314,-45.25490196078431,78.98858194974368
4788,4788,AV3LWFrG-R03vmj0PFSb,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:31.557Z,2017-08-10T08:52:31.000Z,3959,fcffff07cafe3c0024ff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,20.5,1502355151.0,0.557,-310,60,-220,384.83762809787714,34,2017-08-10 16:52:31,-49.25490196078431,38.54901960784314,-47.25490196078431,78.39067571602942
4789,4789,AV3LWJfv-R03vmj0PFTJ,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:47.213Z,2017-08-10T08:52:46.000Z,3962,fcffff07c9fe42002bff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,22.5,1502355166.0,1.213,-311,66,-213,382.6826361360024,34,2017-08-10 16:52:46,-50.25490196078431,44.54901960784314,-40.25490196078431,78.29832342381536
4790,4790,AV3LWKAg-R03vmj0PFTS,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:49.311Z,2017-08-10T08:52:49.000Z,3963,fcffff07c8fe44002aff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73.0,-8.0,1502355169.0,0.311,-312,68,-214,384.4008324652797,34,2017-08-10 16:52:49,-51.25490196078431,46.54901960784314,-41.25490196078431,80.59679359164917
4791,4791,AV3LWKx0-R03vmj0PFTc,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:52.467Z,2017-08-10T08:52:52.000Z,3964,fcffff07c8fe43002bff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,29.5,1502355172.0,0.467,-312,67,-213,383.66912828634,34,2017-08-10 16:52:52,-51.25490196078431,45.54901960784314,-40.25490196078431,79.5124851461558
4792,4792,AV3LWLg9-R03vmj0PFTm,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:55.484Z,2017-08-10T08:52:55.000Z,3965,fcffff07c7fe41002dff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,22.0,1502355175.0,0.484,-313,65,-211,383.0339410548365,34,2017-08-10 16:52:55,-52.25490196078431,43.54901960784314,-38.25490196078431,78.04184397978244
4794,4794,AV3LWMOS-R03vmj0PFTu,parking_record_index_v2,101a0d0100b8,2017-08-10T08:52:58.384Z,2017-08-10T08:52:58.000Z,3966,fcffff07c7fe40002cff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,9.5,1502355178.0,0.384,-313,64,-212,383.4175269859217,34,2017-08-10 16:52:58,-52.25490196078431,42.54901960784314,-39.25490196078431,77.98680129656933
4795,4795,AV3LWM8w-R03vmj0PFT2,parking_record_index_v2,101a0d0100b8,2017-08-10T08:53:01.359Z,2017-08-10T08:53:01.000Z,3967,fcffff07c7fe3e002aff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,25.0,1502355181.0,0.359,-313,62,-214,384.19916709956567,34,2017-08-10 16:53:01,-52.25490196078431,40.54901960784314,-41.25490196078431,77.95360611211231
4796,4796,AV3LWNsf-R03vmj0PFUD,parking_record_index_v2,101a0d0100b8,2017-08-10T08:53:04.414Z,2017-08-10T08:53:03.000Z,3968,fcffff07c8fe3d0028ff22,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,22.5,1502355183.0,1.4140000000000001,-312,61,-216,384.34489719521446,34,2017-08-10 16:53:03,-51.25490196078431,39.54901960784314,-43.25490196078431,77.8599799035951
4793,4793,AV3LWgI_-R03vmj0PFYQ,parking_record_index_v2,101a0d0100b8,2017-08-10T08:54:19.966Z,2017-08-10T08:52:55.000Z,3986,fcffff07c6fe43002dff22,yilan,宜蘭市中山路二段,1008,192.168.0.225,-101.0,10.5,1502355175.0,84.96600000000002,-314,67,-211,384.1952628547104,34,2017-08-10 16:52:55,-53.25490196078431,45.54901960784314,-38.25490196078431,79.83880819574931
