,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2482,2482,AV3LYPS5-R03vmj0PFyQ,parking_record_index_v2,101a0d0101eb,2017-08-10T09:01:55.256Z,2017-08-10T09:01:54.000Z,156,fcffff07b8fff100e2ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-93.0,19.5,1502355714.0,1.256,-72,241,-30,253.30811277967393,33,2017-08-10 17:01:54,-72.0,241.0,-30.0,253.3081127796739
2483,2483,AV3LYQwS-R03vmj0PFyi,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:01.233Z,2017-08-10T09:02:00.000Z,157,fcffff07b8fff200e2ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-83.0,22.5,1502355720.0,1.2329999999999999,-72,242,-30,254.2597097457637,33,2017-08-10 17:02:00,-72.0,242.0,-30.0,254.2597097457637
2486,2486,AV3LYRgr-R03vmj0PFys,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:04.330Z,2017-08-10T09:02:03.000Z,158,fcffff07b9fff300dfff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-85.0,23.0,1502355723.0,1.33,-71,243,-33,255.3017822107789,33,2017-08-10 17:02:03,-71.0,243.0,-33.0,255.30178221077892
2487,2487,AV3LYSOH-R03vmj0PFy1,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:07.238Z,2017-08-10T09:02:06.000Z,159,fcffff07b9fff300e2ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-81.0,28.0,1502355726.0,1.238,-71,243,-30,254.93136331177456,33,2017-08-10 17:02:06,-71.0,243.0,-30.0,254.93136331177456
2488,2488,AV3LYTqj-R03vmj0PFzJ,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:13.154Z,2017-08-10T09:02:12.000Z,160,fcffff07b8fff100e2ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-95.0,15.5,1502355732.0,1.1540000000000001,-72,241,-30,253.30811277967393,33,2017-08-10 17:02:12,-72.0,241.0,-30.0,253.3081127796739
2489,2489,AV3LYZiT-R03vmj0PF0W,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:37.202Z,2017-08-10T09:02:36.000Z,164,fcffff07b6fff300e3ff21,yilan,宜蘭市中山路二段,1011,192.168.88.113,-89.0,13.8,1502355756.0,1.202,-74,243,-29,255.66775314849545,33,2017-08-10 17:02:36,-74.0,243.0,-29.0,255.66775314849545
2492,2492,AV3LYaTK-R03vmj0PF0i,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:40.329Z,2017-08-10T09:02:39.000Z,165,fcffff07b5fff400e2ff21,yilan,宜蘭市中山路二段,1011,192.168.88.113,-88.0,18.3,1502355759.0,1.329,-75,244,-30,257.0233452431899,33,2017-08-10 17:02:39,-75.0,244.0,-30.0,257.0233452431899
2495,2495,AV3LYa-T-R03vmj0PF0u,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:43.090Z,2017-08-10T09:02:42.000Z,166,fcffff07b6fff300e4ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-85.0,18.8,1502355762.0,1.09,-74,243,-28,255.55625603768726,33,2017-08-10 17:02:42,-74.0,243.0,-28.0,255.55625603768732
2496,2496,AV3LYcgj-R03vmj0PF1H,parking_record_index_v2,101a0d0101eb,2017-08-10T09:02:49.378Z,2017-08-10T09:02:48.000Z,167,fcffff07b6fff000eaff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-85.0,21.2,1502355768.0,1.3780000000000001,-74,240,-22,252.11108662651074,33,2017-08-10 17:02:48,-74.0,240.0,-22.0,252.11108662651074
2497,2497,AV3LYg3y-R03vmj0PF2N,parking_record_index_v2,101a0d0101eb,2017-08-10T09:03:07.249Z,2017-08-10T09:03:06.000Z,170,fcffff07b5fff000e5ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-87.0,23.0,1502355786.0,1.249,-75,240,-27,252.89128098849116,33,2017-08-10 17:03:06,-75.0,240.0,-27.0,252.8912809884912
