,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2665,2665,AV3LXqKd-R03vmj0PFpZ,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:23.164Z,2017-08-10T08:59:22.000Z,3316,fcffff07b1fe13004bff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-84.0,30.5,1502355562.0,1.1640000000000001,-335,19,-181,381.2440163464864,38,2017-08-10 16:59:22,-49.03225806451616,-29.483870967741936,35.419354838709666,67.29035350879197
2666,2666,AV3LXq44-R03vmj0PFpk,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:26.135Z,2017-08-10T08:59:25.000Z,3317,fcffff07b2fe110049ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-76.0,27.5,1502355565.0,1.135,-334,17,-183,381.22696651732286,38,2017-08-10 16:59:25,-48.03225806451616,-31.483870967741936,33.419354838709666,66.44686014948553
2667,2667,AV3LXtJL-R03vmj0PFqB,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:35.370Z,2017-08-10T08:59:34.000Z,3320,fcffff07affe10004cff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,13.0,1502355574.0,1.37,-337,16,-180,382.3937760999778,38,2017-08-10 16:59:34,-51.03225806451616,-32.483870967741936,36.419354838709666,70.61064114621908
2668,2668,AV3LXt0s-R03vmj0PFqN,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:38.156Z,2017-08-10T08:59:37.000Z,3321,fcffff07affe12004dff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,33.8,1502355577.0,1.156,-337,18,-179,382.0130887809997,38,2017-08-10 16:59:37,-51.03225806451616,-30.483870967741936,37.419354838709666,70.24077070253841
2670,2670,AV3LXwDw-R03vmj0PFqr,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:47.310Z,2017-08-10T08:59:46.000Z,3323,fcffff07b0fe11004bff26,yilan,宜蘭市中山路二段,1012,192.168.88.113,-75.0,16.3,1502355586.0,1.31,-336,17,-181,382.02879472626137,38,2017-08-10 16:59:46,-50.03225806451616,-31.483870967741936,35.419354838709666,68.9129282162512
2672,2672,AV3LXwzk-R03vmj0PFq2,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:50.371Z,2017-08-10T08:59:49.000Z,3324,fcffff07b1fe110047ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,20.5,1502355589.0,1.371,-335,17,-185,383.06526859009284,38,2017-08-10 16:59:49,-49.03225806451616,-31.483870967741936,31.419354838709666,66.20099939199923
2673,2673,AV3LXxfB-R03vmj0PFrC,parking_record_index_v2,101a0d0100a3,2017-08-10T08:59:53.152Z,2017-08-10T08:59:52.000Z,3325,fcffff07b1fe110049ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,32.0,1502355592.0,1.1520000000000001,-335,17,-183,382.1033891501095,38,2017-08-10 16:59:52,-49.03225806451616,-31.483870967741936,33.419354838709666,67.17328144325182
2674,2674,AV3LX14F-R03vmj0PFr6,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:11.140Z,2017-08-10T09:00:10.000Z,3329,fcffff07affe11004dff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,33.8,1502355610.0,1.14,-337,17,-179,381.96727608526885,38,2017-08-10 17:00:10,-51.03225806451616,-31.483870967741936,37.419354838709666,70.68050375331278
2675,2675,AV3LX3W2-R03vmj0PFsS,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:17.206Z,2017-08-10T09:00:16.000Z,3331,fcffff07affe0e004aff26,yilan,宜蘭市中山路二段,1012,192.168.88.113,-74.0,13.3,1502355616.0,1.206,-337,14,-182,383.261007669708,38,2017-08-10 17:00:16,-51.03225806451616,-34.483870967741936,34.419354838709666,70.55579853985253
2679,2679,AV3LX4IU-R03vmj0PFsf,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:20.372Z,2017-08-10T09:00:19.000Z,3332,fcffff07b0fe0d0047ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,10.0,1502355619.0,1.3719999999999999,-336,13,-185,383.7837933003425,38,2017-08-10 17:00:19,-50.03225806451616,-35.483870967741936,31.419354838709666,68.91667290554913
2680,2680,AV3LX6RW-R03vmj0PFtC,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:29.142Z,2017-08-10T09:00:28.000Z,3335,fcffff07b2fe0e0045ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,30.5,1502355628.0,1.1420000000000001,-334,14,-187,383.04177317885313,38,2017-08-10 17:00:28,-48.03225806451616,-34.483870967741936,29.419354838709666,66.04342216165107
2681,2681,AV3LX7AE-R03vmj0PFtT,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:32.131Z,2017-08-10T09:00:31.000Z,3336,fcffff07b1fe100048ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,25.0,1502355631.0,1.131,-335,16,-184,382.54019396659487,38,2017-08-10 17:00:31,-49.03225806451616,-32.483870967741936,32.419354838709666,67.15935357128139
2682,2682,AV3LX7wh-R03vmj0PFtj,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:35.233Z,2017-08-10T09:00:34.000Z,3337,fcffff07b0fe12004aff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,14.5,1502355634.0,1.2329999999999999,-336,18,-182,382.54934322254434,38,2017-08-10 17:00:34,-50.03225806451616,-30.483870967741936,34.419354838709666,67.94987287497518
2664,2664,AV3LX99f-R03vmj0PFt_,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:44.254Z,2017-08-10T08:59:20.000Z,3339,fcffff07affe0e004eff26,yilan,宜蘭市中山路二段,1012,192.168.0.225,-100.2,-1.2,1502355560.0,84.25399999999999,-337,14,-178,381.377765476699,38,2017-08-10 16:59:20,-51.03225806451616,-34.483870967741936,38.419354838709666,72.5911533611771
2685,2685,AV3LX_Zg-R03vmj0PFum,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:50.143Z,2017-08-10T09:00:49.000Z,3341,fcffff07b0fe0f004eff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-72.0,25.5,1502355649.0,1.143,-336,15,-178,380.5325216062354,38,2017-08-10 17:00:49,-50.03225806451616,-33.483870967741936,38.419354838709666,71.41738785646965
2687,2687,AV3LYA3B-R03vmj0PFu9,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:56.129Z,2017-08-10T09:00:55.000Z,3343,fcffff07b0fe12004bff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,25.0,1502355655.0,1.129,-336,18,-181,382.0746000455932,38,2017-08-10 17:00:55,-50.03225806451616,-30.483870967741936,35.419354838709666,68.46184290101098
2688,2688,AV3LYBo0-R03vmj0PFvL,parking_record_index_v2,101a0d0100a3,2017-08-10T09:00:59.315Z,2017-08-10T09:00:58.000Z,3344,fcffff07b0fe120048ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,28.0,1502355658.0,1.315,-336,18,-184,383.5048891474528,38,2017-08-10 17:00:58,-50.03225806451616,-30.483870967741936,32.419354838709666,66.95900092123874
2689,2689,AV3LYCVM-R03vmj0PFva,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:02.155Z,2017-08-10T09:01:01.000Z,3345,fcffff07b1fe110045ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-89.2,-10.2,1502355661.0,1.155,-335,17,-187,384.03515464082193,38,2017-08-10 17:01:01,-49.03225806451616,-31.483870967741936,29.419354838709666,65.27553064621262
2690,2690,AV3LYDHI-R03vmj0PFvl,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:05.351Z,2017-08-10T09:01:04.000Z,3346,fcffff07b1fe0f0044ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,33.0,1502355664.0,1.351,-335,15,-188,384.4398522525988,38,2017-08-10 17:01:04,-49.03225806451616,-33.483870967741936,28.419354838709666,65.82546373052142
2669,2669,AV3LYDzx-R03vmj0PFvv,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:08.208Z,2017-08-10T08:59:44.000Z,3347,fcffff07b1fe0c0045ff26,yilan,宜蘭市中山路二段,1012,192.168.0.225,-96.0,7.5,1502355584.0,84.208,-335,12,-187,383.84632341602537,38,2017-08-10 16:59:44,-49.03225806451616,-36.483870967741936,29.419354838709666,67.82870786637515
2694,2694,AV3LYF_U-R03vmj0PFwM,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:17.138Z,2017-08-10T09:01:16.000Z,3349,fcffff07b1fe0a0048ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-72.0,14.5,1502355676.0,1.138,-335,10,-184,382.336239454227,38,2017-08-10 17:01:16,-49.03225806451616,-38.483870967741936,32.419354838709666,70.25799046176377
2695,2695,AV3LYILX-R03vmj0PFwy,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:26.102Z,2017-08-10T09:01:25.000Z,3351,fcffff07b0fe0b0049ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,23.8,1502355685.0,1.102,-336,11,-183,382.7610220490063,38,2017-08-10 17:01:25,-50.03225806451616,-37.483870967741936,33.419354838709666,70.8880857944144
2697,2697,AV3LYKYF-R03vmj0PFxP,parking_record_index_v2,101a0d0100a3,2017-08-10T09:01:35.108Z,2017-08-10T09:01:34.000Z,3353,fcffff07b0fe0b0049ff26,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,32.5,1502355694.0,1.1079999999999999,-336,11,-183,382.7610220490063,38,2017-08-10 17:01:34,-50.03225806451616,-37.483870967741936,33.419354838709666,70.8880857944144
