,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2277,2277,AV3LQJr3-R03vmj0PDpE,parking_record_index_v2,101a0d0100a3,2017-08-10T08:26:35.126Z,2017-08-10T08:26:34.000Z,2845,fcffff07e3fe2f0025ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-72.0,28.8,1502353594.0,1.126,-285,47,-219,362.48448242648965,42,2017-08-10 16:26:34,0.9677419354838435,-1.483870967741936,-2.5806451612903345,3.1301959924408282
2278,2278,AV3LQKbl-R03vmj0PDpO,parking_record_index_v2,101a0d0100a3,2017-08-10T08:26:38.180Z,2017-08-10T08:26:37.000Z,2846,fcffff07e3fe300024ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-87.0,20.8,1502353597.0,1.18,-285,48,-220,363.22031881490335,42,2017-08-10 16:26:37,0.9677419354838435,-0.48387096774193594,-3.5806451612903345,3.7405447916298793
2279,2279,AV3LQMyD-R03vmj0PDqA,parking_record_index_v2,101a0d0100a3,2017-08-10T08:26:47.810Z,2017-08-10T08:26:47.000Z,2849,fcffff07e1fe340029ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-90.0,19.5,1502353607.0,0.81,-287,52,-215,362.3506588927361,42,2017-08-10 16:26:47,-1.0322580645161565,3.516129032258064,1.4193548387096655,3.929794936305864
2280,2280,AV3LQOIY-R03vmj0PDqd,parking_record_index_v2,101a0d0100a3,2017-08-10T08:26:53.335Z,2017-08-10T08:26:52.000Z,2851,fcffff07e0fe30002bff2a,yilan,宜蘭市中山路二段,1012,192.168.88.113,-75.0,20.0,1502353612.0,1.335,-288,48,-213,361.40973976914347,42,2017-08-10 16:26:52,-2.0322580645161565,-0.48387096774193594,3.4193548387096655,4.0070177772530124
2282,2282,AV3LQQS4-R03vmj0PDq6,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:02.200Z,2017-08-10T08:27:01.000Z,2854,fcffff07e3fe2f0024ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-88.0,21.3,1502353621.0,1.2,-285,47,-220,363.08952064194864,42,2017-08-10 16:27:01,0.9677419354838435,-1.483870967741936,-3.5806451612903345,3.994923938409002
2283,2283,AV3LQSgk-R03vmj0PDrY,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:11.267Z,2017-08-10T08:27:10.000Z,2857,fcffff07e3fe320026ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-90.0,23.8,1502353630.0,1.2670000000000001,-285,50,-218,362.28303852098844,42,2017-08-10 16:27:10,0.9677419354838435,1.516129032258064,-1.5806451612903345,2.3944959432123363
2284,2284,AV3LQUrR-R03vmj0PDsJ,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:20.145Z,2017-08-10T08:27:19.000Z,2860,fcffff07e2fe340026ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,25.5,1502353639.0,1.145,-286,52,-218,363.35106990347504,42,2017-08-10 16:27:19,-0.03225806451615654,3.516129032258064,-1.5806451612903345,3.855209862008151
2285,2285,AV3LQW5x-R03vmj0PDsy,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:29.265Z,2017-08-10T08:27:28.000Z,2862,fcffff07e3fe320026ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-88.0,23.3,1502353648.0,1.265,-285,50,-218,362.28303852098844,42,2017-08-10 16:27:28,0.9677419354838435,1.516129032258064,-1.5806451612903345,2.3944959432123363
2287,2287,AV3LQXmo-R03vmj0PDtC,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:32.135Z,2017-08-10T08:27:31.000Z,2863,fcffff07e3fe330025ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-82.0,30.0,1502353651.0,1.135,-285,51,-219,363.0247925417767,42,2017-08-10 16:27:31,0.9677419354838435,2.516129032258064,-2.5806451612903345,3.73191093263989
2288,2288,AV3LQcyN-R03vmj0PDuo,parking_record_index_v2,101a0d0100a3,2017-08-10T08:27:53.356Z,2017-08-10T08:27:52.000Z,2867,fcffff07e1fe2e002aff2a,yilan,宜蘭市中山路二段,1012,192.168.88.113,-76.0,23.8,1502353672.0,1.3559999999999999,-287,46,-214,360.9445940861284,42,2017-08-10 16:27:52,-1.0322580645161565,-2.483870967741936,2.4193548387096655,3.6177962258449234
