,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2383,2383,AV3LQTOD-R03vmj0PDro,parking_record_index_v2,101a0d010119,2017-08-10T08:27:14.178Z,2017-08-10T08:27:13.000Z,2861,fcffff0702ff310068ff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-81.0,29.5,1502353633.0,1.178,-254,49,-152,300.0349979585715,40,2017-08-10 16:27:13,-0.30434782608696764,0.608695652173914,-3.4782608695652186,3.54421171390309
2384,2384,AV3LQUr9-R03vmj0PDsK,parking_record_index_v2,101a0d010119,2017-08-10T08:27:20.188Z,2017-08-10T08:27:19.000Z,2862,fcffff0702ff31006aff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-80.0,28.8,1502353639.0,1.188,-254,49,-150,299.02675465583343,40,2017-08-10 16:27:19,-0.30434782608696764,0.608695652173914,-1.4782608695652186,1.6273884584532992
2386,2386,AV3LQXmj-R03vmj0PDtB,parking_record_index_v2,101a0d010119,2017-08-10T08:27:32.130Z,2017-08-10T08:27:31.000Z,2864,fcffff0702ff310069ff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,22.5,1502353651.0,1.13,-254,49,-151,299.5296312554068,40,2017-08-10 16:27:31,-0.30434782608696764,0.608695652173914,-2.4782608695652186,2.570002905414203
2387,2387,AV3LQcuw-R03vmj0PDum,parking_record_index_v2,101a0d010119,2017-08-10T08:27:53.135Z,2017-08-10T08:27:52.000Z,2868,fcffff0702ff2e006eff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,28.8,1502353672.0,1.135,-254,46,-146,296.5602805501776,40,2017-08-10 16:27:52,-0.30434782608696764,-2.391304347826086,2.5217391304347814,3.48857167407261
2388,2388,AV3LQdek-R03vmj0PDuy,parking_record_index_v2,101a0d010119,2017-08-10T08:27:56.195Z,2017-08-10T08:27:55.000Z,2869,fcffff0703ff2e006eff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-76.0,25.0,1502353675.0,1.195,-253,46,-146,295.7042441359271,40,2017-08-10 16:27:55,0.6956521739130324,-2.391304347826086,2.5217391304347814,3.544211713903084
2391,2391,AV3LQe8K-R03vmj0PDvM,parking_record_index_v2,101a0d010119,2017-08-10T08:28:02.185Z,2017-08-10T08:28:01.000Z,2870,fcffff0702ff2d006dff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-80.0,27.0,1502353681.0,1.185,-254,45,-147,296.90065678607044,40,2017-08-10 16:28:01,-0.30434782608696764,-3.391304347826086,1.5217391304347814,3.729512402436059
2392,2392,AV3LQh2x-R03vmj0PDv8,parking_record_index_v2,101a0d010119,2017-08-10T08:28:14.128Z,2017-08-10T08:28:13.000Z,2872,fcffff0702ff33006aff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-121.0,-4.0,1502353693.0,1.128,-254,51,-150,299.36098610206375,40,2017-08-10 16:28:13,-0.30434782608696764,2.608695652173914,-1.4782608695652186,3.0138307522823276
2393,2393,AV3LQilc-R03vmj0PDwH,parking_record_index_v2,101a0d010119,2017-08-10T08:28:17.116Z,2017-08-10T08:28:16.000Z,2873,fcffff0702ff35006bff29,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.0,1502353696.0,1.1159999999999999,-254,53,-149,299.2089570851782,41,2017-08-10 16:28:16,-0.30434782608696764,4.608695652173914,-0.4782608695652186,4.643429408634084
2395,2395,AV3LQk2r-R03vmj0PDww,parking_record_index_v2,101a0d010119,2017-08-10T08:28:26.410Z,2017-08-10T08:28:25.000Z,2875,fcffff0702ff30006eff28,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.8,-2.8,1502353705.0,1.41,-254,48,-146,296.8770789400893,40,2017-08-10 16:28:25,-0.30434782608696764,-0.39130434782608603,2.5217391304347814,2.5700029054142
2396,2396,AV3LQnDq-R03vmj0PDxV,parking_record_index_v2,101a0d010119,2017-08-10T08:28:35.433Z,2017-08-10T08:28:34.000Z,2877,fcffff0702ff2d006eff28,yilan,宜蘭市中山路二段,1010,10.5.180.50,-81.0,27.0,1502353714.0,1.433,-254,45,-146,296.4068150363618,40,2017-08-10 16:28:34,-0.30434782608696764,-3.391304347826086,2.5217391304347814,4.237067502506179
