,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3064,3064,AV3LVS96-R03vmj0PFGZ,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:03.865Z,2017-08-10T08:49:03.000Z,4053,fcffff070afe9bff140123,yilan,宜蘭市中山路二段,1016,10.5.180.16,-117.2,-3.2,1502354943.0,0.865,-502,-101,276,581.7052518243237,35,2017-08-10 16:49:03,-0.21428571428566556,-0.4523809523809632,0.2857142857142776,0.5763675446147579
3067,3067,AV3LVTqY-R03vmj0PFGo,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:06.711Z,2017-08-10T08:49:06.000Z,4054,fcffff0708fe9bff150123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,20.5,1502354946.0,0.711,-504,-101,277,583.9058143228239,35,2017-08-10 16:49:06,-2.2142857142856656,-0.4523809523809632,1.2857142857142776,2.6001482602068027
3068,3068,AV3LVUXp-R03vmj0PFGy,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:09.609Z,2017-08-10T08:49:09.000Z,4055,fcffff070afe9cff180123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,7.0,1502354949.0,0.609,-502,-100,280,583.4415137783735,35,2017-08-10 16:49:09,-0.21428571428566556,0.5476190476190368,4.285714285714278,4.3258700775031995
3069,3069,AV3LVV5N-R03vmj0PFHJ,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:15.852Z,2017-08-10T08:49:15.000Z,4057,fcffff070afe8bff150123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,23.8,1502354955.0,0.852,-502,-117,277,585.168351844151,35,2017-08-10 16:49:15,-0.21428571428566556,-16.452380952380963,1.2857142857142776,16.503933427946947
3070,3070,AV3LVWkS-R03vmj0PFHS,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:18.609Z,2017-08-10T08:49:18.000Z,4058,fcffff0700fe55ffa70023,yilan,宜蘭市中山路二段,1016,10.5.151.1,-106.0,26.2,1502354958.0,0.609,-512,-171,167,565.0433611679726,35,2017-08-10 16:49:18,-10.214285714285666,-70.45238095238096,-108.71428571428572,129.94870346748297
3071,3071,AV3LVXS8-R03vmj0PFHe,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:21.596Z,2017-08-10T08:49:21.000Z,4059,fcffff0738fec6ffec0023,yilan,宜蘭市中山路二段,1016,10.5.151.1,-94.0,20.0,1502354961.0,0.596,-456,-58,236,516.7165567310574,35,2017-08-10 16:49:21,45.785714285714334,42.54761904761904,-39.71428571428572,74.05306211812108
3072,3072,AV3LVYDp-R03vmj0PFHp,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:24.712Z,2017-08-10T08:49:24.000Z,4060,fcffff074afea9ff270123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-90.0,22.5,1502354964.0,0.7120000000000001,-438,-87,295,535.199028399716,35,2017-08-10 16:49:24,63.785714285714334,13.547619047619037,19.285714285714278,68.00069193992363
3073,3073,AV3LVaRt-R03vmj0PFIO,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:33.804Z,2017-08-10T08:49:33.000Z,4063,fcffff074dfea6ff1d0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,26.2,1502354973.0,0.804,-435,-90,285,527.7783625727753,35,2017-08-10 16:49:33,66.78571428571433,10.547619047619037,9.285714285714278,68.24813836305488
3074,3074,AV3LVa9m-R03vmj0PFIW,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:36.613Z,2017-08-10T08:49:36.000Z,4064,fcffff074bfea5ff1f0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,25.5,1502354976.0,0.613,-437,-91,287,530.6778683909854,35,2017-08-10 16:49:36,64.78571428571433,9.547619047619037,11.285714285714278,66.45083259017484
3075,3075,AV3LVbt_-R03vmj0PFIf,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:39.710Z,2017-08-10T08:49:39.000Z,4065,fcffff0749fea5ff1b0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,23.0,1502354979.0,0.71,-439,-91,283,530.1801580595034,35,2017-08-10 16:49:39,62.785714285714334,9.547619047619037,7.285714285714278,63.92405322332801
3076,3076,AV3LVcbU-R03vmj0PFIq,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:42.611Z,2017-08-10T08:49:42.000Z,4066,fcffff074afea6ff1c0123,yilan,宜蘭市中山路二段,1016,10.5.151.1,-93.0,22.5,1502354982.0,0.611,-438,-90,284,529.7169055259611,35,2017-08-10 16:49:42,63.785714285714334,10.547619047619037,8.285714285714278,65.18069250734429
3077,3077,AV3LVdOz-R03vmj0PFI4,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:45.907Z,2017-08-10T08:49:45.000Z,4067,fcffff0749fea7ff1a0123,yilan,宜蘭市中山路二段,1016,10.5.180.50,-109.8,-6.8,1502354985.0,0.907,-439,-89,282,529.3070942279161,35,2017-08-10 16:49:45,62.785714285714334,11.547619047619037,6.285714285714278,64.14751459034028
3079,3079,AV3LVd5o-R03vmj0PFJD,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:48.647Z,2017-08-10T08:49:48.000Z,4068,fcffff0749fea8ff1c0123,yilan,宜蘭市中山路二段,1016,192.168.88.113,-95.0,12.5,1502354988.0,0.647,-439,-88,284,530.208449574316,35,2017-08-10 16:49:48,62.785714285714334,12.547619047619037,8.285714285714278,64.5611471657375
3081,3081,AV3LVexg-R03vmj0PFJT,parking_record_index_v2,101a0d0101e4,2017-08-10T08:49:52.224Z,2017-08-10T08:49:51.000Z,4069,fcffff0749fea9ff1e0123,yilan,宜蘭市中山路二段,1016,192.168.88.113,-96.0,-7.0,1502354991.0,1.224,-439,-87,286,531.1176894060299,35,2017-08-10 16:49:51,62.785714285714334,13.547619047619037,10.285714285714278,65.04905701541037
3078,3078,AV3LVxt--R03vmj0PFNg,parking_record_index_v2,101a0d0101e4,2017-08-10T08:51:09.822Z,2017-08-10T08:49:46.000Z,4092,fcffff0709fe99ff150123,yilan,宜蘭市中山路二段,1016,192.168.0.225,-109.5,-4.5,1502354986.0,83.822,-503,-103,277,583.3926636494498,35,2017-08-10 16:49:46,-1.2142857142856656,-2.452380952380963,1.2857142857142776,3.0235282958836325
