,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
6634,6634,AV3LV3Gz-R03vmj0PFPB,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:31.890Z,2017-08-10T08:51:31.000Z,4065,fcffff0795fedbff96ff24,yilan,宜蘭市中山路二段,1007,10.5.180.16,-108.0,10.5,1502355091.0,0.89,-363,-37,-106,379.9657879335981,36,2017-08-10 16:51:31,-1.2280701754386314,-4.245614035087719,-1.8070175438596294,4.774799188924303
6636,6636,AV3LV32H-R03vmj0PFPM,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:34.919Z,2017-08-10T08:51:34.000Z,4066,fcffff0795fedbff99ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-95.0,17.5,1502355094.0,0.919,-363,-37,-103,379.13981589909554,36,2017-08-10 16:51:34,-1.2280701754386314,-4.245614035087719,1.1929824561403706,4.577838139492746
6641,6641,AV3LV7i2-R03vmj0PFQI,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:50.069Z,2017-08-10T08:51:49.000Z,4069,fcffff07e9fe2400f9fe24,yilan,宜蘭市中山路二段,1007,10.5.180.16,-121.0,-6.0,1502355109.0,1.069,-279,36,-263,385.1051804377604,36,2017-08-10 16:51:49,82.77192982456137,68.75438596491227,-158.80701754385962,191.82811779681825
6642,6642,AV3LV8Oz-R03vmj0PFQV,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:52.882Z,2017-08-10T08:51:52.000Z,4070,fcffff07bffe140058ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-90.0,14.5,1502355112.0,0.882,-321,20,-168,362.8567210346255,36,2017-08-10 16:51:52,40.77192982456137,52.75438596491228,-63.80701754385963,92.28602812991956
6643,6643,AV3LV8-K-R03vmj0PFQf,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:55.914Z,2017-08-10T08:51:55.000Z,4071,fcffff07c0fe160067ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-95.0,10.8,1502355115.0,0.914,-320,22,-153,355.3772643262368,36,2017-08-10 16:51:55,41.77192982456137,54.75438596491228,-48.80701754385963,84.41008153762964
6645,6645,AV3LV9ss-R03vmj0PFQs,parking_record_index_v2,101a0d0100cb,2017-08-10T08:51:58.891Z,2017-08-10T08:51:58.000Z,4072,fcffff07c1fe120060ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-90.0,17.5,1502355118.0,0.8909999999999999,-319,18,-160,357.3303793410238,36,2017-08-10 16:51:58,42.77192982456137,50.75438596491228,-55.80701754385963,86.71717755285364
6646,6646,AV3LV-ur-R03vmj0PFQ5,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:03.115Z,2017-08-10T08:52:01.000Z,4073,fcffff07c3fe150061ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-89.0,24.5,1502355121.0,2.115,-317,21,-159,355.26187524134923,36,2017-08-10 16:52:01,44.77192982456137,53.75438596491228,-54.80701754385963,88.86995489327731
6647,6647,AV3LWAsq-R03vmj0PFRR,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:11.177Z,2017-08-10T08:52:10.000Z,4075,fcffff07bffe100064ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-95.0,4.5,1502355130.0,1.177,-321,16,-156,357.25761013587936,36,2017-08-10 16:52:10,40.77192982456137,48.75438596491228,-51.80701754385963,81.99577720361196
6649,6649,AV3LWBWq-R03vmj0PFRd,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:13.865Z,2017-08-10T08:52:13.000Z,4076,fcffff07c1fe110063ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-94.0,13.8,1502355133.0,0.865,-319,17,-157,355.94802991448057,36,2017-08-10 16:52:13,42.77192982456137,49.75438596491228,-52.80701754385963,84.22302538819275
6650,6650,AV3LWCGi-R03vmj0PFRu,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:16.929Z,2017-08-10T08:52:16.000Z,4077,fcffff07c1fe150061ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-95.0,11.3,1502355136.0,0.929,-319,21,-159,357.04761587216905,36,2017-08-10 16:52:16,42.77192982456137,53.75438596491228,-54.80701754385963,87.87935572951646
6653,6653,AV3LWC03-R03vmj0PFR0,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:19.895Z,2017-08-10T08:52:19.000Z,4078,fcffff07c0fe170064ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-90.0,28.0,1502355139.0,0.895,-320,23,-156,356.74220383913087,36,2017-08-10 16:52:19,41.77192982456137,55.75438596491228,-51.80701754385963,86.8182742421333
6639,6639,AV3LWMXo-R03vmj0PFTw,parking_record_index_v2,101a0d0100cb,2017-08-10T08:52:58.983Z,2017-08-10T08:51:35.000Z,4088,fcffff07c0fe180064ff24,yilan,宜蘭市中山路二段,1007,192.168.0.225,-117.8,-11.8,1502355095.0,83.98299999999999,-320,24,-156,356.808071657579,36,2017-08-10 16:51:35,41.77192982456137,56.75438596491228,-51.80701754385963,87.46382974871436
6640,6640,AV3LWPRV-R03vmj0PFUX,parking_record_index_v2,101a0d0100cb,2017-08-10T08:53:10.868Z,2017-08-10T08:51:47.000Z,4091,fcffff07bffe110065ff24,yilan,宜蘭市中山路二段,1007,192.168.0.225,-118.2,-12.2,1502355107.0,83.868,-321,17,-155,356.86832305487684,36,2017-08-10 16:51:47,40.77192982456137,49.75438596491228,-50.80701754385963,81.97073999950517
