,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2632,2632,AV3LTLKs-R03vmj0PEfr,parking_record_index_v2,101a0d010119,2017-08-10T08:39:47.627Z,2017-08-10T08:39:47.000Z,3070,fcffff0701ff2e006fff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,30.0,1502354387.0,0.627,-255,46,-145,296.9276006032447,39,2017-08-10 16:39:47,-1.3043478260869676,-2.391304347826093,3.5217391304347814,4.452224863838899
2633,2633,AV3LTMih-R03vmj0PEgH,parking_record_index_v2,101a0d010119,2017-08-10T08:39:53.249Z,2017-08-10T08:39:52.000Z,3071,fcffff0700ff31006fff27,yilan,宜蘭市中山路二段,1010,192.168.88.113,-68.0,18.8,1502354392.0,1.249,-256,49,-145,298.2649828592019,39,2017-08-10 16:39:52,-2.3043478260869676,0.6086956521739069,3.5217391304347814,4.252431751763064
2636,2636,AV3LTNPP-R03vmj0PEgQ,parking_record_index_v2,101a0d010119,2017-08-10T08:39:56.111Z,2017-08-10T08:39:55.000Z,3072,fcffff0701ff33006dff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-73.0,31.2,1502354395.0,1.111,-255,51,-147,298.72227904861734,39,2017-08-10 16:39:55,-1.3043478260869676,2.608695652173907,1.5217391304347814,3.289727380526424
2637,2637,AV3LTN_1-R03vmj0PEgg,parking_record_index_v2,101a0d010119,2017-08-10T08:39:59.220Z,2017-08-10T08:39:58.000Z,3073,fcffff0701ff34006bff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-136.8,-15.8,1502354398.0,1.22,-255,52,-149,299.88331063932185,39,2017-08-10 16:39:58,-1.3043478260869676,3.608695652173907,-0.4782608695652186,3.866877425105939
2638,2638,AV3LTPb0-R03vmj0PEg0,parking_record_index_v2,101a0d010119,2017-08-10T08:40:05.107Z,2017-08-10T08:40:04.000Z,3074,fcffff0702ff31006bff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.8,1502354404.0,1.107,-254,49,-149,298.52638074381304,39,2017-08-10 16:40:04,-0.30434782608696764,0.6086956521739069,-0.4782608695652186,0.831788107378652
2639,2639,AV3LTQ6V-R03vmj0PEhU,parking_record_index_v2,101a0d010119,2017-08-10T08:40:11.156Z,2017-08-10T08:40:10.000Z,3075,fcffff0702ff2e006aff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-132.5,-13.5,1502354410.0,1.156,-254,46,-150,298.54982833691264,39,2017-08-10 16:40:10,-0.30434782608696764,-2.391304347826093,-1.4782608695652186,2.827758702871155
2641,2641,AV3LTRog-R03vmj0PEhg,parking_record_index_v2,101a0d010119,2017-08-10T08:40:14.111Z,2017-08-10T08:40:13.000Z,3076,fcffff0702ff2e006cff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,24.5,1502354413.0,1.111,-254,46,-148,297.5499957990253,39,2017-08-10 16:40:13,-0.30434782608696764,-2.391304347826093,0.5217391304347814,2.466409496292674
2642,2642,AV3LTSYg-R03vmj0PEho,parking_record_index_v2,101a0d010119,2017-08-10T08:40:17.183Z,2017-08-10T08:40:16.000Z,3077,fcffff0701ff2d006aff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-82.0,7.5,1502354416.0,1.183,-255,45,-150,299.24906014890007,39,2017-08-10 16:40:16,-1.3043478260869676,-3.391304347826093,-1.4782608695652186,3.9226934151791264
2643,2643,AV3LTT4E-R03vmj0PEiC,parking_record_index_v2,101a0d010119,2017-08-10T08:40:23.299Z,2017-08-10T08:40:22.000Z,3078,fcffff0701ff2c006eff27,yilan,宜蘭市中山路二段,1010,10.5.181.21,-137.3,-14.3,1502354422.0,1.2990000000000002,-255,44,-146,297.1144560602866,39,2017-08-10 16:40:22,-1.3043478260869676,-4.391304347826093,2.5217391304347814,5.2291534084037075
2647,2647,AV3LTUj6-R03vmj0PEiO,parking_record_index_v2,101a0d010119,2017-08-10T08:40:26.105Z,2017-08-10T08:40:25.000Z,3079,fcffff0701ff2e006aff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,27.5,1502354425.0,1.105,-255,46,-150,299.4010688023675,39,2017-08-10 16:40:25,-1.3043478260869676,-2.391304347826093,-1.4782608695652186,3.099179719512486
2650,2650,AV3LTWBR-R03vmj0PEin,parking_record_index_v2,101a0d010119,2017-08-10T08:40:32.080Z,2017-08-10T08:40:31.000Z,3080,fcffff0701ff2f006aff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-73.0,29.5,1502354431.0,1.08,-255,47,-150,299.55633860761486,39,2017-08-10 16:40:31,-1.3043478260869676,-1.3913043478260931,-1.4782608695652186,2.4129455522628986
