,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4026,4026,AV3LTKHE-R03vmj0PEfZ,parking_record_index_v2,101a0d0100cc,2017-08-10T08:39:43.300Z,2017-08-10T08:39:42.000Z,3168,fcffff0706fffeff5eff28,yilan,宜蘭市中山路二段,1002,10.5.180.50,-133.3,-12.3,1502354382.0,1.3,-250,-2,-162,297.9060254509801,40,2017-08-10 16:39:42,-0.41818181818180733,-2.672727272727273,0.0,2.705244371112896
4028,4028,AV3LTK1A-R03vmj0PEfl,parking_record_index_v2,101a0d0100cc,2017-08-10T08:39:46.239Z,2017-08-10T08:39:45.000Z,3169,fcffff0705ffffff5fff28,yilan,宜蘭市中山路二段,1002,10.5.180.50,-88.0,23.8,1502354385.0,1.239,-251,-1,-161,298.19959758524163,40,2017-08-10 16:39:45,-1.4181818181818073,-1.6727272727272728,1.0,2.41023986323915
4030,4030,AV3LTMO7-R03vmj0PEf-,parking_record_index_v2,101a0d0100cc,2017-08-10T08:39:51.994Z,2017-08-10T08:39:51.000Z,3170,fcffff0705ffffff63ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,28.0,1502354391.0,0.9940000000000001,-251,-1,-157,296.05911571846593,40,2017-08-10 16:39:51,-1.4181818181818073,-1.6727272727272728,5.0,5.459785361930181
4031,4031,AV3LTNsz-R03vmj0PEgX,parking_record_index_v2,101a0d0100cc,2017-08-10T08:39:58.003Z,2017-08-10T08:39:57.000Z,3171,fcffff0705ff020063ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,25.5,1502354397.0,1.003,-251,2,-157,296.06418223081295,40,2017-08-10 16:39:57,-1.4181818181818073,1.3272727272727272,5.0,5.364036965009045
4032,4032,AV3LTOfe-R03vmj0PEgo,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:01.243Z,2017-08-10T08:40:00.000Z,3172,fcffff0705ff030062ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,30.0,1502354400.0,1.2429999999999999,-251,3,-158,296.6041132553627,40,2017-08-10 16:40:00,-1.4181818181818073,2.327272727272727,4.0,4.840189874016193
4035,4035,AV3LTP65-R03vmj0PEg8,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:07.096Z,2017-08-10T08:40:06.000Z,3173,fcffff0706ff040060ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,26.2,1502354406.0,1.0959999999999999,-250,4,-160,296.84339305431746,40,2017-08-10 16:40:06,-0.41818181818180733,3.327272727272727,2.0,3.9045639749798866
4037,4037,AV3LTQss-R03vmj0PEhO,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:10.283Z,2017-08-10T08:40:09.000Z,3174,fcffff0707ff03005eff28,yilan,宜蘭市中山路二段,1002,192.168.88.113,-75.0,20.0,1502354409.0,1.2830000000000001,-249,3,-162,297.0757479162512,40,2017-08-10 16:40:09,0.5818181818181927,2.327272727272727,0.0,2.3988978185411867
4040,4040,AV3LTRZm-R03vmj0PEhc,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:13.157Z,2017-08-10T08:40:12.000Z,3175,fcffff0707ff00005bff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,31.2,1502354412.0,1.157,-249,0,-165,298.7072145094591,40,2017-08-10 16:40:12,0.5818181818181927,-0.6727272727272727,-3.0,3.1290692514173126
4042,4042,AV3LTS4M-R03vmj0PEht,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:19.209Z,2017-08-10T08:40:18.000Z,3176,fcffff0706fffdff5cff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-73.0,34.5,1502354418.0,1.209,-250,-3,-164,299.00668888839266,40,2017-08-10 16:40:18,-0.41818181818180733,-3.672727272727273,-2.0,4.202832574929978
4043,4043,AV3LTTne-R03vmj0PEh3,parking_record_index_v2,101a0d0100cc,2017-08-10T08:40:22.237Z,2017-08-10T08:40:21.000Z,3177,fcffff0706fffeff5cff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-75.0,30.5,1502354421.0,1.237,-250,-2,-164,298.99832775452114,40,2017-08-10 16:40:21,-0.41818181818180733,-2.672727272727273,-2.0,3.3642751236244055
