,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2638,2638,AV3LT3Oe-R03vmj0PErV,parking_record_index_v2,101a0d0100d9,2017-08-10T08:42:48.094Z,2017-08-10T08:42:47.000Z,3189,fcffff07aefe0e0087ff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-88.0,13.8,1502354567.0,1.094,-338,14,-121,359.2784435504028,38,2017-08-10 16:42:47,0.30000000000001137,-5.699999999999999,-5.833333333333314,8.161358819325221
2639,2639,AV3LT7oZ-R03vmj0PEsi,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:06.136Z,2017-08-10T08:43:05.000Z,3192,fcffff07aefe0d0088ff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,25.5,1502354585.0,1.136,-338,13,-120,358.90527998345186,38,2017-08-10 16:43:05,0.30000000000001137,-6.699999999999999,-4.833333333333314,8.266868277111408
2640,2640,AV3LUCXY-R03vmj0PEuL,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:33.719Z,2017-08-10T08:43:11.000Z,3193,fcffff07acfe10008fff26,yilan,宜蘭市中山路二段,1006,10.5.180.50,-99.0,7.5,1502354591.0,22.719,-340,16,-113,358.643276808586,38,2017-08-10 16:43:11,-1.6999999999999886,-3.6999999999999993,2.1666666666666856,4.612422838860774
2641,2641,AV3LT-kT-R03vmj0PEtJ,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:18.162Z,2017-08-10T08:43:17.000Z,3194,fcffff07aefe0d0088ff26,yilan,宜蘭市中山路二段,1006,192.168.88.113,-89.0,22.0,1502354597.0,1.162,-338,13,-120,358.90527998345186,38,2017-08-10 16:43:17,0.30000000000001137,-6.699999999999999,-4.833333333333314,8.266868277111408
2644,2644,AV3LUAvo-R03vmj0PEts,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:27.079Z,2017-08-10T08:43:26.000Z,3197,fcffff07acfe0d008dff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-84.0,34.5,1502354606.0,1.079,-340,13,-115,359.1573471335372,38,2017-08-10 16:43:26,-1.6999999999999886,-6.699999999999999,0.16666666666668561,6.914316869928492
2645,2645,AV3LUC8m-R03vmj0PEum,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:36.101Z,2017-08-10T08:43:35.000Z,3200,fcffff07adfe130088ff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-84.0,30.5,1502354615.0,1.101,-339,19,-120,360.1138708797538,38,2017-08-10 16:43:35,-0.6999999999999886,-0.6999999999999993,-4.833333333333314,4.933671159604267
2646,2646,AV3LUDsg-R03vmj0PEuw,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:39.167Z,2017-08-10T08:43:38.000Z,3201,fcffff07acfe13008eff26,yilan,宜蘭市中山路二段,1006,10.5.180.50,-97.0,8.3,1502354618.0,1.167,-340,19,-114,359.10583398212844,38,2017-08-10 16:43:38,-1.6999999999999886,-0.6999999999999993,1.1666666666666856,2.177409265873349
2648,2648,AV3LUFIz-R03vmj0PEvN,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:45.074Z,2017-08-10T08:43:44.000Z,3203,fcffff07adfe0d0088ff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-82.0,26.2,1502354624.0,1.074,-339,13,-120,359.8471897903331,38,2017-08-10 16:43:44,-0.6999999999999886,-6.699999999999999,-4.833333333333314,8.291025938393325
2649,2649,AV3LUGmW-R03vmj0PEvr,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:51.061Z,2017-08-10T08:43:50.000Z,3205,fcffff07adfe14008bff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-86.8,-13.8,1502354630.0,1.061,-339,20,-117,359.1796208027398,38,2017-08-10 16:43:50,-0.6999999999999886,0.3000000000000007,-1.8333333333333144,1.9852231892437249
2650,2650,AV3LUHV0-R03vmj0PEv_,parking_record_index_v2,101a0d0100d9,2017-08-10T08:43:54.099Z,2017-08-10T08:43:53.000Z,3206,fcffff07acfe11008dff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-89.0,27.0,1502354633.0,1.099,-340,17,-115,359.3243659981884,38,2017-08-10 16:43:53,-1.6999999999999886,-2.6999999999999993,0.16666666666668561,3.19496131084208
