,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2480,2480,AV3LT4ef-R03vmj0PEry,parking_record_index_v2,101a0d0100a3,2017-08-10T08:42:53.214Z,2017-08-10T08:42:52.000Z,3097,fcffff07dbfe1d0023ff28,yilan,宜蘭市中山路二段,1012,10.5.180.50,-91.0,17.5,1502354572.0,1.214,-293,29,-221,368.1453517294494,40,2017-08-10 16:42:52,-7.0322580645161565,-19.483870967741936,-4.5806451612903345,21.21452783983707
2481,2481,AV3LT82F-R03vmj0PEs3,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:11.104Z,2017-08-10T08:43:10.000Z,3100,fcffff07dcfe1f001fff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.8,-8.8,1502354590.0,1.104,-292,31,-225,369.9324262618783,40,2017-08-10 16:43:10,-6.0322580645161565,-17.483870967741936,-8.580645161290334,20.38875554705448
2482,2482,AV3LT9l6-R03vmj0PEtB,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:14.169Z,2017-08-10T08:43:13.000Z,3101,fcffff07dbfe240024ff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-70.0,25.0,1502354593.0,1.169,-293,36,-220,368.16436546738197,40,2017-08-10 16:43:13,-7.0322580645161565,-12.483870967741936,-3.5806451612903345,14.768910169550574
2483,2483,AV3LUCXx-R03vmj0PEuT,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:33.745Z,2017-08-10T08:43:16.000Z,3102,fcffff07d9fe230028ff28,yilan,宜蘭市中山路二段,1012,10.5.180.50,-87.0,21.3,1502354596.0,17.745,-295,35,-216,367.2955213448702,40,2017-08-10 16:43:16,-9.032258064516157,-13.483870967741936,0.4193548387096655,16.234910547935897
2485,2485,AV3LUCv0-R03vmj0PEul,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:35.283Z,2017-08-10T08:43:34.000Z,3105,fcffff07dafe1d0023ff28,yilan,宜蘭市中山路二段,1012,10.5.180.50,-88.0,23.8,1502354614.0,1.2830000000000001,-294,29,-221,368.94172981651184,40,2017-08-10 16:43:34,-8.032258064516157,-19.483870967741936,-4.5806451612903345,21.566657311606136
2486,2486,AV3LUEKX-R03vmj0PEu9,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:41.079Z,2017-08-10T08:43:40.000Z,3106,fcffff07dbfe220021ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-74.8,-8.8,1502354620.0,1.079,-293,34,-223,369.7756076325209,39,2017-08-10 16:43:40,-7.0322580645161565,-14.483870967741936,-6.5806451612903345,17.393678806824166
2487,2487,AV3LUE5s-R03vmj0PEvK,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:44.107Z,2017-08-10T08:43:43.000Z,3107,fcffff07dbfe240026ff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-71.5,-4.5,1502354623.0,1.107,-293,36,-218,366.9727510320078,40,2017-08-10 16:43:43,-7.0322580645161565,-12.483870967741936,-1.5806451612903345,14.415204714158348
2488,2488,AV3LUHG6-R03vmj0PEv9,parking_record_index_v2,101a0d0100a3,2017-08-10T08:43:53.145Z,2017-08-10T08:43:52.000Z,3109,fcffff07dcfe1f0020ff28,yilan,宜蘭市中山路二段,1012,10.5.151.1,-73.0,25.0,1502354632.0,1.145,-292,31,-224,369.3250600758091,40,2017-08-10 16:43:52,-6.0322580645161565,-17.483870967741936,-7.5806451612903345,19.988498253619856
2490,2490,AV3LUKFf-R03vmj0PExC,parking_record_index_v2,101a0d0100a3,2017-08-10T08:44:05.342Z,2017-08-10T08:44:04.000Z,3111,fcffff07dbfe1d0022ff27,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,27.0,1502354644.0,1.3419999999999999,-293,29,-222,368.74652540735883,39,2017-08-10 16:44:04,-7.0322580645161565,-19.483870967741936,-5.5806451612903345,21.452680060771026
2491,2491,AV3LUMQA-R03vmj0PExr,parking_record_index_v2,101a0d0100a3,2017-08-10T08:44:14.206Z,2017-08-10T08:44:13.000Z,3113,fcffff07dafe230026ff27,yilan,宜蘭市中山路二段,1012,10.5.180.50,-87.0,24.5,1502354653.0,1.206,-294,35,-218,367.67512834022375,39,2017-08-10 16:44:13,-8.032258064516157,-13.483870967741936,-1.5806451612903345,15.77435846605526
