,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
6324,6324,AV3LT3r7-R03vmj0PEro,parking_record_index_v2,101a0d0100cb,2017-08-10T08:42:49.978Z,2017-08-10T08:42:49.000Z,3910,fcffff0796fed0ff96ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,24.5,1502354569.0,0.978,-362,-48,-106,380.2420281873112,38,2017-08-10 16:42:49,-0.2280701754386314,-15.24561403508772,-1.8070175438596294,15.354024739969802
6326,6326,AV3LT4Zs-R03vmj0PErx,parking_record_index_v2,101a0d0100cb,2017-08-10T08:42:52.907Z,2017-08-10T08:42:52.000Z,3911,fcffff0796fed2ff94ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-108.0,9.5,1502354572.0,0.907,-362,-46,-108,380.5574858020796,38,2017-08-10 16:42:52,-0.2280701754386314,-13.24561403508772,-3.8070175438596294,13.783747304368736
6329,6329,AV3LT5Mq-R03vmj0PEr_,parking_record_index_v2,101a0d0100cb,2017-08-10T08:42:56.169Z,2017-08-10T08:42:55.000Z,3912,fcffff0796fed6ff92ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-109.0,7.0,1502354575.0,1.169,-362,-42,-110,380.66783420719963,38,2017-08-10 16:42:55,-0.2280701754386314,-9.24561403508772,-5.807017543859629,10.920386790101766
6332,6332,AV3LT6GY-R03vmj0PEsL,parking_record_index_v2,101a0d0100cb,2017-08-10T08:42:59.863Z,2017-08-10T08:42:58.000Z,3913,fcffff0797fed8ff95ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-109.0,13.0,1502354578.0,1.8630000000000002,-361,-40,-107,378.6423114233273,38,2017-08-10 16:42:58,0.7719298245613686,-7.245614035087719,-2.8070175438596294,7.808594360769628
6337,6337,AV3LT8E9-R03vmj0PEsv,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:07.965Z,2017-08-10T08:43:07.000Z,3915,fcffff0796fed1ff98ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-82.0,29.5,1502354587.0,0.965,-362,-47,-104,379.56422381462653,38,2017-08-10 16:43:07,-0.2280701754386314,-14.24561403508772,0.19298245614037057,14.248746522764408
6341,6341,AV3LT82_-R03vmj0PEs5,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:11.166Z,2017-08-10T08:43:10.000Z,3916,fcffff0796fed6ff93ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-85.0,17.5,1502354590.0,1.166,-362,-42,-109,380.38007308480286,38,2017-08-10 16:43:10,-0.2280701754386314,-9.24561403508772,-4.807017543859629,10.423090355442088
6344,6344,AV3LT9hH-R03vmj0PEtA,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:13.862Z,2017-08-10T08:43:13.000Z,3917,fcffff0796fed9ff98ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,28.8,1502354593.0,0.862,-362,-39,-104,378.65683672687067,38,2017-08-10 16:43:13,-0.2280701754386314,-6.245614035087719,0.19298245614037057,6.2527556252093595
6346,6346,AV3LT_AA-R03vmj0PEtU,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:19.935Z,2017-08-10T08:43:19.000Z,3918,fcffff0797fed0ff95ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,15.0,1502354599.0,0.935,-361,-48,-107,379.57081025811243,38,2017-08-10 16:43:19,0.7719298245613686,-15.24561403508772,-2.8070175438596294,15.521081484627505
6348,6348,AV3LT_uV-R03vmj0PEtf,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:22.900Z,2017-08-10T08:43:22.000Z,3919,fcffff0796fed5ff91ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-113.0,2.0,1502354602.0,0.9,-362,-43,-111,381.0695474582035,38,2017-08-10 16:43:22,-0.2280701754386314,-10.24561403508772,-6.807017543859629,12.302849702541433
6351,6351,AV3LUCQP-R03vmj0PEuB,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:33.262Z,2017-08-10T08:43:31.000Z,3921,fcffff0796fed2ff9aff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-106.0,12.0,1502354611.0,2.262,-362,-46,-102,378.8984032692669,38,2017-08-10 16:43:31,-0.2280701754386314,-13.24561403508772,2.1929824561403706,13.427862049647993
6354,6354,AV3LUCqY-R03vmj0PEuj,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:34.935Z,2017-08-10T08:43:34.000Z,3922,fcffff0796fed1ff96ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-89.0,21.3,1502354614.0,0.935,-362,-47,-106,380.11708722444985,38,2017-08-10 16:43:34,-0.2280701754386314,-14.24561403508772,-1.8070175438596294,14.361575388704031
6356,6356,AV3LUEHG-R03vmj0PEu8,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:40.869Z,2017-08-10T08:43:40.000Z,3924,fcffff0797fed8ff98ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,16.2,1502354620.0,0.8690000000000001,-361,-40,-104,377.8055055183818,38,2017-08-10 16:43:40,0.7719298245613686,-7.245614035087719,0.19298245614037057,7.289172835643662
6358,6358,AV3LUE2F-R03vmj0PEvJ,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:43.876Z,2017-08-10T08:43:43.000Z,3925,fcffff0795fed7ff98ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,20.0,1502354623.0,0.8759999999999999,-363,-41,-104,379.8236432872498,38,2017-08-10 16:43:43,-1.2280701754386314,-8.24561403508772,0.19298245614037057,8.338797839006258
6359,6359,AV3LUFlW-R03vmj0PEvX,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:46.901Z,2017-08-10T08:43:46.000Z,3926,fcffff0796fed2ff98ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,22.0,1502354626.0,0.9009999999999999,-362,-46,-104,379.4416951258783,38,2017-08-10 16:43:46,-0.2280701754386314,-13.24561403508772,0.19298245614037057,13.248982957186387
6362,6362,AV3LUGUd-R03vmj0PEvp,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:49.917Z,2017-08-10T08:43:49.000Z,3927,fcffff0796fed1ff94ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,27.5,1502354629.0,0.917,-362,-47,-108,380.67965535342177,38,2017-08-10 16:43:49,-0.2280701754386314,-14.24561403508772,-3.8070175438596294,14.747302052269353
6363,6363,AV3LUHDH-R03vmj0PEv7,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:52.902Z,2017-08-10T08:43:52.000Z,3928,fcffff0797fed6ff95ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,18.0,1502354632.0,0.902,-361,-42,-107,378.8588127521914,38,2017-08-10 16:43:52,0.7719298245613686,-9.24561403508772,-2.8070175438596294,9.693121377110375
6364,6364,AV3LUHxC-R03vmj0PEwH,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:55.841Z,2017-08-10T08:43:55.000Z,3929,fcffff0796fed9ff97ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,22.5,1502354635.0,0.841,-362,-39,-105,378.9327117048619,38,2017-08-10 16:43:55,-0.2280701754386314,-6.245614035087719,-0.8070175438596294,6.30166549384419
6366,6366,AV3LUIiF-R03vmj0PEwi,parking_record_index_v2,101a0d0100cb,2017-08-10T08:43:58.980Z,2017-08-10T08:43:58.000Z,3930,fcffff0795fed7ff99ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-87.0,17.0,1502354638.0,0.98,-363,-41,-103,379.5510505847665,38,2017-08-10 16:43:58,-1.2280701754386314,-8.24561403508772,1.1929824561403706,8.421491216648995
6369,6369,AV3LUJPN-R03vmj0PEwv,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:01.868Z,2017-08-10T08:44:01.000Z,3931,fcffff0796fed3ff99ff26,yilan,宜蘭市中山路二段,1007,10.5.180.16,-114.0,5.0,1502354641.0,0.868,-362,-45,-103,379.04880952194014,38,2017-08-10 16:44:01,-0.2280701754386314,-12.24561403508772,1.1929824561403706,12.305701371393695
6372,6372,AV3LUKBz-R03vmj0PExB,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:05.106Z,2017-08-10T08:44:04.000Z,3932,fcffff0796fed2ff96ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,27.0,1502354644.0,1.1059999999999999,-362,-46,-106,379.99473680565626,38,2017-08-10 16:44:04,-0.2280701754386314,-13.24561403508772,-1.8070175438596294,13.370251290654707
6374,6374,AV3LULb5-R03vmj0PExc,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:10.872Z,2017-08-10T08:44:10.000Z,3934,fcffff0796fed8ff96ff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,17.0,1502354650.0,0.872,-362,-40,-106,379.31517238307254,38,2017-08-10 16:44:10,-0.2280701754386314,-7.245614035087719,-1.8070175438596294,7.4710274497020315
6375,6375,AV3LUMSF-R03vmj0PExs,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:14.340Z,2017-08-10T08:44:13.000Z,3935,fcffff0795fed7ff98ff26,yilan,宜蘭市中山路二段,1007,192.168.88.113,-81.0,15.8,1502354653.0,1.34,-363,-41,-104,379.8236432872498,38,2017-08-10 16:44:13,-1.2280701754386314,-8.24561403508772,0.19298245614037057,8.338797839006258
6328,6328,AV3LUM6f-R03vmj0PEx5,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:16.926Z,2017-08-10T08:42:53.000Z,3936,fcffff0796fed2ff97ff26,yilan,宜蘭市中山路二段,1007,192.168.0.225,-107.0,-5.0,1502354573.0,83.926,-362,-46,-105,379.7169998828074,38,2017-08-10 16:42:53,-0.2280701754386314,-13.24561403508772,-0.8070175438596294,13.2721356415437
6334,6334,AV3LUOaX-R03vmj0PEya,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:23.062Z,2017-08-10T08:42:59.000Z,3938,fcffff0798fed5ff93ff26,yilan,宜蘭市中山路二段,1007,192.168.0.225,-98.2,-2.2,1502354579.0,84.06200000000001,-360,-43,-109,378.5894874398918,38,2017-08-10 16:42:59,1.7719298245613686,-10.24561403508772,-4.807017543859629,11.455119376336974
6335,6335,AV3LUPKV-R03vmj0PEyw,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:26.133Z,2017-08-10T08:43:02.000Z,3939,fcffff0794fedbff98ff26,yilan,宜蘭市中山路二段,1007,192.168.0.225,-105.5,-0.5,1502354582.0,84.133,-364,-37,-104,380.3695571414726,38,2017-08-10 16:43:02,-2.2280701754386314,-4.245614035087719,0.19298245614037057,4.79862245545437
6336,6336,AV3LUP2O-R03vmj0PEzA,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:28.941Z,2017-08-10T08:43:05.000Z,3940,fcffff0795fed6ff99ff26,yilan,宜蘭市中山路二段,1007,192.168.0.225,-107.0,17.0,1502354585.0,83.941,-363,-42,-103,379.66037454546137,38,2017-08-10 16:43:05,-1.2280701754386314,-9.24561403508772,1.1929824561403706,9.402805027345382
6340,6340,AV3LUQpB-R03vmj0PEzO,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:32.192Z,2017-08-10T08:43:08.000Z,3941,fcffff0796fed1ff9aff26,yilan,宜蘭市中山路二段,1007,192.168.0.225,-110.8,-7.8,1502354588.0,84.19200000000001,-362,-47,-102,379.0211075916485,38,2017-08-10 16:43:08,-0.2280701754386314,-14.24561403508772,2.1929824561403706,14.415224843704392
6389,6389,AV3LURTF-R03vmj0PEzY,parking_record_index_v2,101a0d0100cb,2017-08-10T08:44:34.884Z,2017-08-10T08:44:34.000Z,3942,fcffff0796fed3ff9aff26,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,28.0,1502354674.0,0.884,-362,-45,-102,378.7782992728068,38,2017-08-10 16:44:34,-0.2280701754386314,-12.24561403508772,2.1929824561403706,12.442517878395892
