,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2133,2133,AV3LT2mk-R03vmj0PErN,parking_record_index_v2,101a0d0100b5,2017-08-10T08:42:45.540Z,2017-08-10T08:42:45.000Z,3347,fcffff071bffbdff55ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-91.0,20.0,1502354565.0,0.54,-229,-67,-171,293.54897376758106,31,2017-08-10 16:42:45,2.0,-3.451612903225815,-3.4193548387096655,5.254104980557787
2134,2134,AV3LT3WJ-R03vmj0PErb,parking_record_index_v2,101a0d0100b5,2017-08-10T08:42:48.585Z,2017-08-10T08:42:48.000Z,3348,fcffff071bffc1ff58ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-73.0,30.5,1502354568.0,0.585,-229,-63,-168,290.9192327777592,31,2017-08-10 16:42:48,2.0,0.5483870967741851,-0.4193548387096655,2.1157946234589096
2136,2136,AV3LT4zA-R03vmj0PEr0,parking_record_index_v2,101a0d0100b5,2017-08-10T08:42:54.527Z,2017-08-10T08:42:54.000Z,3350,fcffff0719ffc1ff5cff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-90.0,25.0,1502354574.0,0.527,-231,-63,-164,290.21716007155743,31,2017-08-10 16:42:54,0.0,0.5483870967741851,3.5806451612903345,3.622395364807699
2138,2138,AV3LT5iq-R03vmj0PEsB,parking_record_index_v2,101a0d0100b5,2017-08-10T08:42:57.577Z,2017-08-10T08:42:57.000Z,3351,fcffff0719ffbdff5bff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-134.0,-15.0,1502354577.0,0.5770000000000001,-231,-67,-165,291.6761903207048,31,2017-08-10 16:42:57,0.0,-3.451612903225815,2.5806451612903345,4.309682248403721
2139,2139,AV3LT6U3-R03vmj0PEsN,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:00.790Z,2017-08-10T08:43:00.000Z,3352,fcffff0719ffbaff59ff1f,yilan,宜蘭市中山路二段,1004,192.168.88.113,-83.0,22.0,1502354580.0,0.79,-231,-70,-167,293.51320242878336,31,2017-08-10 16:43:00,0.0,-6.451612903225815,0.5806451612903345,6.477689237405551
2140,2140,AV3LT7xk-R03vmj0PEsm,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:06.723Z,2017-08-10T08:43:06.000Z,3354,fcffff071bffc0ff58ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-70.0,22.0,1502354586.0,0.723,-229,-64,-168,291.1374245953275,31,2017-08-10 16:43:06,2.0,-0.45161290322581493,-0.4193548387096655,2.0928002042978826
2141,2141,AV3LUCXq-R03vmj0PEuR,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:33.737Z,2017-08-10T08:43:12.000Z,3356,fcffff0718ffbbff59ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-137.0,-16.0,1502354592.0,21.737,-232,-69,-167,294.06461874900896,31,2017-08-10 16:43:12,-1.0,-5.451612903225815,0.5806451612903345,5.5729015826540556
2142,2142,AV3LUCXd-R03vmj0PEuP,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:33.724Z,2017-08-10T08:43:18.000Z,3358,fcffff071bffc1ff57ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-88.0,24.5,1502354598.0,15.724,-229,-63,-169,291.49785590978195,31,2017-08-10 16:43:18,2.0,0.5483870967741851,-1.4193548387096655,2.5130253811048067
2144,2144,AV3LUCXP-R03vmj0PEuG,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:33.710Z,2017-08-10T08:43:21.000Z,3359,fcffff0719ffc2ff5eff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-135.5,-15.5,1502354601.0,12.71,-231,-62,-162,288.87540566825686,31,2017-08-10 16:43:21,0.0,1.548387096774185,5.5806451612903345,5.791468122824299
2145,2145,AV3LUAJq-R03vmj0PEti,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:24.649Z,2017-08-10T08:43:24.000Z,3360,fcffff0719ffbdff5bff1f,yilan,宜蘭市中山路二段,1004,192.168.88.113,-78.0,17.5,1502354604.0,0.649,-231,-67,-165,291.6761903207048,31,2017-08-10 16:43:24,0.0,-3.451612903225815,2.5806451612903345,4.309682248403721
2146,2146,AV3LUA3q-R03vmj0PEtu,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:27.593Z,2017-08-10T08:43:27.000Z,3361,fcffff071affbaff55ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71.0,25.0,1502354607.0,0.593,-230,-70,-171,295.0271173977063,31,2017-08-10 16:43:27,1.0,-6.451612903225815,-3.4193548387096655,7.369891218062654
2147,2147,AV3LUDEf-R03vmj0PEup,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:36.606Z,2017-08-10T08:43:36.000Z,3364,fcffff071affc2ff5cff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-73.0,20.5,1502354616.0,0.606,-230,-62,-164,289.20580907028824,31,2017-08-10 16:43:36,1.0,1.548387096774185,3.5806451612903345,4.027222662397583
2148,2148,AV3LUFUi-R03vmj0PEvP,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:45.826Z,2017-08-10T08:43:45.000Z,3367,fcffff071affbcff55ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-135.5,-15.5,1502354625.0,0.826,-230,-68,-171,294.5589923937139,31,2017-08-10 16:43:45,1.0,-4.451612903225815,-3.4193548387096655,5.7016528264332065
2149,2149,AV3LUGIJ-R03vmj0PEvf,parking_record_index_v2,101a0d0100b5,2017-08-10T08:43:49.129Z,2017-08-10T08:43:48.000Z,3368,fcffff071bffc1ff59ff1f,yilan,宜蘭市中山路二段,1004,192.168.88.113,-75.0,15.0,1502354628.0,1.129,-229,-63,-167,290.34290072257664,31,2017-08-10 16:43:48,2.0,0.5483870967741851,0.5806451612903345,2.153573126512842
