,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
6762,6762,AV3LW79v-R03vmj0PFfP,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:13.934Z,2017-08-10T08:56:13.000Z,4147,fcffff078bfee2ff99ff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-81.0,12.5,1502355373.0,0.934,-373,-30,-103,388.1211151174334,36,2017-08-10 16:56:13,-11.228070175438631,2.754385964912281,1.1929824561403706,11.622366757633273
6763,6763,AV3LW8r5-R03vmj0PFfZ,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:16.889Z,2017-08-10T08:56:16.000Z,4148,fcffff078bfee2ff9aff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-85.0,18.0,1502355376.0,0.889,-373,-30,-102,387.8569323861569,36,2017-08-10 16:56:16,-11.228070175438631,2.754385964912281,2.1929824561403706,11.767131084560065
6764,6764,AV3LW9cH-R03vmj0PFfl,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:19.974Z,2017-08-10T08:56:19.000Z,4149,fcffff078bfee1ff9cff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-76.0,17.5,1502355379.0,0.9740000000000001,-373,-31,-100,387.41450669792937,36,2017-08-10 16:56:19,-11.228070175438631,1.7543859649122808,4.192982456140371,12.113155322043742
6768,6768,AV3LW-No-R03vmj0PFfy,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:23.143Z,2017-08-10T08:56:22.000Z,4150,fcffff078afee1ff9dff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-79.0,16.3,1502355382.0,1.143,-374,-31,-99,388.1211151174334,36,2017-08-10 16:56:22,-12.228070175438631,1.7543859649122808,5.192982456140371,13.400396901551634
6771,6771,AV3LW-8G-R03vmj0PFgE,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:26.117Z,2017-08-10T08:56:25.000Z,4151,fcffff078afee2ffa0ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-76.0,16.3,1502355385.0,1.117,-374,-30,-96,387.2880065274421,36,2017-08-10 16:56:25,-12.228070175438631,2.754385964912281,8.19298245614037,14.97455521161752
6775,6775,AV3LW_np-R03vmj0PFgP,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:28.904Z,2017-08-10T08:56:28.000Z,4152,fcffff078afee7ffa0ff24,yilan,宜蘭市中山路二段,1007,10.5.180.16,-101.0,13.8,1502355388.0,0.904,-374,-25,-96,386.93281070490787,36,2017-08-10 16:56:28,-12.228070175438631,7.754385964912281,8.19298245614037,16.636741370680262
6778,6778,AV3LXAV3-R03vmj0PFgY,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:31.862Z,2017-08-10T08:56:31.000Z,4153,fcffff078afee7ff9dff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-82.0,29.5,1502355391.0,0.862,-374,-25,-99,387.68801890179685,36,2017-08-10 16:56:31,-12.228070175438631,7.754385964912281,5.192982456140371,15.382563788200653
6779,6779,AV3LXBJq-R03vmj0PFgk,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:35.177Z,2017-08-10T08:56:34.000Z,4154,fcffff078bfee6ff9bff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-81.0,18.8,1502355394.0,1.177,-373,-26,-101,387.30608050997597,36,2017-08-10 16:56:34,-11.228070175438631,6.754385964912281,3.1929824561403706,13.486527595819418
6783,6783,AV3LXCmk-R03vmj0PFg0,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:41.123Z,2017-08-10T08:56:40.000Z,4155,fcffff0789fee0ff98ff23,yilan,宜蘭市中山路二段,1007,192.168.88.113,-77.0,22.5,1502355400.0,1.123,-375,-32,-104,390.4676683158287,35,2017-08-10 16:56:40,-13.228070175438631,0.7543859649122808,0.19298245614037057,13.25096905810151
6786,6786,AV3LXDR--R03vmj0PFg9,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:43.901Z,2017-08-10T08:56:43.000Z,4156,fcffff078bfee0ff9dff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,17.5,1502355403.0,0.9009999999999999,-373,-32,-99,387.2389443224945,36,2017-08-10 16:56:43,-11.228070175438631,0.7543859649122808,5.192982456140371,12.393777666168326
6788,6788,AV3LXEBU-R03vmj0PFhK,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:46.931Z,2017-08-10T08:56:46.000Z,4157,fcffff078afee1ff9cff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,30.0,1502355406.0,0.9309999999999999,-374,-31,-100,388.37739378084297,36,2017-08-10 16:56:46,-12.228070175438631,1.7543859649122808,4.192982456140371,13.045484744034386
6790,6790,AV3LXGNx-R03vmj0PFho,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:55.920Z,2017-08-10T08:56:55.000Z,4159,fcffff0791fed8ff98ff24,yilan,宜蘭市中山路二段,1007,10.5.180.16,-109.0,12.0,1502355415.0,0.92,-367,-40,-104,383.5426964498216,36,2017-08-10 16:56:55,-5.228070175438631,-7.245614035087719,0.19298245614037057,8.93693922621996
6793,6793,AV3LXG-I-R03vmj0PFhy,parking_record_index_v2,101a0d0100cb,2017-08-10T08:56:59.015Z,2017-08-10T08:56:58.000Z,4160,fcffff078afedcff94ff24,yilan,宜蘭市中山路二段,1007,192.168.88.113,-93.0,18.3,1502355418.0,1.015,-374,-36,-108,390.94245100781785,36,2017-08-10 16:56:58,-12.228070175438631,-3.245614035087719,-3.8070175438596294,13.211854270293218
6795,6795,AV3LXHqf-R03vmj0PFh3,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:01.854Z,2017-08-10T08:57:01.000Z,4161,fcffff0785fee5ff9aff24,yilan,宜蘭市中山路二段,1007,10.5.180.16,-107.0,11.2,1502355421.0,0.8540000000000001,-379,-27,-102,393.4132687137026,36,2017-08-10 16:57:01,-17.22807017543863,5.754385964912281,2.1929824561403706,18.295587770168986
6796,6796,AV3LXJKw-R03vmj0PFiL,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:08.015Z,2017-08-10T08:57:07.000Z,4162,fcffff0786fee5ff9fff23,yilan,宜蘭市中山路二段,1007,10.5.151.1,-76.0,31.2,1502355427.0,1.015,-378,-27,-97,391.1802653508993,35,2017-08-10 16:57:07,-16.22807017543863,5.754385964912281,7.192982456140371,18.66017727853847
6799,6799,AV3LXKrT-R03vmj0PFiq,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:14.194Z,2017-08-10T08:57:13.000Z,4163,fcffff0786fee0ff9bff23,yilan,宜蘭市中山路二段,1007,192.168.88.113,-83.0,18.8,1502355433.0,1.194,-378,-32,-101,392.5671917009877,35,2017-08-10 16:57:13,-16.22807017543863,0.7543859649122808,3.1929824561403706,16.556403497385464
6803,6803,AV3LXMyw-R03vmj0PFjJ,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:22.863Z,2017-08-10T08:57:22.000Z,4165,fcffff0788fed5ff98ff23,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,32.0,1502355442.0,0.863,-376,-43,-104,392.48057276762114,35,2017-08-10 16:57:22,-14.228070175438631,-10.24561403508772,0.19298245614037057,17.534190317821086
6805,6805,AV3LXO_d-R03vmj0PFjf,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:31.868Z,2017-08-10T08:57:31.000Z,4167,fcffff0789fee3ff9bff24,yilan,宜蘭市中山路二段,1007,10.5.151.1,-83.0,31.2,1502355451.0,0.868,-375,-29,-101,389.44447614518816,36,2017-08-10 16:57:31,-13.228070175438631,3.754385964912281,3.1929824561403706,14.11638733901417
6808,6808,AV3LXRML-R03vmj0PFj_,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:40.875Z,2017-08-10T08:57:40.000Z,4169,fcffff078afee1ff9aff23,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,24.5,1502355460.0,0.875,-374,-31,-102,388.89715864223024,35,2017-08-10 16:57:40,-12.228070175438631,1.7543859649122808,2.1929824561403706,12.546423489675153
6767,6767,AV3LXSBr-R03vmj0PFkL,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:44.298Z,2017-08-10T08:56:20.000Z,4170,fcffff078afee5ff98ff24,yilan,宜蘭市中山路二段,1007,192.168.0.225,-94.0,12.0,1502355380.0,84.29799999999999,-374,-27,-104,389.12851347594665,36,2017-08-10 16:56:20,-12.228070175438631,5.754385964912281,0.19298245614037057,13.515764879466097
6770,6770,AV3LXS7i-R03vmj0PFkc,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:48.001Z,2017-08-10T08:56:23.000Z,4171,fcffff078afee6ff9aff23,yilan,宜蘭市中山路二段,1007,192.168.0.225,-99.0,-4.0,1502355383.0,85.001,-374,-26,-102,388.53056507821884,35,2017-08-10 16:56:23,-12.228070175438631,6.754385964912281,2.1929824561403706,14.140601190592825
6774,6774,AV3LXTok-R03vmj0PFkm,parking_record_index_v2,101a0d0100cb,2017-08-10T08:57:50.883Z,2017-08-10T08:56:26.000Z,4172,fcffff078afee7ff9aff23,yilan,宜蘭市中山路二段,1007,192.168.0.225,-99.2,-3.2,1502355386.0,84.883,-374,-25,-102,388.46492763182624,35,2017-08-10 16:56:26,-12.228070175438631,7.754385964912281,2.1929824561403706,14.644636354693816
