,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3831,3831,AV3LW7tL-R03vmj0PFfN,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:12.874Z,2017-08-10T08:56:12.000Z,3195,fcffff0739ff620002ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,33.8,1502355372.0,0.8740000000000001,-199,98,-254,337.2254438799065,35,2017-08-10 16:56:12,-26.790697674418595,14.558139534883722,-11.906976744185982,32.73311784394863
3832,3832,AV3LW8eZ-R03vmj0PFfV,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:16.024Z,2017-08-10T08:56:15.000Z,3196,fcffff0739ff620000ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-70.0,1.2,1502355375.0,1.024,-199,98,-256,338.7344092353181,35,2017-08-10 16:56:15,-26.790697674418595,14.558139534883722,-13.906976744185982,33.51245903783505
3833,3833,AV3LW-sq-R03vmj0PFf9,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:25.129Z,2017-08-10T08:56:24.000Z,3198,fcffff0739ff5c0002ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-73.0,32.0,1502355384.0,1.129,-199,92,-254,335.5309225689936,35,2017-08-10 16:56:24,-26.790697674418595,8.558139534883722,-11.906976744185982,30.541108843118703
3835,3835,AV3LXAIg-R03vmj0PFgT,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:31.007Z,2017-08-10T08:56:30.000Z,3199,fcffff0738ff5d0005ff23,yilan,宜蘭市中山路二段,1015,10.5.181.21,-135.5,-14.5,1502355390.0,1.0070000000000001,-200,93,-251,334.14068893207246,35,2017-08-10 16:56:30,-27.790697674418595,9.558139534883722,-8.906976744185982,30.70855163176395
3838,3838,AV3LXDBl-R03vmj0PFg6,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:42.852Z,2017-08-10T08:56:42.000Z,3201,fcffff073aff610003ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,26.2,1502355402.0,0.852,-198,97,-253,335.59201420772814,35,2017-08-10 16:56:42,-25.790697674418595,13.558139534883722,-10.906976744185982,31.111820516949045
3839,3839,AV3LXDw_-R03vmj0PFhE,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:45.886Z,2017-08-10T08:56:45.000Z,3202,fcffff0737ff620000ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-69.0,24.5,1502355405.0,0.8859999999999999,-201,98,-256,339.91322422053537,35,2017-08-10 16:56:45,-28.790697674418595,14.558139534883722,-13.906976744185982,35.131861628160934
3840,3840,AV3LXGsx-R03vmj0PFhu,parking_record_index_v2,101a0d0100c0,2017-08-10T08:56:57.904Z,2017-08-10T08:56:57.000Z,3204,fcffff074dff52000aff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,29.5,1502355417.0,0.904,-179,82,-246,315.08887635078463,35,2017-08-10 16:56:57,-6.790697674418595,-1.441860465116278,-3.9069767441859824,7.9659904460041595
3841,3841,AV3LXIKk-R03vmj0PFh9,parking_record_index_v2,101a0d0100c0,2017-08-10T08:57:03.907Z,2017-08-10T08:57:03.000Z,3205,fcffff0730ff560001ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-112.0,21.2,1502355423.0,0.907,-208,86,-255,340.1249770305027,35,2017-08-10 16:57:03,-35.790697674418595,2.558139534883722,-12.906976744185982,38.132770245243464
3843,3843,AV3LXLFH-R03vmj0PFix,parking_record_index_v2,101a0d0100c0,2017-08-10T08:57:15.845Z,2017-08-10T08:57:15.000Z,3207,fcffff0736ff5d00fefe23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-62.0,24.5,1502355435.0,0.845,-202,93,-258,340.6126832635567,35,2017-08-10 16:57:15,-29.790697674418595,9.558139534883722,-15.906976744185982,35.0980855380602
3844,3844,AV3LXMjX-R03vmj0PFjE,parking_record_index_v2,101a0d0100c0,2017-08-10T08:57:21.879Z,2017-08-10T08:57:21.000Z,3208,fcffff0748ff4a0004ff23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,34.5,1502355441.0,0.879,-184,74,-252,320.68052638100744,35,2017-08-10 16:57:21,-11.790697674418595,-9.441860465116278,-9.906976744185982,18.06425943408995
3845,3845,AV3LXQ8b-R03vmj0PFj3,parking_record_index_v2,101a0d0100c0,2017-08-10T08:57:39.866Z,2017-08-10T08:57:39.000Z,3211,fcffff0736ff6600fffe23,yilan,宜蘭市中山路二段,1015,10.5.151.1,-83.0,27.0,1502355459.0,0.866,-202,102,-257,342.4280946417802,35,2017-08-10 16:57:39,-29.790697674418595,18.558139534883722,-14.906976744185982,38.132770245243464
