,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3113,3113,AV3LWpnI-R03vmj0PFau,parking_record_index_v2,101a0d0100e4,2017-08-10T08:54:58.760Z,2017-08-10T08:54:57.000Z,3820,fcffff07f5feea0073ff23,yilan,宜蘭市中山路二段,1014,10.5.180.50,-94.0,8.3,1502355297.0,1.76,-267,234,-141,382.0026177920774,35,2017-08-10 16:54:57,-1.0,-5.657142857142816,0.9428571428571502,5.82170463850226
3114,3114,AV3LWqQ2-R03vmj0PFa4,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:01.429Z,2017-08-10T08:55:00.000Z,3821,fcffff07f5feec0072ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,31.2,1502355300.0,1.429,-267,236,-142,383.60005213763986,35,2017-08-10 16:55:00,-1.0,-3.6571428571428157,-0.057142857142849834,3.7918279475304737
3115,3115,AV3LWq8s-R03vmj0PFbA,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:04.235Z,2017-08-10T08:55:03.000Z,3822,fcffff07f2fee90072ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,24.5,1502355303.0,1.235,-270,233,-142,383.86586198827314,35,2017-08-10 16:55:03,-4.0,-6.657142857142816,-0.057142857142849834,7.766647689095345
3116,3116,AV3LWrua-R03vmj0PFbM,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:07.418Z,2017-08-10T08:55:06.000Z,3823,fcffff07eefeec0072ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,17.0,1502355306.0,1.4180000000000001,-274,236,-142,388.5048262248488,35,2017-08-10 16:55:06,-8.0,-3.6571428571428157,-0.057142857142849834,8.796474247314839
3118,3118,AV3LWuq8-R03vmj0PFcI,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:19.483Z,2017-08-10T08:55:18.000Z,3827,fcffff07effeef0076ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,24.5,1502355318.0,1.483,-273,239,-138,388.19325084292745,35,2017-08-10 16:55:18,-7.0,-0.6571428571428157,3.94285714285715,8.060890719000815
3119,3119,AV3LWvZO-R03vmj0PFcS,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:22.445Z,2017-08-10T08:55:21.000Z,3828,fcffff07effeef0074ff23,yilan,宜蘭市中山路二段,1014,10.5.180.50,-90.0,11.3,1502355321.0,1.445,-273,239,-140,388.90872965260115,35,2017-08-10 16:55:21,-7.0,-0.6571428571428157,1.9428571428571502,7.294280678191981
3121,3121,AV3LWwFp-R03vmj0PFcZ,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:25.288Z,2017-08-10T08:55:24.000Z,3829,fcffff07effef00073ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,25.5,1502355324.0,1.288,-273,240,-141,389.8845983108335,35,2017-08-10 16:55:24,-7.0,0.34285714285718427,0.9428571428571502,7.071529580808168
3122,3122,AV3LWw2--R03vmj0PFcm,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:28.445Z,2017-08-10T08:55:27.000Z,3830,fcffff07f0fef00071ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-82.0,-4.0,1502355327.0,1.445,-272,240,-143,389.9140931025705,35,2017-08-10 16:55:27,-6.0,0.34285714285718427,-1.0571428571428498,6.1020571974389375
3123,3123,AV3LWxjv-R03vmj0PFcx,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:31.310Z,2017-08-10T08:55:30.000Z,3831,fcffff07effef20070ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-80.0,25.5,1502355330.0,1.31,-273,242,-144,392.2104027177249,35,2017-08-10 16:55:30,-7.0,2.3428571428571843,-2.05714285714285,7.6629508889546445
3124,3124,AV3LWyT2-R03vmj0PFc5,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:34.390Z,2017-08-10T08:55:33.000Z,3832,fcffff07f0fef30071ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,27.5,1502355333.0,1.39,-272,243,-143,391.7677883644851,35,2017-08-10 16:55:33,-6.0,3.3428571428571843,-1.0571428571428498,6.949262183711264
3125,3125,AV3LWzAw-R03vmj0PFdH,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:37.263Z,2017-08-10T08:55:36.000Z,3833,fcffff07effef50073ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,24.5,1502355336.0,1.263,-273,245,-141,392.9821878915125,35,2017-08-10 16:55:36,-7.0,5.342857142857184,0.9428571428571502,8.85635941235544
3126,3126,AV3LWzu8-R03vmj0PFdR,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:40.218Z,2017-08-10T08:55:39.000Z,3834,fcffff07effef60073ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,23.8,1502355339.0,1.218,-273,246,-141,393.60640238695305,35,2017-08-10 16:55:39,-7.0,6.342857142857184,0.9428571428571502,9.493198424479031
3127,3127,AV3LW1SK-R03vmj0PFds,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:46.569Z,2017-08-10T08:55:45.000Z,3836,fcffff07effef40078ff23,yilan,宜蘭市中山路二段,1014,10.5.180.50,-90.0,14.5,1502355345.0,1.569,-273,244,-136,390.59057848340376,35,2017-08-10 16:55:45,-7.0,4.342857142857184,5.94285714285715,10.157655201062592
3129,3129,AV3LW19s-R03vmj0PFd_,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:49.354Z,2017-08-10T08:55:48.000Z,3837,fcffff07effef20079ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,20.5,1502355348.0,1.354,-273,242,-135,388.9961439397568,35,2017-08-10 16:55:48,-7.0,2.3428571428571843,6.94285714285715,10.133718216822466
3130,3130,AV3LW2qq-R03vmj0PFeG,parking_record_index_v2,101a0d0100e4,2017-08-10T08:55:52.233Z,2017-08-10T08:55:51.000Z,3838,fcffff07effef00077ff23,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,29.5,1502355351.0,1.2329999999999999,-273,240,-137,388.45591770495656,35,2017-08-10 16:55:51,-7.0,0.34285714285718427,4.94285714285715,8.57609396841605
3117,3117,AV3LXCl8-R03vmj0PFgz,parking_record_index_v2,101a0d0100e4,2017-08-10T08:56:41.083Z,2017-08-10T08:55:16.000Z,3849,fcffff07f0fef20072ff23,yilan,宜蘭市中山路二段,1014,192.168.0.225,-100.0,2.5,1502355316.0,85.083,-272,242,-142,390.78382771041083,35,2017-08-10 16:55:16,-6.0,2.3428571428571843,-0.057142857142849834,6.441447422587518
3131,3131,AV3LXMT4-R03vmj0PFjC,parking_record_index_v2,101a0d0100e4,2017-08-10T08:57:20.888Z,2017-08-10T08:55:55.000Z,3857,fcffff07effeeb0073ff23,yilan,宜蘭市中山路二段,1014,192.168.0.225,-101.0,3.0,1502355355.0,85.88799999999999,-273,235,-141,386.8268346430997,35,2017-08-10 16:55:55,-7.0,-4.657142857142816,0.9428571428571502,8.460375829930554
