,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2770,2770,AV3LWpdH-R03vmj0PFaq,parking_record_index_v2,101a0d01019a,2017-08-10T08:54:58.118Z,2017-08-10T08:54:57.000Z,3953,fcffff0723ff95007aff26,yilan,宜蘭市中山路二段,1001,10.5.151.1,-68.0,27.5,1502355297.0,1.1179999999999999,-221,149,-134,298.3253257770785,38,2017-08-10 16:54:57,-2.6923076923077076,-4.871794871794862,3.487179487179503,6.5683579956265685
2774,2774,AV3LWq43-R03vmj0PFa-,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:03.990Z,2017-08-10T08:55:03.000Z,3954,fcffff0723ff940078ff26,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,25.5,1502355303.0,0.99,-221,148,-136,298.7323216526796,38,2017-08-10 16:55:03,-2.6923076923077076,-5.871794871794862,1.4871794871795032,6.62858948446675
2775,2775,AV3LWrqu-R03vmj0PFbK,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:07.182Z,2017-08-10T08:55:06.000Z,3955,fcffff071eff930077ff26,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,30.0,1502355306.0,1.182,-226,147,-137,302.41362403172246,38,2017-08-10 16:55:06,-7.692307692307708,-6.871794871794862,0.4871794871795032,10.326204832652264
2776,2776,AV3LWsft-R03vmj0PFbY,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:10.572Z,2017-08-10T08:55:09.000Z,3956,fcffff0717ff950078ff26,yilan,宜蘭市中山路二段,1001,10.5.180.50,-89.0,12.0,1502355309.0,1.5719999999999998,-233,149,-136,308.1979883127078,38,2017-08-10 16:55:09,-14.692307692307708,-4.871794871794862,1.4871794871795032,15.550240944286955
2777,2777,AV3LWt19-R03vmj0PFbx,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:16.086Z,2017-08-10T08:55:15.000Z,3957,fcffff0715ff970079ff26,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,22.5,1502355315.0,1.0859999999999999,-235,151,-135,310.2434527915134,38,2017-08-10 16:55:15,-16.692307692307708,-2.8717948717948616,2.487179487179503,17.119182330993173
2778,2778,AV3LWvTf-R03vmj0PFcQ,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:22.078Z,2017-08-10T08:55:21.000Z,3958,fcffff0716ff990079ff26,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,23.8,1502355321.0,1.078,-234,153,-135,310.46738959188616,38,2017-08-10 16:55:21,-15.692307692307708,-0.8717948717948616,2.487179487179503,15.912090020170009
2779,2779,AV3LWwCa-R03vmj0PFcY,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:25.081Z,2017-08-10T08:55:24.000Z,3959,fcffff0716ff9a0078ff26,yilan,宜蘭市中山路二段,1001,10.5.180.50,-89.0,23.3,1502355324.0,1.081,-234,154,-136,311.39685290638374,38,2017-08-10 16:55:24,-15.692307692307708,0.1282051282051384,1.4871794871795032,15.763142456123564
2781,2781,AV3LWyl3-R03vmj0PFdC,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:35.542Z,2017-08-10T08:55:35.000Z,3961,fcffff0718ff9f0076ff26,yilan,宜蘭市中山路二段,1001,192.168.88.113,-75.0,18.3,1502355335.0,0.542,-232,159,-138,313.28740798187215,38,2017-08-10 16:55:35,-13.692307692307708,5.128205128205138,-0.5128205128204968,14.630132010892718
2782,2782,AV3LW0y2-R03vmj0PFdh,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:44.565Z,2017-08-10T08:55:44.000Z,3964,fcffff0717ffa00078ff26,yilan,宜蘭市中山路二段,1001,10.5.180.50,-88.0,22.0,1502355344.0,0.565,-233,160,-136,313.66383278918215,38,2017-08-10 16:55:44,-14.692307692307708,6.128205128205138,1.4871794871795032,15.988449150742904
2783,2783,AV3LW3A5-R03vmj0PFeN,parking_record_index_v2,101a0d01019a,2017-08-10T08:55:53.656Z,2017-08-10T08:55:53.000Z,3967,fcffff0717ff9a007bff25,yilan,宜蘭市中山路二段,1001,10.5.180.50,-94.0,10.0,1502355353.0,0.6559999999999999,-233,154,-133,309.34446819039766,37,2017-08-10 16:55:53,-14.692307692307708,0.1282051282051384,4.487179487179503,15.362783655005588
