,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2273,2273,AV3LWqBX-R03vmj0PFay,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:00.438Z,2017-08-10T08:55:00.000Z,3554,fcffff0721ffc4ff50ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-76.0,21.2,1502355300.0,0.43799999999999994,-223,-60,-176,290.3532331488665,31,2017-08-10 16:55:00,8.0,3.548387096774185,-8.419354838709666,12.143993860697451
2274,2274,AV3LWqxk-R03vmj0PFa9,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:03.523Z,2017-08-10T08:55:03.000Z,3555,fcffff0720ffc3ff51ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-91.0,20.8,1502355303.0,0.523,-224,-61,-175,290.72667576264826,31,2017-08-10 16:55:03,7.0,2.548387096774185,-7.4193548387096655,10.513852910217533
2275,2275,AV3LWrfW-R03vmj0PFbF,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:06.453Z,2017-08-10T08:55:06.000Z,3556,fcffff071cffbfff50ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-72.0,20.0,1502355306.0,0.45299999999999996,-228,-65,-176,295.2710619075293,31,2017-08-10 16:55:06,3.0,-1.451612903225815,-8.419354838709666,9.054982933220556
2276,2276,AV3LWs9t-R03vmj0PFbk,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:12.492Z,2017-08-10T08:55:12.000Z,3558,fcffff0709ffbdff48ff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-85.0,21.3,1502355312.0,0.4920000000000001,-247,-67,-184,315.20469539649946,31,2017-08-10 16:55:12,-16.0,-3.451612903225815,-16.419354838709666,23.184236993120418
2278,2278,AV3LWtuS-R03vmj0PFbu,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:15.601Z,2017-08-10T08:55:15.000Z,3559,fcffff0709ffbbff48ff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-65.0,25.5,1502355315.0,0.601,-247,-69,-184,315.635866149587,31,2017-08-10 16:55:15,-16.0,-5.451612903225815,-16.419354838709666,23.565128825577776
2279,2279,AV3LWvK3-R03vmj0PFcM,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:21.526Z,2017-08-10T08:55:21.000Z,3560,fcffff0706ffc0ff44ff1f,yilan,宜蘭市中山路二段,1004,192.168.88.113,-69.0,23.8,1502355321.0,0.526,-250,-64,-188,319.28044099192795,31,2017-08-10 16:55:21,-19.0,-0.45161290322581493,-20.419354838709666,27.895411921021992
2280,2280,AV3LWzih-R03vmj0PFdP,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:39.423Z,2017-08-10T08:55:39.000Z,3563,fcffff0706ffc7ff4dff1f,yilan,宜蘭市中山路二段,1004,10.5.151.1,-109.0,5.5,1502355339.0,0.423,-250,-57,-179,312.71392677653483,31,2017-08-10 16:55:39,-19.0,6.548387096774185,-11.419354838709666,23.114563342221295
2281,2281,AV3LW1CP-R03vmj0PFdk,parking_record_index_v2,101a0d0100b5,2017-08-10T08:55:45.550Z,2017-08-10T08:55:45.000Z,3564,fcffff0705ffbdff4bff1f,yilan,宜蘭市中山路二段,1004,10.5.180.50,-135.0,-15.0,1502355345.0,0.55,-251,-67,-181,316.6243831419178,31,2017-08-10 16:55:45,-20.0,-3.451612903225815,-13.419354838709666,24.330900433829314
2283,2283,AV3LW66m-R03vmj0PFfD,parking_record_index_v2,101a0d0100b5,2017-08-10T08:56:09.637Z,2017-08-10T08:56:09.000Z,3568,fcffff0706ffc5ff4cff1e,yilan,宜蘭市中山路二段,1004,10.5.181.21,-135.8,-15.8,1502355369.0,0.637,-250,-59,-180,313.6574564712276,30,2017-08-10 16:56:09,-19.0,4.548387096774185,-12.419354838709666,23.150123105328902
2286,2286,AV3LXPou-R03vmj0PFjo,parking_record_index_v2,101a0d0100b5,2017-08-10T08:57:34.509Z,2017-08-10T08:56:10.000Z,3592,fcffff0702ffc4ff43ff1e,yilan,宜蘭市中山路二段,1004,192.168.0.225,-105.0,6.2,1502355370.0,84.509,-254,-60,-189,322.2374900597384,30,2017-08-10 16:56:10,-23.0,3.548387096774185,-21.419354838709666,31.62878139756745
