,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2388,2388,AV3LWpgU-R03vmj0PFas,parking_record_index_v2,101a0d0101eb,2017-08-10T08:54:58.323Z,2017-08-10T08:54:57.000Z,60,fcffff07bcffde00c8ff21,yilan,宜蘭市中山路二段,1011,10.5.180.50,-102.3,-5.3,1502355297.0,1.3230000000000002,-68,222,-56,238.83885781003056,33,2017-08-10 16:54:57,-68.0,222.0,-56.0,238.83885781003056
2389,2389,AV3LWq8e-R03vmj0PFa_,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:04.221Z,2017-08-10T08:55:03.000Z,61,fcffff07b0ffdc00c7ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-83.0,30.5,1502355303.0,1.2209999999999999,-80,220,-57,240.9336008115099,33,2017-08-10 16:55:03,-80.0,220.0,-57.0,240.9336008115099
2390,2390,AV3LWsbM-R03vmj0PFbX,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:10.283Z,2017-08-10T08:55:09.000Z,62,fcffff07b0ffe900cbff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-93.0,23.0,1502355309.0,1.2830000000000001,-80,233,-53,251.9880949568848,33,2017-08-10 16:55:09,-80.0,233.0,-53.0,251.98809495688482
2391,2391,AV3LWunH-R03vmj0PFcH,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:19.238Z,2017-08-10T08:55:18.000Z,64,fcffff07b1ffeb00cdff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-87.0,18.0,1502355318.0,1.238,-79,235,-51,253.11459855172316,33,2017-08-10 16:55:18,-79.0,235.0,-51.0,253.11459855172322
2392,2392,AV3LWwFr-R03vmj0PFca,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:25.290Z,2017-08-10T08:55:24.000Z,65,fcffff07b1ffec00caff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-84.0,28.8,1502355324.0,1.29,-79,236,-54,254.6625217812782,33,2017-08-10 16:55:24,-79.0,236.0,-54.0,254.6625217812782
2393,2393,AV3LWxjt-R03vmj0PFcw,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:31.308Z,2017-08-10T08:55:30.000Z,66,fcffff07b0ffed00caff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-90.0,23.8,1502355330.0,1.308,-80,237,-54,255.90037123849584,33,2017-08-10 16:55:30,-80.0,237.0,-54.0,255.90037123849586
2394,2394,AV3LWzBd-R03vmj0PFdI,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:37.309Z,2017-08-10T08:55:36.000Z,67,fcffff07b0ffee00cbff21,yilan,宜蘭市中山路二段,1011,10.5.180.50,-97.0,1.3,1502355336.0,1.3090000000000002,-80,238,-53,256.6183937288985,33,2017-08-10 16:55:36,-80.0,238.0,-53.0,256.6183937288985
2396,2396,AV3LW0eO-R03vmj0PFdf,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:43.245Z,2017-08-10T08:55:42.000Z,68,fcffff07afffed00cfff21,yilan,宜蘭市中山路二段,1011,192.168.88.113,-84.0,8.3,1502355342.0,1.245,-81,237,-49,255.207758502754,33,2017-08-10 16:55:42,-81.0,237.0,-49.0,255.207758502754
2398,2398,AV3LW155-R03vmj0PFd6,parking_record_index_v2,101a0d0101eb,2017-08-10T08:55:49.112Z,2017-08-10T08:55:48.000Z,69,fcffff07b0ffe900d0ff21,yilan,宜蘭市中山路二段,1011,10.5.151.1,-83.0,25.5,1502355348.0,1.112,-80,233,-48,250.98406323908299,33,2017-08-10 16:55:48,-80.0,233.0,-48.0,250.98406323908296
2399,2399,AV3LXKtU-R03vmj0PFir,parking_record_index_v2,101a0d0101eb,2017-08-10T08:57:14.324Z,2017-08-10T08:55:49.000Z,84,fcffff07b2ffeb00ccff21,yilan,宜蘭市中山路二段,1011,192.168.0.225,-94.0,10.0,1502355349.0,85.324,-78,235,-52,253.00790501484337,33,2017-08-10 16:55:49,-78.0,235.0,-52.0,253.00790501484337
