,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2071,2071,AV3LLweX-R03vmj0PCe8,parking_record_index_v2,101a0d0100a3,2017-08-10T08:07:23.286Z,2017-08-10T08:07:22.000Z,2586,fcffff07c9fecdff9dfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,31.2,1502352442.0,1.286,-311,-51,-355,474.70727822522383,42,2017-08-10 16:07:22,1.8666666666666742,-106.04444444444445,-112.57777777777775,154.66953381761394
2072,2072,AV3LL1ld-R03vmj0PCgM,parking_record_index_v2,101a0d0100a3,2017-08-10T08:07:44.220Z,2017-08-10T08:07:43.000Z,2590,fcffff07c9feceff9efe2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-91.0,20.8,1502352463.0,1.22,-311,-50,-354,473.8533528424168,42,2017-08-10 16:07:43,1.8666666666666742,-105.04444444444445,-111.57777777777775,153.2560610446242
2074,2074,AV3LL2Sv-R03vmj0PCgU,parking_record_index_v2,101a0d0100a3,2017-08-10T08:07:47.118Z,2017-08-10T08:07:46.000Z,2591,fcffff07c9fed2ff9dfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-85.2,-8.2,1502352466.0,1.1179999999999999,-311,-46,-355,474.196161941448,42,2017-08-10 16:07:46,1.8666666666666742,-101.04444444444445,-112.57777777777775,151.2852281186553
2075,2075,AV3LL3wT-R03vmj0PCgu,parking_record_index_v2,101a0d0100a3,2017-08-10T08:07:53.106Z,2017-08-10T08:07:52.000Z,2592,fcffff07cbfeccff99fe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,25.5,1502352472.0,1.1059999999999999,-309,-52,-359,476.5144279032903,42,2017-08-10 16:07:52,3.8666666666666742,-107.04444444444445,-116.57777777777775,158.31564189661046
2076,2076,AV3LL4jc-R03vmj0PCg0,parking_record_index_v2,101a0d0100a3,2017-08-10T08:07:56.379Z,2017-08-10T08:07:55.000Z,2593,fcffff07c8feccff9bfe2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-91.0,19.5,1502352475.0,1.379,-312,-52,-357,476.9664558435949,42,2017-08-10 16:07:55,0.8666666666666742,-107.04444444444445,-114.57777777777775,156.80348005712338
2077,2077,AV3LL7vA-R03vmj0PChj,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:09.408Z,2017-08-10T08:08:07.000Z,2595,fcffff07ccfeccff97fe2a,yilan,宜蘭市中山路二段,1012,192.168.88.113,-75.0,16.3,1502352487.0,2.408,-308,-52,-361,477.37720934288427,42,2017-08-10 16:08:07,4.866666666666674,-107.04444444444445,-118.57777777777775,159.82142194831155
2079,2079,AV3LL846-R03vmj0PCh8,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:14.138Z,2017-08-10T08:08:13.000Z,2597,fcffff07c9feccff9cfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-76.0,32.5,1502352493.0,1.138,-311,-52,-356,475.56387583583336,42,2017-08-10 16:08:13,1.8666666666666742,-107.04444444444445,-113.57777777777775,156.08302001115453
2080,2080,AV3LL9rK-R03vmj0PCiE,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:17.354Z,2017-08-10T08:08:16.000Z,2598,fcffff07c8feceff9dfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,23.8,1502352496.0,1.354,-312,-50,-355,475.25677270292533,42,2017-08-10 16:08:16,0.8666666666666742,-105.04444444444445,-112.57777777777775,153.9767595097903
2082,2082,AV3LL-WN-R03vmj0PCiM,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:20.108Z,2017-08-10T08:08:19.000Z,2599,fcffff07c7fed2ff9afe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,24.5,1502352499.0,1.1079999999999999,-313,-46,-358,477.7541208613485,42,2017-08-10 16:08:19,-0.13333333333332575,-101.04444444444445,-115.57777777777775,153.51944582662347
2083,2083,AV3LL_JO-R03vmj0PCiV,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:23.373Z,2017-08-10T08:08:22.000Z,2600,fcffff07c7fed3ff9cfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,23.8,1502352502.0,1.3730000000000002,-313,-45,-356,476.16173722801375,42,2017-08-10 16:08:22,-0.13333333333332575,-100.04444444444445,-113.57777777777775,151.35659961466357
