,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
5187,5187,AV3LLwYm-R03vmj0PCe6,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:22.917Z,2017-08-10T08:07:22.000Z,3298,fcffff07c7fe84ff060027,yilan,宜蘭市中山路二段,1007,192.168.88.113,-95.3,-1.3,1502352442.0,0.917,-313,-124,6,336.7209527190133,39,2017-08-10 16:07:22,49.631578947368496,-93.68421052631578,107.10526315789473,150.70355777774395
5190,5190,AV3LLxHK-R03vmj0PCfF,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:25.897Z,2017-08-10T08:07:25.000Z,3299,fcffff07c8fe86ff040027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,32.5,1502352445.0,0.897,-312,-122,4,335.02835700877614,39,2017-08-10 16:07:25,50.631578947368496,-91.68421052631578,105.10526315789473,148.38014553850425
5192,5192,AV3LLx2f-R03vmj0PCfQ,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:28.926Z,2017-08-10T08:07:28.000Z,3300,fcffff07c7fe86ff080027,yilan,宜蘭市中山路二段,1007,192.168.88.113,-101.0,16.3,1502352448.0,0.9259999999999999,-313,-122,8,336.0312485469172,39,2017-08-10 16:07:28,49.631578947368496,-91.68421052631578,109.10526315789473,150.90807313525715
5196,5196,AV3LLzS--R03vmj0PCfn,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:34.846Z,2017-08-10T08:07:34.000Z,3302,fcffff07c8fe8cff070027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-82.0,22.0,1502352454.0,0.846,-312,-116,7,332.93993452273037,39,2017-08-10 16:07:34,50.631578947368496,-85.68421052631578,108.10526315789473,146.94246711777805
5197,5197,AV3LL0C1-R03vmj0PCfx,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:37.909Z,2017-08-10T08:07:37.000Z,3303,fcffff07c8fe8cff050027,yilan,宜蘭市中山路二段,1007,192.168.88.113,-89.0,18.8,1502352457.0,0.909,-312,-116,5,332.90389003434615,39,2017-08-10 16:07:37,50.631578947368496,-85.68421052631578,106.10526315789473,145.47737827589452
5199,5199,AV3LL0xY-R03vmj0PCf7,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:40.887Z,2017-08-10T08:07:40.000Z,3304,fcffff07c9fe88ff040027,yilan,宜蘭市中山路二段,1007,10.5.180.16,-117.0,-3.0,1502352460.0,0.887,-311,-120,4,333.3721644048885,39,2017-08-10 16:07:40,51.631578947368496,-89.68421052631578,105.10526315789473,147.49980985010515
5201,5201,AV3LL1gZ-R03vmj0PCgJ,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:43.896Z,2017-08-10T08:07:43.000Z,3305,fcffff07c8fe85ff070027,yilan,宜蘭市中山路二段,1007,192.168.88.113,-89.0,7.0,1502352463.0,0.8959999999999999,-312,-123,7,335.4429906854517,39,2017-08-10 16:07:43,50.631578947368496,-92.68421052631578,108.10526315789473,151.13129255725866
5205,5205,AV3LL2Xn-R03vmj0PCgV,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:47.431Z,2017-08-10T08:07:46.000Z,3306,fcffff07c7fe8aff060027,yilan,宜蘭市中山路二段,1007,192.168.88.113,-99.0,14.5,1502352466.0,1.431,-313,-118,6,334.55791725798383,39,2017-08-10 16:07:46,49.631578947368496,-87.68421052631578,107.10526315789473,147.04880754550177
5208,5208,AV3LL29t-R03vmj0PCge,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:49.869Z,2017-08-10T08:07:49.000Z,3307,fcffff07c8fe8dff050027,yilan,宜蘭市中山路二段,1007,10.5.151.1,-74.0,28.8,1502352469.0,0.8690000000000001,-312,-115,5,332.5567620722814,39,2017-08-10 16:07:49,50.631578947368496,-84.68421052631578,106.10526315789473,144.89064555372465
5211,5211,AV3LL3u1-R03vmj0PCgr,parking_record_index_v2,101a0d0100cb,2017-08-10T08:07:53.012Z,2017-08-10T08:07:52.000Z,3308,fcffff07c9fe89ff020027,yilan,宜蘭市中山路二段,1007,10.5.180.16,-115.2,-3.2,1502352472.0,1.012,-311,-119,2,332.9954954650288,39,2017-08-10 16:07:52,51.631578947368496,-88.68421052631578,103.10526315789473,145.4695996836898
