,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2486,2486,AV3LLxhp-R03vmj0PCfG,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:27.593Z,2017-08-10T08:07:27.000Z,3330,fcffff0746fee5feb20027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,25.5,1502352447.0,0.593,-442,-283,178,554.1994225908215,39,2017-08-10 16:07:27,60.98387096774201,-190.09677419354836,-100.53225806451616,223.52304352919322
2487,2487,AV3LLyQx-R03vmj0PCfX,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:30.608Z,2017-08-10T08:07:30.000Z,3331,fcffff0745fee2feb50027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-114.0,15.5,1502352450.0,0.608,-443,-286,181,557.4997757847083,39,2017-08-10 16:07:30,59.98387096774201,-193.09677419354836,-97.53225806451616,224.49269552346755
2488,2488,AV3LLzCQ-R03vmj0PCfk,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:33.775Z,2017-08-10T08:07:33.000Z,3332,fcffff0745fee2feb60027,yilan,宜蘭市中山路二段,1016,10.5.180.16,-106.0,5.0,1502352453.0,0.775,-443,-286,182,557.8252414511197,39,2017-08-10 16:07:33,59.98387096774201,-193.09677419354836,-96.53225806451616,224.06004960113543
2491,2491,AV3LLzu0-R03vmj0PCfr,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:36.627Z,2017-08-10T08:07:36.000Z,3333,fcffff0745fee5feb60027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-80.0,22.0,1502352456.0,0.627,-443,-283,182,556.2930882187914,39,2017-08-10 16:07:36,59.98387096774201,-190.09677419354836,-96.53225806451616,221.47985276792556
2492,2492,AV3LL0du-R03vmj0PCfz,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:39.629Z,2017-08-10T08:07:39.000Z,3334,fcffff0746fee9feb60027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,28.8,1502352459.0,0.629,-442,-279,182,553.4699630512933,39,2017-08-10 16:07:39,60.98387096774201,-186.09677419354836,-96.53225806451616,218.33350345397997
2493,2493,AV3LL1Nn-R03vmj0PCgB,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:42.694Z,2017-08-10T08:07:42.000Z,3335,fcffff0746fee8feb40027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-79.0,17.0,1502352462.0,0.6940000000000001,-442,-280,180,553.3208833940754,39,2017-08-10 16:07:42,60.98387096774201,-187.09677419354836,-98.53225806451616,220.07462668634528
2494,2494,AV3LL3ZK-R03vmj0PCgg,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:51.625Z,2017-08-10T08:07:51.000Z,3338,fcffff0745fee8feb80027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,33.8,1502352471.0,0.625,-443,-280,184,555.4322640970723,39,2017-08-10 16:07:51,59.98387096774201,-187.09677419354836,-94.53225806451616,218.03581243612854
2495,2495,AV3LL43k-R03vmj0PCg5,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:57.667Z,2017-08-10T08:07:57.000Z,3340,fcffff0745fee4feb20027,yilan,宜蘭市中山路二段,1016,192.168.88.113,-86.0,20.8,1502352477.0,0.667,-443,-284,178,555.5078757317488,39,2017-08-10 16:07:57,59.98387096774201,-191.09677419354836,-100.53225806451616,224.10438816543777
2497,2497,AV3LL5oX-R03vmj0PChH,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:00.790Z,2017-08-10T08:08:00.000Z,3341,fcffff0745fee2feb60027,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,17.0,1502352480.0,0.79,-443,-286,182,557.8252414511197,39,2017-08-10 16:08:00,59.98387096774201,-193.09677419354836,-96.53225806451616,224.06004960113543
2500,2500,AV3LL6Uc-R03vmj0PChP,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:03.611Z,2017-08-10T08:08:03.000Z,3342,fcffff0744fee4feb70027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-81.0,25.5,1502352483.0,0.611,-444,-284,183,557.925622283114,39,2017-08-10 16:08:03,58.98387096774201,-191.09677419354836,-95.53225806451616,221.63818820867615
2501,2501,AV3LL7DN-R03vmj0PChW,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:06.604Z,2017-08-10T08:08:06.000Z,3343,fcffff0745fee8feb80027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-78.0,23.0,1502352486.0,0.604,-443,-280,184,555.4322640970723,39,2017-08-10 16:08:06,59.98387096774201,-187.09677419354836,-94.53225806451616,218.03581243612854
2502,2502,AV3LL7xo-R03vmj0PChl,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:09.575Z,2017-08-10T08:08:09.000Z,3344,fcffff0746feeafeb50027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-86.2,-9.2,1502352489.0,0.575,-442,-278,181,552.6382180052335,39,2017-08-10 16:08:09,60.98387096774201,-185.09677419354836,-97.53225806451616,217.92748724800876
2503,2503,AV3LL8g9-R03vmj0PChy,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:12.604Z,2017-08-10T08:08:12.000Z,3345,fcffff0746fee8feb40027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,33.0,1502352492.0,0.604,-442,-280,180,553.3208833940754,39,2017-08-10 16:08:12,60.98387096774201,-187.09677419354836,-98.53225806451616,220.07462668634528
2505,2505,AV3LL_fl-R03vmj0PCih,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:24.804Z,2017-08-10T08:08:24.000Z,3347,fcffff0749fedffeb90026,yilan,宜蘭市中山路二段,1016,10.5.180.50,-100.0,2.0,1502352504.0,0.804,-439,-289,185,557.1956568387806,38,2017-08-10 16:08:24,63.98387096774201,-196.09677419354836,-93.53225806451616,226.4865644840316
2506,2506,AV3LMA8Y-R03vmj0PCi0,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:30.743Z,2017-08-10T08:08:30.000Z,3348,fcffff073efeddfec40026,yilan,宜蘭市中山路二段,1016,192.168.88.113,-85.0,15.8,1502352510.0,0.743,-450,-291,196,570.6110759527894,38,2017-08-10 16:08:30,52.98387096774201,-198.09677419354836,-82.53225806451616,221.045687924112
2509,2509,AV3LMGEc-R03vmj0PCkC,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:51.739Z,2017-08-10T08:08:51.000Z,3355,fcffff070cfe99ff140127,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,17.5,1502352531.0,0.7390000000000001,-500,-103,276,580.331801644542,39,2017-08-10 16:08:51,2.983870967742007,-10.09677419354837,-2.5322580645161565,10.828696411523646
2511,2511,AV3LMGzQ-R03vmj0PCkP,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:54.735Z,2017-08-10T08:08:54.000Z,3356,fcffff070bfe98ff100127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,31.2,1502352534.0,0.735,-501,-104,272,579.4833906161591,39,2017-08-10 16:08:54,1.983870967742007,-11.09677419354837,-6.5322580645161565,13.028604566133975
2513,2513,AV3LMHgV-R03vmj0PCka,parking_record_index_v2,101a0d0101e4,2017-08-10T08:08:57.620Z,2017-08-10T08:08:57.000Z,3357,fcffff070bfe9bff100127,yilan,宜蘭市中山路二段,1016,192.168.88.113,-81.0,18.8,1502352537.0,0.62,-501,-101,272,578.9525023695812,39,2017-08-10 16:08:57,1.983870967742007,-8.09677419354837,-6.5322580645161565,10.59074557240409
