,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2120,2120,AV3LLwfB-R03vmj0PCe9,parking_record_index_v2,101a0d010119,2017-08-10T08:07:23.329Z,2017-08-10T08:07:22.000Z,2581,fcffff0768ff540001fe27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-91.0,20.8,1502352442.0,1.329,-152,84,-511,539.7045488042509,39,2017-08-10 16:07:22,104.77083333333331,14.3125,-377.16666666666663,391.709675165237
2122,2122,AV3LLx7G-R03vmj0PCfT,parking_record_index_v2,101a0d010119,2017-08-10T08:07:29.222Z,2017-08-10T08:07:28.000Z,2582,fcffff0767ff550004fe27,yilan,宜蘭市中山路二段,1010,192.168.88.113,-77.0,16.3,1502352448.0,1.222,-153,85,-508,537.3062441475997,39,2017-08-10 16:07:28,103.77083333333331,15.3125,-374.16666666666663,388.5917561546936
2125,2125,AV3LL1kQ-R03vmj0PCgL,parking_record_index_v2,101a0d010119,2017-08-10T08:07:44.144Z,2017-08-10T08:07:43.000Z,2585,fcffff0768ff540002fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-80.0,28.0,1502352463.0,1.1440000000000001,-152,84,-510,538.7578305695426,39,2017-08-10 16:07:43,104.77083333333331,14.3125,-376.16666666666663,390.7468954255711
2127,2127,AV3LL3wM-R03vmj0PCgt,parking_record_index_v2,101a0d010119,2017-08-10T08:07:53.099Z,2017-08-10T08:07:52.000Z,2587,fcffff0768ff530000fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-90.0,32.5,1502352472.0,1.099,-152,83,-512,540.4969935161528,39,2017-08-10 16:07:52,104.77083333333331,13.3125,-378.16666666666663,392.63746376446153
2128,2128,AV3LL6Al-R03vmj0PChL,parking_record_index_v2,101a0d010119,2017-08-10T08:08:02.340Z,2017-08-10T08:08:01.000Z,2589,fcffff0767ff590001fe27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-90.0,20.8,1502352481.0,1.34,-153,89,-511,540.7873889062133,39,2017-08-10 16:08:01,103.77083333333331,19.3125,-377.16666666666663,391.65808168782735
2129,2129,AV3LL7iY-R03vmj0PChb,parking_record_index_v2,101a0d010119,2017-08-10T08:08:08.600Z,2017-08-10T08:08:07.000Z,2590,fcffff0769ff550001fe27,yilan,宜蘭市中山路二段,1010,192.168.88.113,-77.0,14.5,1502352487.0,1.6,-151,85,-511,539.5803925273786,39,2017-08-10 16:08:07,105.77083333333331,15.3125,-377.16666666666663,392.01611737876567
2131,2131,AV3LL8KI-R03vmj0PChq,parking_record_index_v2,101a0d010119,2017-08-10T08:08:11.143Z,2017-08-10T08:08:10.000Z,2591,fcffff0768ff5300fffd27,yilan,宜蘭市中山路二段,1010,192.168.88.113,-76.0,20.8,1502352490.0,1.143,-152,83,-513,541.4443646396184,39,2017-08-10 16:08:10,104.77083333333331,13.3125,-379.16666666666663,393.6007003102537
2133,2133,AV3LL845-R03vmj0PCh7,parking_record_index_v2,101a0d010119,2017-08-10T08:08:14.136Z,2017-08-10T08:08:13.000Z,2592,fcffff0768ff540001fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-84.0,21.2,1502352493.0,1.136,-152,84,-511,539.7045488042509,39,2017-08-10 16:08:13,104.77083333333331,14.3125,-377.16666666666663,391.709675165237
2134,2134,AV3LL9nT-R03vmj0PCiC,parking_record_index_v2,101a0d010119,2017-08-10T08:08:17.107Z,2017-08-10T08:08:16.000Z,2593,fcffff0768ff540001fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,29.5,1502352496.0,1.107,-152,84,-511,539.7045488042509,39,2017-08-10 16:08:16,104.77083333333331,14.3125,-377.16666666666663,391.709675165237
2135,2135,AV3LL_FM-R03vmj0PCiU,parking_record_index_v2,101a0d010119,2017-08-10T08:08:23.116Z,2017-08-10T08:08:22.000Z,2595,fcffff0768ff5b0001fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-92.0,27.5,1502352502.0,1.1159999999999999,-152,91,-511,540.8382382931147,39,2017-08-10 16:08:22,104.77083333333331,21.3125,-377.16666666666663,392.02786204306386
2136,2136,AV3LL_zc-R03vmj0PCik,parking_record_index_v2,101a0d010119,2017-08-10T08:08:26.075Z,2017-08-10T08:08:25.000Z,2596,fcffff0766ff580008fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-95.0,23.0,1502352505.0,1.075,-154,88,-504,534.299541455914,39,2017-08-10 16:08:25,102.77083333333331,18.3125,-370.16666666666663,384.6044109879512
2137,2137,AV3LMAjy-R03vmj0PCiv,parking_record_index_v2,101a0d010119,2017-08-10T08:08:29.169Z,2017-08-10T08:08:28.000Z,2597,fcffff0768ff56000afe27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-88.0,16.3,1502352508.0,1.169,-152,86,-502,531.5110535068861,39,2017-08-10 16:08:28,104.77083333333331,16.3125,-368.16666666666663,383.1314651892422
2139,2139,AV3LMCx6-R03vmj0PCjI,parking_record_index_v2,101a0d010119,2017-08-10T08:08:38.266Z,2017-08-10T08:08:37.000Z,2599,fcffff07acfef9ff57ff27,yilan,宜蘭市中山路二段,1010,10.5.180.16,-114.0,8.8,1502352517.0,1.266,-340,-7,-169,379.74991770901016,39,2017-08-10 16:08:37,-83.22916666666669,-76.6875,-35.16666666666666,118.51059566436338
2143,2143,AV3LMDeV-R03vmj0PCjO,parking_record_index_v2,101a0d010119,2017-08-10T08:08:41.108Z,2017-08-10T08:08:40.000Z,2600,fcffff0710ff5200acff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-87.0,25.5,1502352520.0,1.1079999999999999,-240,82,-84,267.1703576372199,39,2017-08-10 16:08:40,16.770833333333314,12.3125,49.83333333333334,54.002033462227665
2144,2144,AV3LMEMo-R03vmj0PCjg,parking_record_index_v2,101a0d010119,2017-08-10T08:08:44.071Z,2017-08-10T08:08:43.000Z,2601,fcffff0708ff3e006bff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,32.5,1502352523.0,1.071,-248,62,-149,295.88680267967345,39,2017-08-10 16:08:43,8.770833333333314,-7.6875,-15.166666666666657,19.132510326376103
2145,2145,AV3LMJWo-R03vmj0PCk-,parking_record_index_v2,101a0d010119,2017-08-10T08:09:05.191Z,2017-08-10T08:09:04.000Z,2605,fcffff0706ff31006bff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-81.0,28.8,1502352544.0,1.1909999999999998,-250,49,-149,295.13047961876117,39,2017-08-10 16:09:04,6.770833333333314,-20.6875,-15.166666666666657,26.53007007257152
2126,2126,AV3LMKze-R03vmj0PClN,parking_record_index_v2,101a0d010119,2017-08-10T08:09:11.134Z,2017-08-10T08:07:47.000Z,2606,fcffff0706ff360068ff27,yilan,宜蘭市中山路二段,1010,192.168.0.225,-94.0,9.5,1502352467.0,84.134,-250,54,-152,297.5231083462258,39,2017-08-10 16:07:47,6.770833333333314,-15.6875,-18.166666666666657,24.939318716748357
2150,2150,AV3LMLhe-R03vmj0PCli,parking_record_index_v2,101a0d010119,2017-08-10T08:09:14.077Z,2017-08-10T08:09:13.000Z,2607,fcffff0706ff39006aff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.8,1502352553.0,1.077,-250,57,-150,297.06733243492124,39,2017-08-10 16:09:13,6.770833333333314,-12.6875,-16.166666666666657,21.637420164818362
2151,2151,AV3LMMRF-R03vmj0PCl0,parking_record_index_v2,101a0d010119,2017-08-10T08:09:17.124Z,2017-08-10T08:09:16.000Z,2608,fcffff0705ff39006dff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,24.5,1502352556.0,1.124,-251,57,-147,296.4101887587537,39,2017-08-10 16:09:16,5.770833333333314,-12.6875,-13.166666666666657,19.173843764937214
2147,2147,AV3LMd2b-R03vmj0PCp8,parking_record_index_v2,101a0d010119,2017-08-10T08:10:29.147Z,2017-08-10T08:09:05.000Z,2622,fcffff077cff3d00f7fd27,yilan,宜蘭市中山路二段,1010,192.168.0.225,-102.5,-1.5,1502352545.0,84.147,-132,61,-521,540.9121925044766,39,2017-08-10 16:09:05,124.77083333333331,-8.6875,-387.16666666666663,406.86762132752983
2148,2148,AV3LMeoe-R03vmj0PCqI,parking_record_index_v2,101a0d010119,2017-08-10T08:10:32.349Z,2017-08-10T08:09:08.000Z,2623,fcffff077bff4000f4fd27,yilan,宜蘭市中山路二段,1010,192.168.0.225,-101.8,-0.8,1502352548.0,84.34899999999999,-133,64,-524,544.390484854392,39,2017-08-10 16:09:08,123.77083333333331,-5.6875,-390.16666666666663,409.3673101483013
