,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1577,1577,AV3LL1LI-R03vmj0PCf_,parking_record_index_v2,101a0d0100b5,2017-08-10T08:07:42.536Z,2017-08-10T08:07:42.000Z,2827,fcffff0752ffc2ffa5ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-103.0,-3.0,1502352462.0,0.536,-174,-62,-91,205.9150310200788,33,2017-08-10 16:07:42,72.03448275862067,5.34482758620689,69.37931034482759,100.1549928468481
1579,1579,AV3LL44n-R03vmj0PCg6,parking_record_index_v2,101a0d0100b5,2017-08-10T08:07:57.734Z,2017-08-10T08:07:57.000Z,2830,fcffff0752ffc7ffa3ff22,yilan,宜蘭市中山路二段,1004,10.5.151.1,-85.0,25.5,1502352477.0,0.7340000000000001,-174,-57,-93,205.363093081498,34,2017-08-10 16:07:57,72.03448275862067,10.34482758620689,67.37931034482759,99.1763763536204
1580,1580,AV3LL5jc-R03vmj0PChE,parking_record_index_v2,101a0d0100b5,2017-08-10T08:08:00.475Z,2017-08-10T08:08:00.000Z,2831,fcffff0753ffc9ffa0ff22,yilan,宜蘭市中山路二段,1004,10.5.151.1,-91.0,19.5,1502352480.0,0.475,-173,-55,-96,205.35335400231475,34,2017-08-10 16:08:00,73.03448275862067,12.34482758620689,64.37931034482759,98.13830057845946
1581,1581,AV3LL8g0-R03vmj0PChx,parking_record_index_v2,101a0d0100b5,2017-08-10T08:08:12.595Z,2017-08-10T08:08:12.000Z,2833,fcffff0752ffc2ffa4ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-97.0,17.5,1502352492.0,0.595,-174,-62,-92,206.35891063872188,33,2017-08-10 16:08:12,72.03448275862067,5.34482758620689,68.37931034482759,99.46488813376578
1583,1583,AV3LL_bY-R03vmj0PCig,parking_record_index_v2,101a0d0100b5,2017-08-10T08:08:24.535Z,2017-08-10T08:08:24.000Z,2835,fcffff0751ffc7ffa2ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-113.0,-10.0,1502352504.0,0.535,-175,-57,-94,206.66397847714046,33,2017-08-10 16:08:24,71.03448275862067,10.34482758620689,66.37931034482759,97.77078316362234
1584,1584,AV3LMD5q-R03vmj0PCjY,parking_record_index_v2,101a0d0100b5,2017-08-10T08:08:42.858Z,2017-08-10T08:08:42.000Z,2838,fcffff070affbaff60ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-55.0,2.5,1502352522.0,0.858,-246,-70,-160,301.68858115613193,33,2017-08-10 16:08:42,0.034482758620669074,-2.6551724137931103,0.3793103448275872,2.682350824426821
1586,1586,AV3LMGu1-R03vmj0PCkN,parking_record_index_v2,101a0d0100b5,2017-08-10T08:08:54.452Z,2017-08-10T08:08:54.000Z,2841,fcffff070affbdff5fff22,yilan,宜蘭市中山路二段,1004,10.5.151.1,-70.0,26.2,1502352534.0,0.452,-246,-67,-161,301.5393838290448,34,2017-08-10 16:08:54,0.034482758620669074,0.3448275862068897,-0.6206896551724128,0.7108802802789018
1588,1588,AV3LMIN7-R03vmj0PCkj,parking_record_index_v2,101a0d0100b5,2017-08-10T08:09:00.539Z,2017-08-10T08:09:00.000Z,2843,fcffff0707ffb9ff65ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71.0,29.5,1502352540.0,0.539,-249,-71,-155,301.77309356534755,33,2017-08-10 16:09:00,-2.965517241379331,-3.6551724137931103,5.379310344827587,7.147835873146593
1590,1590,AV3LMI7Z-R03vmj0PCkt,parking_record_index_v2,101a0d0100b5,2017-08-10T08:09:03.449Z,2017-08-10T08:09:03.000Z,2844,fcffff0707ffb7ff65ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-79.0,22.5,1502352543.0,0.449,-249,-73,-155,302.2498966087499,33,2017-08-10 16:09:03,-2.965517241379331,-5.65517241379311,5.379310344827587,8.349386044770823
1591,1591,AV3LMKaI-R03vmj0PClH,parking_record_index_v2,101a0d0100b5,2017-08-10T08:09:09.512Z,2017-08-10T08:09:09.000Z,2846,fcffff0708ffb3ff60ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-88.0,19.5,1502352549.0,0.512,-248,-77,-160,305.01311447214863,33,2017-08-10 16:09:09,-1.965517241379331,-9.65517241379311,0.3793103448275872,9.86050144282349
