,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2469,2469,AV3LMiwk-R03vmj0PCrF,parking_record_index_v2,101a0d0100e4,2017-08-10T08:10:49.252Z,2017-08-10T08:10:48.000Z,3102,fcffff0730ff830029ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,30.0,1502352648.0,1.252,-208,131,-215,326.57311585615867,39,2017-08-10 16:10:48,56.7358490566038,-112.28301886792454,-75.71698113207546,146.8315161197469
2470,2470,AV3LMkQ4-R03vmj0PCrZ,parking_record_index_v2,101a0d0100e4,2017-08-10T08:10:55.416Z,2017-08-10T08:10:54.000Z,3103,fcffff0730ff830028ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-92.0,17.0,1502352654.0,1.416,-208,131,-216,327.2323333657602,39,2017-08-10 16:10:54,56.7358490566038,-112.28301886792454,-76.71698113207546,147.34967963415343
2471,2471,AV3LMro7-R03vmj0PCtN,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:25.626Z,2017-08-10T08:11:24.000Z,3108,fcffff0744ff7c0029ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-92.0,16.3,1502352684.0,1.626,-188,124,-215,311.35992034942456,39,2017-08-10 16:11:24,76.7358490566038,-119.28301886792454,-75.71698113207546,160.77901092007812
2473,2473,AV3LMtu1-R03vmj0PCtp,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:34.196Z,2017-08-10T08:11:33.000Z,3110,fcffff070bfff9008bff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,24.5,1502352693.0,1.196,-245,249,-117,368.39516826364587,39,2017-08-10 16:11:33,19.735849056603797,5.71698113207546,22.28301886792454,30.310403183030026
2474,2474,AV3LMuhu-R03vmj0PCt0,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:37.454Z,2017-08-10T08:11:36.000Z,3111,fcffff07fafef30074ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-94.0,15.0,1502352696.0,1.454,-262,243,-140,383.78770173104823,39,2017-08-10 16:11:36,2.735849056603797,-0.28301886792453956,-0.7169811320754604,2.8423637493947504
2476,2476,AV3LMv9g-R03vmj0PCuH,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:43.328Z,2017-08-10T08:11:42.000Z,3112,fcffff07f7feeb0073ff26,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,28.8,1502352702.0,1.328,-265,235,-141,381.2230318330728,38,2017-08-10 16:11:42,-0.2641509433962028,-8.28301886792454,-1.7169811320754604,8.46322642348615
2477,2477,AV3LMyIs-R03vmj0PCuw,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:52.235Z,2017-08-10T08:11:51.000Z,3115,fcffff07f6feef0075ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,28.0,1502352711.0,1.235,-266,239,-139,383.66391542598836,39,2017-08-10 16:11:51,-1.2641509433962028,-4.28301886792454,0.28301886792453956,4.474642769013903
2479,2479,AV3LMzBr-R03vmj0PCu8,parking_record_index_v2,101a0d0100e4,2017-08-10T08:11:55.882Z,2017-08-10T08:11:54.000Z,3116,fcffff07f5fef00075ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-90.0,13.8,1502352714.0,1.882,-267,240,-139,384.98051898764953,39,2017-08-10 16:11:54,-2.264150943396203,-3.2830188679245396,0.28301886792453956,3.9980860497532724
2481,2481,AV3LM1FP-R03vmj0PCvf,parking_record_index_v2,101a0d0100e4,2017-08-10T08:12:04.303Z,2017-08-10T08:12:03.000Z,3119,fcffff07f6fef40071ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-95.0,14.5,1502352723.0,1.3030000000000002,-266,244,-143,388.2537829822138,39,2017-08-10 16:12:03,-1.2641509433962028,0.7169811320754604,-3.7169811320754604,3.9910009130100046
2478,2478,AV3LNGpE-R03vmj0PCzr,parking_record_index_v2,101a0d0100e4,2017-08-10T08:13:16.227Z,2017-08-10T08:11:52.000Z,3137,fcffff07edfee90075ff27,yilan,宜蘭市中山路二段,1014,192.168.0.225,-106.0,-6.0,1502352712.0,84.227,-275,233,-139,386.30946144250726,39,2017-08-10 16:11:52,-10.264150943396203,-10.28301886792454,0.28301886792453956,14.531805507455518
