,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2156,2156,AV3LMiky-R03vmj0PCrA,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:48.497Z,2017-08-10T08:10:48.000Z,3055,fcffff0704ffa5ffa5ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-100.0,0.8,1502352648.0,0.4970000000000001,-252,-91,-91,282.9593610397083,33,2017-08-10 16:10:48,12.138461538461513,-24.246153846153845,52.01538461538462,58.658490106194016
2157,2157,AV3LMjOc-R03vmj0PCrN,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:51.163Z,2017-08-10T08:10:50.000Z,3056,fcffff0704ffa6ffa4ff21,yilan,宜蘭市中山路二段,1003,10.5.180.16,-118.5,-9.5,1502352650.0,1.163,-252,-90,-92,282.9628950940388,33,2017-08-10 16:10:50,12.138461538461513,-23.246153846153845,51.01538461538462,57.36109643839964
2160,2160,AV3LMoZJ-R03vmj0PCsZ,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:12.329Z,2017-08-10T08:11:11.000Z,3063,fcffff0704ffa9ffa2ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,25.5,1502352671.0,1.329,-252,-87,-94,282.68179990936807,33,2017-08-10 16:11:11,12.138461538461513,-20.246153846153845,49.01538461538462,54.403648067725406
2162,2162,AV3LMp1C-R03vmj0PCsv,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:18.210Z,2017-08-10T08:11:17.000Z,3065,fcffff0701ffa8ffa4ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-83.0,23.8,1502352677.0,1.21,-255,-88,-92,285.0140347421509,33,2017-08-10 16:11:17,9.138461538461513,-21.246153846153845,51.01538461538462,56.01321272699862
2163,2163,AV3LMqlz-R03vmj0PCs1,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:21.330Z,2017-08-10T08:11:20.000Z,3066,fcffff0703ffdaffc7ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-81.0,27.0,1502352680.0,1.33,-253,-38,-57,262.11066365182467,33,2017-08-10 16:11:20,11.138461538461513,28.753846153846155,86.01538461538462,91.37557323823137
2164,2164,AV3LMtjI-R03vmj0PCtl,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:33.447Z,2017-08-10T08:11:32.000Z,3068,fcffff07fdfec7ff7bff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-136.0,-17.0,1502352692.0,1.4469999999999998,-259,-57,-133,296.6799622488852,33,2017-08-10 16:11:32,5.138461538461513,9.753846153846155,10.015384615384619,14.894604082325605
2165,2165,AV3LMu81-R03vmj0PCt5,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:39.188Z,2017-08-10T08:11:38.000Z,3069,fcffff07f9febbff6fff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-108.0,-2.0,1502352698.0,1.188,-263,-69,-145,308.1476918621978,33,2017-08-10 16:11:38,1.138461538461513,-2.2461538461538453,-1.9846153846153811,3.2062439083762677
2167,2167,AV3LMxLj-R03vmj0PCug,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:48.322Z,2017-08-10T08:11:47.000Z,3071,fcffff07fafeb9ff71ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-72.0,0.5,1502352707.0,1.3219999999999998,-262,-71,-143,306.8126464147135,33,2017-08-10 16:11:47,2.138461538461513,-4.246153846153845,0.015384615384618883,4.754269336404576
2169,2169,AV3LMx5D-R03vmj0PCuq,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:51.235Z,2017-08-10T08:11:50.000Z,3072,fcffff07f9febbff70ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-90.0,18.3,1502352710.0,1.235,-263,-69,-144,307.6784035319996,33,2017-08-10 16:11:50,1.138461538461513,-2.2461538461538453,-0.9846153846153811,2.703843418315706
2171,2171,AV3LMymr-R03vmj0PCu2,parking_record_index_v2,101a0d0100dc,2017-08-10T08:11:54.154Z,2017-08-10T08:11:53.000Z,3073,fcffff07f9febcff72ff21,yilan,宜蘭市中山路二段,1003,10.5.180.16,-105.0,7.0,1502352713.0,1.1540000000000001,-263,-68,-142,306.5240610457848,33,2017-08-10 16:11:53,1.138461538461513,-1.2461538461538453,1.0153846153846189,1.9697715603592076
2172,2172,AV3LM0GE-R03vmj0PCvQ,parking_record_index_v2,101a0d0100dc,2017-08-10T08:12:00.260Z,2017-08-10T08:11:59.000Z,3075,fcffff07f9fec1ff74ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.8,-15.8,1502352719.0,1.26,-263,-63,-140,304.52914474644297,33,2017-08-10 16:11:59,1.138461538461513,3.7538461538461547,3.015384615384619,4.9477267507411895
2173,2173,AV3LM1kp-R03vmj0PCvk,parking_record_index_v2,101a0d0100dc,2017-08-10T08:12:06.312Z,2017-08-10T08:12:05.000Z,3077,fcffff07f9fec1ff6eff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-72.0,32.0,1502352725.0,1.3119999999999998,-263,-63,-146,307.3336948660202,33,2017-08-10 16:12:05,1.138461538461513,3.7538461538461547,-2.984615384615381,4.929034856377518
2158,2158,AV3LM3wE-R03vmj0PCwP,parking_record_index_v2,101a0d0100dc,2017-08-10T08:12:15.235Z,2017-08-10T08:10:51.000Z,3080,fcffff07f9febfff6bff21,yilan,宜蘭市中山路二段,1003,192.168.0.225,-93.0,5.0,1502352651.0,84.235,-263,-65,-149,309.18441099124,33,2017-08-10 16:10:51,1.138461538461513,1.7538461538461547,-5.984615384615381,6.339376334284959
