,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2393,2393,AV3LPXYb-R03vmj0PDbr,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:09.083Z,2017-08-10T08:23:08.000Z,2927,fcffff07adfe0f008fff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-84.0,24.5,1502353388.0,1.083,-339,15,-113,357.6520655609304,39,2017-08-10 16:23:08,-8.954545454545439,-1.2045454545454533,22.47727272727272,24.225247228991996
2394,2394,AV3LPYIh-R03vmj0PDb7,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:12.160Z,2017-08-10T08:23:11.000Z,2928,fcffff07aefe11008fff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-96.0,4.5,1502353391.0,1.16,-338,17,-113,356.7940582464904,39,2017-08-10 16:23:11,-7.954545454545439,0.7954545454545467,22.47727272727272,23.85655739159596
2396,2396,AV3LPY2A-R03vmj0PDcG,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:15.071Z,2017-08-10T08:23:14.000Z,2929,fcffff07aefe140090ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-84.0,25.5,1502353394.0,1.071,-338,20,-112,356.63426644112593,39,2017-08-10 16:23:14,-7.954545454545439,3.7954545454545467,23.47727272727272,25.077133075887772
2397,2397,AV3LPZo8-R03vmj0PDcR,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:18.332Z,2017-08-10T08:23:17.000Z,2930,fcffff07adfe15008cff27,yilan,宜蘭市中山路二段,1006,192.168.88.113,-91.0,13.3,1502353397.0,1.3319999999999999,-339,21,-116,358.91224554199874,39,2017-08-10 16:23:17,-8.954545454545439,4.795454545454547,19.47727272727272,21.966893760557106
2400,2400,AV3LPaT0-R03vmj0PDce,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:21.075Z,2017-08-10T08:23:20.000Z,2931,fcffff07adfe14008cff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-80.0,10.5,1502353400.0,1.075,-339,20,-116,358.8551239706632,39,2017-08-10 16:23:20,-8.954545454545439,3.7954545454545467,19.47727272727272,21.770473407730332
2401,2401,AV3LPbDG-R03vmj0PDcy,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:24.102Z,2017-08-10T08:23:23.000Z,2932,fcffff07aefe16008eff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,23.0,1502353403.0,1.102,-338,22,-114,357.38494652125456,39,2017-08-10 16:23:23,-7.954545454545439,5.795454545454547,21.47727272727272,23.624887948485846
2402,2402,AV3LPdPF-R03vmj0PDdS,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:33.060Z,2017-08-10T08:23:32.000Z,2935,fcffff07adfe0f008eff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-85.2,-14.2,1502353412.0,1.06,-339,15,-114,357.9692724243242,39,2017-08-10 16:23:32,-8.954545454545439,-1.2045454545454533,21.47727272727272,23.300387504315008
2404,2404,AV3LPd_L-R03vmj0PDdb,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:36.138Z,2017-08-10T08:23:35.000Z,2936,fcffff07aefe0c008aff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-97.0,8.3,1502353415.0,1.138,-338,12,-118,358.20664427115247,39,2017-08-10 16:23:35,-7.954545454545439,-4.204545454545453,17.47727272727272,19.657264760165365
2405,2405,AV3LPetT-R03vmj0PDdr,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:39.090Z,2017-08-10T08:23:38.000Z,2937,fcffff07aefe0e008aff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-79.0,27.0,1502353418.0,1.09,-338,14,-118,358.27922072037614,39,2017-08-10 16:23:38,-7.954545454545439,-2.2045454545454533,17.47727272727272,19.328473194566023
2407,2407,AV3LPfb1-R03vmj0PDd0,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:42.068Z,2017-08-10T08:23:41.000Z,2938,fcffff07aefe110089ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-82.0,30.0,1502353421.0,1.068,-338,17,-119,358.73945977547544,39,2017-08-10 16:23:41,-7.954545454545439,0.7954545454545467,16.47727272727272,18.31414911622266
2408,2408,AV3LPg5g-R03vmj0PDeK,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:48.063Z,2017-08-10T08:23:47.000Z,2939,fcffff07adfe14008eff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-79.0,27.5,1502353427.0,1.063,-339,20,-114,358.21362341485565,39,2017-08-10 16:23:47,-8.954545454545439,3.7954545454545467,21.47727272727272,23.57673860621491
2409,2409,AV3LPhor-R03vmj0PDeW,parking_record_index_v2,101a0d0100d9,2017-08-10T08:23:51.082Z,2017-08-10T08:23:50.000Z,2940,fcffff07acfe0f008fff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-79.0,23.0,1502353430.0,1.082,-340,15,-113,358.60005577244414,39,2017-08-10 16:23:50,-9.954545454545439,-1.2045454545454533,22.47727272727272,24.61242966906915
2410,2410,AV3LPj06-R03vmj0PDe6,parking_record_index_v2,101a0d0100d9,2017-08-10T08:24:00.058Z,2017-08-10T08:23:59.000Z,2942,fcffff07aefe110089ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-89.0,-12.0,1502353439.0,1.058,-338,17,-119,358.73945977547544,39,2017-08-10 16:23:59,-7.954545454545439,0.7954545454545467,16.47727272727272,18.31414911622266
2412,2412,AV3LPmys-R03vmj0PDfm,parking_record_index_v2,101a0d0100d9,2017-08-10T08:24:12.204Z,2017-08-10T08:24:11.000Z,2944,fcffff07adfe120091ff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-100.0,5.0,1502353451.0,1.204,-339,18,-111,357.1638279557436,39,2017-08-10 16:24:11,-8.954545454545439,1.7954545454545467,24.47727272727272,26.12555112313619
2392,2392,AV3LPpxO-R03vmj0PDgf,parking_record_index_v2,101a0d0100d9,2017-08-10T08:24:24.398Z,2017-08-10T08:23:00.000Z,2946,fcffff07aefe13008cff27,yilan,宜蘭市中山路二段,1006,192.168.0.225,-103.0,1.2,1502353380.0,84.398,-338,19,-116,357.8561163372788,39,2017-08-10 16:23:00,-7.954545454545439,2.7954545454545467,19.47727272727272,21.223890133448524
2403,2403,AV3LPxwk-R03vmj0PDie,parking_record_index_v2,101a0d0100d9,2017-08-10T08:24:57.123Z,2017-08-10T08:23:33.000Z,2953,fcffff07aefe0c0088ff27,yilan,宜蘭市中山路二段,1006,192.168.0.225,-109.5,-9.5,1502353413.0,84.12299999999998,-338,12,-120,358.87045016272936,39,2017-08-10 16:23:33,-7.954545454545439,-4.204545454545453,15.47727272727272,17.902484937632213
2411,2411,AV3LP6i5-R03vmj0PDkl,parking_record_index_v2,101a0d0100d9,2017-08-10T08:25:33.112Z,2017-08-10T08:24:09.000Z,2962,fcffff07adfe14008fff27,yilan,宜蘭市中山路二段,1006,192.168.0.225,-106.5,-1.5,1502353449.0,84.11200000000002,-339,20,-113,357.8966331219113,39,2017-08-10 16:24:09,-8.954545454545439,3.7954545454545467,22.47727272727272,24.491164708121374
