,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2624,2624,AV3LPViZ-R03vmj0PDbN,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:01.529Z,2017-08-10T08:23:00.000Z,3295,fcffff07f5fee60074ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,30.0,1502353380.0,1.5290000000000001,-267,230,-140,379.1952003915662,40,2017-08-10 16:23:00,-2.264150943396203,-13.28301886792454,-0.7169811320754604,13.493666354400254
2626,2626,AV3LPWPY-R03vmj0PDbc,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:04.408Z,2017-08-10T08:23:03.000Z,3296,fcffff07f5fee70075ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,26.2,1502353383.0,1.4080000000000001,-267,231,-139,379.435106441141,40,2017-08-10 16:23:03,-2.264150943396203,-12.28301886792454,0.28301886792453956,12.493159395600195
2627,2627,AV3LPW7Z-R03vmj0PDbl,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:07.224Z,2017-08-10T08:23:06.000Z,3297,fcffff07f4feeb0075ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,22.5,1502353386.0,1.224,-268,235,-139,382.5833242576053,40,2017-08-10 16:23:06,-3.264150943396203,-8.28301886792454,0.28301886792453956,8.907479027607616
2628,2628,AV3LPXtp-R03vmj0PDb3,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:10.440Z,2017-08-10T08:23:09.000Z,3298,fcffff07f5feec0076ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,27.0,1502353389.0,1.44,-267,236,-138,382.13740984101514,40,2017-08-10 16:23:09,-2.264150943396203,-7.28301886792454,1.2830188679245396,7.734008064417642
2629,2629,AV3LPZ4D-R03vmj0PDcZ,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:19.299Z,2017-08-10T08:23:18.000Z,3300,fcffff07f5feea006eff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-90.0,15.8,1502353398.0,1.2990000000000002,-267,234,-146,383.8762821535084,40,2017-08-10 16:23:18,-2.264150943396203,-9.28301886792454,-6.71698113207546,11.679839653239364
2632,2632,AV3LPcE8-R03vmj0PDc-,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:28.315Z,2017-08-10T08:23:27.000Z,3302,fcffff07f6feed0073ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,23.0,1502353407.0,1.315,-266,237,-141,383.15271106962035,40,2017-08-10 16:23:27,-1.2641509433962028,-6.28301886792454,-1.7169811320754604,6.63493993268126
2633,2633,AV3LPcz8-R03vmj0PDdM,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:31.324Z,2017-08-10T08:23:30.000Z,3303,fcffff07f4feec0073ff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-94.0,17.5,1502353410.0,1.324,-268,236,-141,383.92837873749323,40,2017-08-10 16:23:30,-3.264150943396203,-7.28301886792454,-1.7169811320754604,8.16364314627497
2635,2635,AV3LPeQ4-R03vmj0PDdh,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:37.267Z,2017-08-10T08:23:36.000Z,3305,fcffff07f5fee40074ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,22.0,1502353416.0,1.2670000000000001,-267,228,-140,377.985449455399,40,2017-08-10 16:23:36,-2.264150943396203,-15.28301886792454,-0.7169811320754604,15.466451020048899
2636,2636,AV3LPh-d-R03vmj0PDed,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:52.477Z,2017-08-10T08:23:51.000Z,3308,fcffff07f4fee90076ff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-93.0,16.3,1502353431.0,1.4769999999999999,-268,233,-138,380.99475062000533,40,2017-08-10 16:23:51,-3.264150943396203,-10.28301886792454,1.2830188679245396,10.864681119794394
2637,2637,AV3LPjZH-R03vmj0PDe3,parking_record_index_v2,101a0d0100e4,2017-08-10T08:23:58.279Z,2017-08-10T08:23:57.000Z,3309,fcffff07f6fee30071ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,21.2,1502353437.0,1.2790000000000001,-266,227,-143,377.80153520069234,40,2017-08-10 16:23:57,-1.2641509433962028,-16.28301886792454,-3.7169811320754604,16.74964864697409
2638,2638,AV3LPkHU-R03vmj0PDe9,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:01.235Z,2017-08-10T08:24:00.000Z,3310,fcffff07f5fee7006dff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-94.0,-15.0,1502353440.0,1.235,-267,231,-147,382.4382303065424,40,2017-08-10 16:24:00,-2.264150943396203,-12.28301886792454,-7.71698113207546,14.681646017973625
2639,2639,AV3LPk6w-R03vmj0PDfM,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:04.527Z,2017-08-10T08:24:03.000Z,3311,fcffff07f4feeb006dff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-96.0,8.8,1502353443.0,1.527,-268,235,-147,385.56192758103083,40,2017-08-10 16:24:03,-3.264150943396203,-8.28301886792454,-7.71698113207546,11.781972701567293
2641,2641,AV3LPmWA-R03vmj0PDfe,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:10.367Z,2017-08-10T08:24:09.000Z,3313,fcffff07f5feeb0072ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,27.0,1502353449.0,1.367,-267,235,-142,382.9856394174591,40,2017-08-10 16:24:09,-2.264150943396203,-8.28301886792454,-2.7169811320754604,9.00648474894228
2642,2642,AV3LPnCZ-R03vmj0PDfp,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:13.208Z,2017-08-10T08:24:12.000Z,3314,fcffff07f4feec0073ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-79.0,26.2,1502353452.0,1.208,-268,236,-141,383.92837873749323,40,2017-08-10 16:24:12,-3.264150943396203,-7.28301886792454,-1.7169811320754604,8.16364314627497
2643,2643,AV3LPnzh-R03vmj0PDf3,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:16.352Z,2017-08-10T08:24:15.000Z,3315,fcffff07f5feec0072ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,28.0,1502353455.0,1.3519999999999999,-267,236,-142,383.60005213763986,40,2017-08-10 16:24:15,-2.264150943396203,-7.28301886792454,-2.7169811320754604,8.09634051884435
2631,2631,AV3LPuaJ-R03vmj0PDho,parking_record_index_v2,101a0d0100e4,2017-08-10T08:24:43.401Z,2017-08-10T08:23:19.000Z,3321,fcffff07f4fee50074ff27,yilan,宜蘭市中山路二段,1014,192.168.0.225,-114.2,-6.2,1502353399.0,84.40100000000001,-268,229,-140,379.29539939208325,39,2017-08-10 16:23:19,-3.264150943396203,-14.28301886792454,-0.7169811320754604,14.66878901976966
