,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2311,2311,AV3LPYMY-R03vmj0PDb8,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:12.408Z,2017-08-10T08:23:11.000Z,3237,fcffff07fafebeff72ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,27.5,1502353391.0,1.4080000000000001,-262,-66,-142,305.2277837943329,33,2017-08-10 16:23:11,2.138461538461513,0.7538461538461547,1.0153846153846189,2.4844129472186367
2312,2312,AV3LPY6C-R03vmj0PDcH,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:15.329Z,2017-08-10T08:23:14.000Z,3238,fcffff07fafebfff6fff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,19.5,1502353394.0,1.329,-262,-65,-145,306.4212786344969,34,2017-08-10 16:23:14,2.138461538461513,1.7538461538461547,-1.9846153846153811,3.4040699622205457
2313,2313,AV3LPaXd-R03vmj0PDcg,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:21.308Z,2017-08-10T08:23:20.000Z,3239,fcffff07fafebcff6fff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-72.0,27.5,1502353400.0,1.308,-262,-68,-145,307.0716528760022,33,2017-08-10 16:23:20,2.138461538461513,-1.2461538461538453,-1.9846153846153811,3.1724777989160553
2315,2315,AV3LPb3X-R03vmj0PDc5,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:27.447Z,2017-08-10T08:23:26.000Z,3240,fcffff07f9febfff71ff21,yilan,宜蘭市中山路二段,1003,192.168.88.113,-71.0,20.0,1502353406.0,1.4469999999999998,-263,-65,-143,306.338048567265,33,2017-08-10 16:23:26,1.138461538461513,1.7538461538461547,0.015384615384618883,2.0910063826558822
2316,2316,AV3LPeDn-R03vmj0PDdc,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:36.422Z,2017-08-10T08:23:35.000Z,3243,fcffff07f9feb8ff73ff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.0,-14.0,1502353415.0,1.422,-263,-72,-141,306.975569060471,34,2017-08-10 16:23:35,1.138461538461513,-5.246153846153845,2.015384615384619,5.734108474732576
2317,2317,AV3LPewo-R03vmj0PDds,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:39.304Z,2017-08-10T08:23:38.000Z,3244,fcffff07fafeb5ff70ff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-135.3,-14.3,1502353418.0,1.304,-262,-75,-144,308.22881111278355,34,2017-08-10 16:23:38,2.138461538461513,-8.246153846153845,-0.9846153846153811,8.575636329832227
2318,2318,AV3LPff9-R03vmj0PDd2,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:42.332Z,2017-08-10T08:23:41.000Z,3245,fcffff07fafeb7ff6dff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,4.5,1502353421.0,1.3319999999999999,-262,-73,-147,309.163387224296,34,2017-08-10 16:23:41,2.138461538461513,-6.246153846153845,-3.984615384615381,7.711330325217254
2319,2319,AV3LPgNY-R03vmj0PDeC,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:45.240Z,2017-08-10T08:23:44.000Z,3246,fcffff07f9febbff6dff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,27.0,1502353424.0,1.24,-263,-69,-147,309.0938368845293,34,2017-08-10 16:23:44,1.138461538461513,-2.2461538461538453,-3.984615384615381,4.713646310284793
2320,2320,AV3LPihq-R03vmj0PDem,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:54.729Z,2017-08-10T08:23:53.000Z,3249,fcffff07f9feb8ff72ff22,yilan,宜蘭市中山路二段,1003,10.5.181.21,-138.8,-15.8,1502353433.0,1.729,-263,-72,-142,307.43617223742564,34,2017-08-10 16:23:53,1.138461538461513,-5.246153846153845,1.0153846153846189,5.463444954351669
2323,2323,AV3LPjIk-R03vmj0PDeu,parking_record_index_v2,101a0d0100dc,2017-08-10T08:23:57.220Z,2017-08-10T08:23:56.000Z,3250,fcffff07f9feb5ff6fff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,29.5,1502353436.0,1.22,-263,-75,-145,309.54644239596746,34,2017-08-10 16:23:56,1.138461538461513,-8.246153846153845,-1.9846153846153811,8.557677614507693
2324,2324,AV3LPj4Y-R03vmj0PDe7,parking_record_index_v2,101a0d0100dc,2017-08-10T08:24:00.279Z,2017-08-10T08:23:59.000Z,3251,fcffff07fafeb8ff6eff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-133.8,-13.8,1502353439.0,1.2790000000000001,-262,-72,-146,308.45421054023564,34,2017-08-10 16:23:59,2.138461538461513,-5.246153846153845,-2.984615384615381,6.40336450025116
