,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
5695,5695,AV3LPU4m-R03vmj0PDbE,parking_record_index_v2,101a0d0100cb,2017-08-10T08:22:58.853Z,2017-08-10T08:22:58.000Z,3573,fcffff0797fed5ff9bff27,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,26.2,1502353378.0,0.853,-361,-43,-101,377.3208184025896,39,2017-08-10 16:22:58,1.6315789473684958,-12.684210526315788,0.10526315789472562,12.789148793794146
5696,5696,AV3LPVpu-R03vmj0PDbS,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:01.997Z,2017-08-10T08:23:01.000Z,3574,fcffff0796fed7ff9cff27,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,27.0,1502353381.0,0.997,-362,-41,-100,377.7896239972718,39,2017-08-10 16:23:01,0.6315789473684958,-10.684210526315788,1.1052631578947256,10.759779420861545
5699,5699,AV3LPWXC-R03vmj0PDbf,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:04.897Z,2017-08-10T08:23:04.000Z,3575,fcffff0796fedaff9eff27,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,26.2,1502353384.0,0.897,-362,-38,-98,376.9509251878817,39,2017-08-10 16:23:04,0.6315789473684958,-7.684210526315788,3.1052631578947256,8.311957811447298
5701,5701,AV3LPXFi-R03vmj0PDbo,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:07.873Z,2017-08-10T08:23:07.000Z,3576,fcffff0795fedbff9cff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-77.0,29.5,1502353387.0,0.873,-363,-37,-100,378.3358296540257,40,2017-08-10 16:23:07,-0.36842105263150415,-6.684210526315788,1.1052631578947256,6.784984235820471
5705,5705,AV3LPbet-R03vmj0PDc2,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:25.868Z,2017-08-10T08:23:25.000Z,3579,fcffff0797fed9ff96ff27,yilan,宜蘭市中山路二段,1007,10.5.151.1,-109.0,17.5,1502353405.0,0.868,-361,-39,-106,378.25652671170127,39,2017-08-10 16:23:25,1.6315789473684958,-8.684210526315788,-4.894736842105274,10.101287595169872
5707,5707,AV3LPcOJ-R03vmj0PDdC,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:28.904Z,2017-08-10T08:23:28.000Z,3580,fcffff0797fedcff97ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,26.2,1502353408.0,0.904,-361,-36,-105,377.6797585256589,40,2017-08-10 16:23:28,1.6315789473684958,-5.684210526315788,-3.8947368421052744,7.081050362638826
5709,5709,AV3LPc8Y-R03vmj0PDdO,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:31.863Z,2017-08-10T08:23:31.000Z,3581,fcffff0796fedaff99ff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-78.0,30.0,1502353411.0,0.863,-362,-38,-103,378.2816411088437,40,2017-08-10 16:23:31,0.6315789473684958,-7.684210526315788,-1.8947368421052744,7.939522093950776
5710,5710,AV3LPdr2-R03vmj0PDdY,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:34.902Z,2017-08-10T08:23:34.000Z,3582,fcffff0795fed8ff9bff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-79.0,27.5,1502353414.0,0.902,-363,-40,-101,378.90632087628205,40,2017-08-10 16:23:34,-0.36842105263150415,-9.684210526315788,0.10526315789472562,9.691787653598151
5712,5712,AV3LPebc-R03vmj0PDdk,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:37.948Z,2017-08-10T08:23:37.000Z,3583,fcffff0795fed4ff9cff27,yilan,宜蘭市中山路二段,1007,192.168.88.113,-81.0,19.5,1502353417.0,0.948,-363,-44,-100,379.0844233149128,39,2017-08-10 16:23:37,-0.36842105263150415,-13.684210526315788,1.1052631578947256,13.733716119417691
5714,5714,AV3LPf5v-R03vmj0PDd9,parking_record_index_v2,101a0d0100cb,2017-08-10T08:23:43.982Z,2017-08-10T08:23:43.000Z,3584,fcffff0798fed3ff99ff27,yilan,宜蘭市中山路二段,1007,192.168.88.113,-89.0,12.5,1502353423.0,0.982,-360,-45,-103,377.13923158430487,39,2017-08-10 16:23:43,2.631578947368496,-14.684210526315788,-1.8947368421052744,15.037994355572405
