,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2216,2216,AV3LO8C4-R03vmj0PDT3,parking_record_index_v2,101a0d0100a3,2017-08-10T08:21:17.112Z,2017-08-10T08:21:16.000Z,2775,fcffff07e3fe2b0028ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,26.2,1502353276.0,1.112,-285,43,-216,360.1805103000438,43,2017-08-10 16:21:16,27.866666666666674,-12.044444444444458,26.422222222222246,40.24616230458397
2217,2217,AV3LO-RE-R03vmj0PDUj,parking_record_index_v2,101a0d0100a3,2017-08-10T08:21:26.212Z,2017-08-10T08:21:25.000Z,2777,fcffff07e1fe250026ff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,23.8,1502353285.0,1.212,-287,37,-218,362.30097984962725,43,2017-08-10 16:21:25,25.866666666666674,-18.04444444444446,24.422222222222246,39.88898792931068
2219,2219,AV3LPEKY-R03vmj0PDWR,parking_record_index_v2,101a0d0100a3,2017-08-10T08:21:50.359Z,2017-08-10T08:21:49.000Z,2781,fcffff07e1fe280027ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-70.0,25.0,1502353309.0,1.359,-287,40,-217,362.0193365001378,43,2017-08-10 16:21:49,25.866666666666674,-15.044444444444458,25.422222222222246,39.26460410856668
2220,2220,AV3LPE4z-R03vmj0PDWg,parking_record_index_v2,101a0d0100a3,2017-08-10T08:21:53.330Z,2017-08-10T08:21:52.000Z,2782,fcffff07e0fe2a0029ff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,18.8,1502353312.0,1.33,-288,42,-215,361.8466526030053,43,2017-08-10 16:21:52,24.866666666666674,-13.044444444444458,27.422222222222246,39.249037103860886
2222,2222,AV3LPHxL-R03vmj0PDXS,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:05.131Z,2017-08-10T08:22:04.000Z,2784,fcffff07dffe230029ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,28.8,1502353324.0,1.131,-289,35,-215,361.89915722477167,43,2017-08-10 16:22:04,23.866666666666674,-20.04444444444446,27.422222222222246,41.51356166928029
2223,2223,AV3LPIje-R03vmj0PDXi,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:08.350Z,2017-08-10T08:22:07.000Z,2785,fcffff07dffe230027ff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,22.5,1502353327.0,1.35,-289,35,-217,363.0908977102015,43,2017-08-10 16:22:07,23.866666666666674,-20.04444444444446,25.422222222222246,40.22047878357801
2225,2225,AV3LPJOD-R03vmj0PDXt,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:11.074Z,2017-08-10T08:22:10.000Z,2786,fcffff07dffe230029ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-72.0,22.5,1502353330.0,1.074,-289,35,-215,361.89915722477167,43,2017-08-10 16:22:10,23.866666666666674,-20.04444444444446,27.422222222222246,41.51356166928029
2226,2226,AV3LPLfd-R03vmj0PDYS,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:20.380Z,2017-08-10T08:22:19.000Z,2788,fcffff07dffe210029ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,28.8,1502353339.0,1.38,-289,33,-215,361.7112107745625,43,2017-08-10 16:22:19,23.866666666666674,-22.04444444444446,27.422222222222246,42.51533347213586
2227,2227,AV3LPMKS-R03vmj0PDYg,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:23.122Z,2017-08-10T08:22:22.000Z,2789,fcffff07dffe250029ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-71.0,23.0,1502353342.0,1.122,-289,37,-215,362.0980530187922,43,2017-08-10 16:22:22,23.866666666666674,-18.04444444444446,27.422222222222246,40.58568743647642
2228,2228,AV3LPOW5-R03vmj0PDZK,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:32.120Z,2017-08-10T08:22:31.000Z,2791,fcffff07defe27002dff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,25.0,1502353351.0,1.12,-290,39,-211,360.75199237149064,43,2017-08-10 16:22:31,22.866666666666674,-16.04444444444446,31.422222222222246,42.04360464277566
2229,2229,AV3LPQo--R03vmj0PDZr,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:41.470Z,2017-08-10T08:22:40.000Z,2793,fcffff07e0fe28002aff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-90.0,20.8,1502353360.0,1.47,-288,40,-214,361.0263148303736,43,2017-08-10 16:22:40,24.866666666666674,-15.044444444444458,28.422222222222246,40.65106561705943
2230,2230,AV3LPSA8-R03vmj0PDaL,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:47.100Z,2017-08-10T08:22:46.000Z,2794,fcffff07e0fe260025ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,31.2,1502353366.0,1.1,-288,38,-219,363.7980208852159,43,2017-08-10 16:22:46,24.866666666666674,-17.04444444444446,23.422222222222246,38.17675590405799
2218,2218,AV3LPSzP-R03vmj0PDaX,parking_record_index_v2,101a0d0100a3,2017-08-10T08:22:50.318Z,2017-08-10T08:21:26.000Z,2795,fcffff07e0fe250025ff2b,yilan,宜蘭市中山路二段,1012,192.168.0.225,-99.0,2.5,1502353286.0,84.318,-288,37,-219,363.6949271023725,43,2017-08-10 16:21:26,24.866666666666674,-18.04444444444446,23.422222222222246,38.63358099176046
2221,2221,AV3LPa0R-R03vmj0PDcv,parking_record_index_v2,101a0d0100a3,2017-08-10T08:23:23.152Z,2017-08-10T08:21:59.000Z,2803,fcffff07e1fe240027ff2b,yilan,宜蘭市中山路二段,1012,192.168.0.225,-102.5,-0.5,1502353319.0,84.152,-287,36,-217,361.59922566288765,43,2017-08-10 16:21:59,25.866666666666674,-19.04444444444446,25.422222222222246,40.96418791283463
