,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2321,2321,AV3LO7qx-R03vmj0PDTx,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:15.568Z,2017-08-10T08:21:14.000Z,3428,fcffff0725ff970078ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-89.0,22.0,1502353274.0,1.568,-219,151,-136,298.7607738643077,40,2017-08-10 16:21:14,0.0,-3.230769230769255,-1.1153846153845848,3.417887163544458
2323,2323,AV3LO9PQ-R03vmj0PDUO,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:21.999Z,2017-08-10T08:21:21.000Z,3430,fcffff0726ff990077ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,32.0,1502353281.0,0.9990000000000001,-218,153,-137,299.50292152164394,40,2017-08-10 16:21:21,1.0,-1.2307692307692548,-2.1153846153845848,2.643793670166817
2324,2324,AV3LO-uH-R03vmj0PDUp,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:28.070Z,2017-08-10T08:21:27.000Z,3431,fcffff0726ff960077ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,25.0,1502353287.0,1.07,-218,150,-137,297.98154305258566,40,2017-08-10 16:21:27,1.0,-4.230769230769255,-2.1153846153845848,4.8346934085864905
2326,2326,AV3LO_ec-R03vmj0PDU0,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:31.163Z,2017-08-10T08:21:30.000Z,3432,fcffff0726ff94007aff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,22.5,1502353290.0,1.163,-218,148,-134,295.6078483396542,40,2017-08-10 16:21:30,1.0,-6.230769230769255,0.8846153846154152,6.372207591235487
2327,2327,AV3LPAMT-R03vmj0PDVA,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:34.098Z,2017-08-10T08:21:33.000Z,3433,fcffff0726ff93007bff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,3.0,1502353293.0,1.0979999999999999,-218,147,-133,294.6557313204683,40,2017-08-10 16:21:33,1.0,-7.230769230769255,1.8846153846154152,7.538952103347554
2329,2329,AV3LPBrG-R03vmj0PDVa,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:40.164Z,2017-08-10T08:21:39.000Z,3434,fcffff0726ff920078ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-74.0,27.5,1502353299.0,1.1640000000000001,-218,146,-136,295.526648544594,40,2017-08-10 16:21:39,1.0,-8.230769230769255,-1.1153846153845848,8.365981411072735
2330,2330,AV3LPDIv-R03vmj0PDV3,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:46.159Z,2017-08-10T08:21:45.000Z,3435,fcffff0727ff970076ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,33.0,1502353305.0,1.159,-217,151,-138,298.21804103709087,40,2017-08-10 16:21:45,2.0,-3.230769230769255,-3.1153846153845848,4.913602662432151
2331,2331,AV3LPEOR-R03vmj0PDWU,parking_record_index_v2,101a0d01019a,2017-08-10T08:21:50.608Z,2017-08-10T08:21:50.000Z,3436,fcffff0726ff940079ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-113.0,15.0,1502353310.0,0.608,-218,148,-135,296.06249340299763,40,2017-08-10 16:21:50,1.0,-6.230769230769255,-0.11538461538458478,6.3115607274721155
2333,2333,AV3LPHIJ-R03vmj0PDXK,parking_record_index_v2,101a0d01019a,2017-08-10T08:22:02.505Z,2017-08-10T08:22:02.000Z,3438,fcffff0727ff960076ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,31.2,1502353322.0,0.505,-217,150,-138,297.71294899617646,40,2017-08-10 16:22:02,2.0,-4.230769230769255,-3.1153846153845848,5.621835072803082
2334,2334,AV3LPH43-R03vmj0PDXT,parking_record_index_v2,101a0d01019a,2017-08-10T08:22:05.622Z,2017-08-10T08:22:05.000Z,3439,fcffff0727ff970075ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-88.0,20.8,1502353325.0,0.622,-217,151,-139,298.68210525573835,40,2017-08-10 16:22:05,2.0,-3.230769230769255,-4.115384615384585,5.601273101271665
2335,2335,AV3LPK3Z-R03vmj0PDX_,parking_record_index_v2,101a0d01019a,2017-08-10T08:22:17.816Z,2017-08-10T08:22:17.000Z,3441,fcffff0727ff970075ff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-76.0,9.5,1502353337.0,0.816,-217,151,-139,298.68210525573835,40,2017-08-10 16:22:17,2.0,-3.230769230769255,-4.115384615384585,5.601273101271665
2338,2338,AV3LPS28-R03vmj0PDab,parking_record_index_v2,101a0d01019a,2017-08-10T08:22:50.556Z,2017-08-10T08:22:50.000Z,3447,fcffff0725ff960078ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-90.0,22.5,1502353370.0,0.556,-219,150,-136,298.25660093282096,40,2017-08-10 16:22:50,0.0,-4.230769230769255,-1.1153846153845848,4.3753275447971305
2328,2328,AV3LPVaD-R03vmj0PDbH,parking_record_index_v2,101a0d01019a,2017-08-10T08:23:00.994Z,2017-08-10T08:21:37.000Z,3449,fcffff0727ff940077ff28,yilan,宜蘭市中山路二段,1001,192.168.0.225,-97.0,12.0,1502353297.0,83.994,-217,148,-137,296.24651896689016,40,2017-08-10 16:21:37,2.0,-6.230769230769255,-2.1153846153845848,6.8773059607746605
