,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1810,1810,AV3LO9Gx-R03vmj0PDUM,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:21.457Z,2017-08-10T08:21:21.000Z,3035,fcffff0719ffbcff5aff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-71.0,25.0,1502353281.0,0.457,-231,-68,-166,292.4739304621867,32,2017-08-10 16:21:21,15.034482758620669,-0.6551724137931103,-5.620689655172413,16.064154970331302
1811,1811,AV3LO-vG-R03vmj0PDUq,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:28.133Z,2017-08-10T08:21:27.000Z,3036,fcffff071affbaff58ff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-134.0,-13.0,1502353287.0,1.133,-230,-70,-168,293.29848277821014,32,2017-08-10 16:21:27,16.03448275862067,-2.6551724137931103,-7.620689655172413,17.95075175874045
1813,1813,AV3LPAEf-R03vmj0PDU7,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:33.599Z,2017-08-10T08:21:33.000Z,3037,fcffff071bffbdff57ff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-72.0,23.0,1502353293.0,0.599,-229,-67,-169,292.38844026397487,32,2017-08-10 16:21:33,17.03448275862067,0.3448275862068897,-8.620689655172413,19.0947322329681
1814,1814,AV3LPBg5-R03vmj0PDVV,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:39.513Z,2017-08-10T08:21:39.000Z,3038,fcffff071affc4ff5bff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-91.0,25.0,1502353299.0,0.513,-230,-60,-165,289.35272592460575,32,2017-08-10 16:21:39,16.03448275862067,7.34482758620689,-4.620689655172413,18.231892455173888
1815,1815,AV3LPC_g-R03vmj0PDVw,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:45.567Z,2017-08-10T08:21:45.000Z,3039,fcffff0718ffbcff5bff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-133.5,-13.5,1502353305.0,0.5670000000000001,-232,-68,-165,292.69950461181173,32,2017-08-10 16:21:45,14.034482758620669,-0.6551724137931103,-4.620689655172413,14.790088913973225
1817,1817,AV3LPF5N-R03vmj0PDWx,parking_record_index_v2,101a0d0100b5,2017-08-10T08:21:57.452Z,2017-08-10T08:21:57.000Z,3041,fcffff071affc3ff5aff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-70.0,24.5,1502353317.0,0.452,-230,-61,-166,290.13272824691813,32,2017-08-10 16:21:57,16.03448275862067,6.34482758620689,-5.620689655172413,18.137078778980854
1819,1819,AV3LPHXw-R03vmj0PDXO,parking_record_index_v2,101a0d0100b5,2017-08-10T08:22:03.503Z,2017-08-10T08:22:03.000Z,3042,fcffff0719ffc2ff5fff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-136.3,-13.3,1502353323.0,0.503,-231,-62,-161,288.31579908149325,32,2017-08-10 16:22:03,15.034482758620669,5.34482758620689,-0.6206896551724128,15.968347109002185
1821,1821,AV3LPIIS-R03vmj0PDXX,parking_record_index_v2,101a0d0100b5,2017-08-10T08:22:06.610Z,2017-08-10T08:22:06.000Z,3043,fcffff0719ffc2ff5dff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-112.0,7.0,1502353326.0,0.61,-231,-62,-163,289.43738528393317,32,2017-08-10 16:22:06,15.034482758620669,5.34482758620689,-2.620689655172413,16.17006085375896
1822,1822,AV3LPJnQ-R03vmj0PDXy,parking_record_index_v2,101a0d0100b5,2017-08-10T08:22:12.687Z,2017-08-10T08:22:12.000Z,3044,fcffff0719ffc0ff5fff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-132.5,-13.5,1502353332.0,0.687,-231,-64,-161,288.75248916676026,32,2017-08-10 16:22:12,15.034482758620669,3.3448275862068897,-0.6206896551724128,15.41456451051248
1823,1823,AV3LPLBP-R03vmj0PDYC,parking_record_index_v2,101a0d0100b5,2017-08-10T08:22:18.446Z,2017-08-10T08:22:18.000Z,3045,fcffff0718ffc1ff5dff20,yilan,宜蘭市中山路二段,1004,10.5.151.1,-70.0,22.0,1502353338.0,0.446,-232,-63,-163,290.4513728664404,32,2017-08-10 16:22:18,14.034482758620669,4.34482758620689,-2.620689655172413,14.923546740792316
1824,1824,AV3LPLyJ-R03vmj0PDYU,parking_record_index_v2,101a0d0100b5,2017-08-10T08:22:21.577Z,2017-08-10T08:22:21.000Z,3046,fcffff0719ffc3ff5cff20,yilan,宜蘭市中山路二段,1004,10.5.180.50,-88.0,27.0,1502353341.0,0.5770000000000001,-231,-61,-164,289.78957883264195,32,2017-08-10 16:22:21,15.034482758620669,6.34482758620689,-3.620689655172413,16.715319395603142
