,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3211,3211,AV3LO8d1-R03vmj0PDUB,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:18.837Z,2017-08-10T08:21:18.000Z,2736,fcffff0754ff520013ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,21.2,1502353278.0,0.8370000000000001,-172,82,-237,304.10031239707735,37,2017-08-10 16:21:18,9.388888888888886,-2.6388888888889,-2.4166666666666856,10.047648825152098
3212,3212,AV3LO977-R03vmj0PDUh,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:24.858Z,2017-08-10T08:21:24.000Z,2737,fcffff0754ff510012ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-67.0,25.5,1502353284.0,0.858,-172,81,-238,304.6128690649822,37,2017-08-10 16:21:24,9.388888888888886,-3.6388888888889,-3.4166666666666856,10.633266573574252
3213,3213,AV3LO-uF-R03vmj0PDUo,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:28.068Z,2017-08-10T08:21:27.000Z,2738,fcffff0754ff4e0011ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-73.0,22.0,1502353287.0,1.068,-172,78,-239,304.6128690649822,37,2017-08-10 16:21:27,9.388888888888886,-6.6388888888889,-4.416666666666686,12.317995968961764
3214,3214,AV3LO_aL-R03vmj0PDUz,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:30.890Z,2017-08-10T08:21:30.000Z,2739,fcffff0754ff4c0010ff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,31.2,1502353290.0,0.89,-172,76,-240,304.8934240025521,37,2017-08-10 16:21:30,9.388888888888886,-8.6388888888889,-5.416666666666686,13.860804939838353
3215,3215,AV3LPAIc-R03vmj0PDU-,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:33.852Z,2017-08-10T08:21:33.000Z,2740,fcffff0755ff4d000cff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,31.2,1502353293.0,0.852,-171,77,-244,307.7433996042807,37,2017-08-10 16:21:33,10.388888888888886,-7.6388888888889,-9.416666666666686,15.967318087693396
3216,3216,AV3LPBqM-R03vmj0PDVY,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:40.108Z,2017-08-10T08:21:39.000Z,2741,fcffff0755ff50000dff25,yilan,宜蘭市中山路二段,1015,10.5.180.50,-83.0,25.0,1502353299.0,1.1079999999999999,-171,80,-243,307.7174028227848,37,2017-08-10 16:21:39,10.388888888888886,-4.6388888888889,-8.416666666666686,14.152334798432163
3218,3218,AV3LPDFI-R03vmj0PDV0,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:45.928Z,2017-08-10T08:21:45.000Z,2742,fcffff0754ff520012ff25,yilan,宜蘭市中山路二段,1015,192.168.88.113,-74.0,18.8,1502353305.0,0.9279999999999999,-172,82,-238,304.88030438190015,37,2017-08-10 16:21:45,9.388888888888886,-2.6388888888889,-3.4166666666666856,10.333856020233382
3221,3221,AV3LPD0R-R03vmj0PDWD,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:48.944Z,2017-08-10T08:21:48.000Z,2743,fcffff0753ff4e0012ff25,yilan,宜蘭市中山路二段,1015,10.5.181.21,-136.3,-16.3,1502353308.0,0.9440000000000001,-173,78,-238,304.3961234969985,37,2017-08-10 16:21:48,8.388888888888886,-6.6388888888889,-3.4166666666666856,11.23040130984851
3224,3224,AV3LPEhl-R03vmj0PDWW,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:51.844Z,2017-08-10T08:21:51.000Z,2744,fcffff0755ff4b000dff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,23.0,1502353311.0,0.8440000000000001,-171,75,-243,306.4555432685138,37,2017-08-10 16:21:51,10.388888888888886,-9.6388888888889,-8.416666666666686,16.482641448985138
3225,3225,AV3LPFQw-R03vmj0PDWm,parking_record_index_v2,101a0d0100c0,2017-08-10T08:21:54.863Z,2017-08-10T08:21:54.000Z,2745,fcffff0755ff4f000cff25,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,23.8,1502353314.0,0.863,-171,79,-244,308.2498986212323,37,2017-08-10 16:21:54,10.388888888888886,-5.6388888888889,-9.416666666666686,15.112898178642808
