,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4561,4561,AV3LHaE2-R03vmj0PBS0,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:22.966Z,2017-08-10T07:48:22.000Z,2987,fcffff0796fedfff98ff29,yilan,宜蘭市中山路二段,1007,10.5.180.16,-108.0,6.2,1502351302.0,0.966,-362,-33,-104,378.08596905994807,41,2017-08-10 15:48:22,0.631578947368439,-2.684210526315791,-2.89473684210526,3.9979218978595688
4564,4564,AV3LHay7-R03vmj0PBTD,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:25.914Z,2017-08-10T07:48:25.000Z,2988,fcffff0795fedeff9aff29,yilan,宜蘭市中山路二段,1007,192.168.88.113,-91.0,23.8,1502351305.0,0.914,-363,-34,-102,378.58816674587183,41,2017-08-10 15:48:25,-0.368421052631561,-3.684210526315791,-0.8947368421052602,3.80915939425731
4568,4568,AV3LHbga-R03vmj0PBTQ,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:28.826Z,2017-08-10T07:48:28.000Z,2989,fcffff0795fedfff9bff29,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,17.0,1502351308.0,0.826,-363,-33,-101,378.23141064697415,41,2017-08-10 15:48:28,-0.368421052631561,-2.684210526315791,0.10526315789473983,2.7114203941876327
4569,4569,AV3LHecv-R03vmj0PBUA,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:40.879Z,2017-08-10T07:48:40.000Z,2991,fcffff0795fedeff9fff28,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,23.8,1502351320.0,0.879,-363,-34,-97,377.27178532193466,40,2017-08-10 15:48:40,-0.368421052631561,-3.684210526315791,4.10526315789474,5.528320438415823
4572,4572,AV3LHfLH-R03vmj0PBUL,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:43.846Z,2017-08-10T07:48:43.000Z,2992,fcffff0794fee1ff9dff29,yilan,宜蘭市中山路二段,1007,10.5.151.1,-75.0,20.0,1502351323.0,0.846,-364,-31,-99,378.49438569151863,41,2017-08-10 15:48:43,-1.368421052631561,-0.6842105263157912,2.10526315789474,2.6024705926475966
4574,4574,AV3LHgqL-R03vmj0PBUp,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:49.930Z,2017-08-10T07:48:49.000Z,2993,fcffff0795fee5ff9eff28,yilan,宜蘭市中山路二段,1007,192.168.88.113,-76.0,17.5,1502351329.0,0.93,-363,-27,-98,376.9641892806265,40,2017-08-10 15:48:49,-0.368421052631561,3.315789473684209,3.10526315789474,4.55772456227837
4577,4577,AV3LHhYk-R03vmj0PBU3,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:52.899Z,2017-08-10T07:48:52.000Z,2994,fcffff0795fee4ff99ff29,yilan,宜蘭市中山路二段,1007,10.5.151.1,-76.0,23.0,1502351332.0,0.899,-363,-28,-103,378.3675461769944,41,2017-08-10 15:48:52,-0.368421052631561,2.315789473684209,-1.8947368421052602,3.0147375771830864
4578,4578,AV3LHiHV-R03vmj0PBVG,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:55.893Z,2017-08-10T07:48:55.000Z,2995,fcffff0796fee0ff99ff29,yilan,宜蘭市中山路二段,1007,10.5.180.16,-115.8,-0.8,1502351335.0,0.893,-362,-32,-103,377.7260912354348,41,2017-08-10 15:48:55,0.631578947368439,-1.6842105263157912,-1.8947368421052602,2.6125628728401837
4581,4581,AV3LHi2l-R03vmj0PBVP,parking_record_index_v2,101a0d0100cb,2017-08-10T07:48:58.916Z,2017-08-10T07:48:58.000Z,2996,fcffff0795fedfff9dff29,yilan,宜蘭市中山路二段,1007,10.5.151.1,-70.0,18.8,1502351338.0,0.9159999999999999,-363,-33,-99,377.7022636945666,41,2017-08-10 15:48:58,-0.368421052631561,-2.684210526315791,2.10526315789474,3.431159160632974
4582,4582,AV3LHmj2-R03vmj0PBWD,parking_record_index_v2,101a0d0100cb,2017-08-10T07:49:14.101Z,2017-08-10T07:49:13.000Z,2999,fcffff0795fee4ffa0ff28,yilan,宜蘭市中山路二段,1007,192.168.88.113,-80.0,22.5,1502351353.0,1.101,-363,-28,-96,376.5222436988285,40,2017-08-10 15:49:13,-0.368421052631561,2.315789473684209,5.10526315789474,5.618035855154905
