,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2185,2185,AV3LHbQW-R03vmj0PBTH,parking_record_index_v2,101a0d0101e4,2017-08-10T07:48:27.798Z,2017-08-10T07:48:27.000Z,2988,fcffff070afea0ff120128,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,19.5,1502351307.0,0.7979999999999999,-502,-96,274,579.9103378971615,40,2017-08-10 15:48:27,0.9838709677419502,-3.0967741935483843,-4.5322580645161565,5.576681419120557
2188,2188,AV3LHcvm-R03vmj0PBTr,parking_record_index_v2,101a0d0101e4,2017-08-10T07:48:33.894Z,2017-08-10T07:48:33.000Z,2989,fcffff0709fe9fff150128,yilan,宜蘭市中山路二段,1016,192.168.88.113,-78.0,19.5,1502351313.0,0.894,-503,-97,277,582.363288678124,40,2017-08-10 15:48:33,-0.016129032258049847,-4.096774193548384,-1.5322580645161565,4.373972303853831
2190,2190,AV3LHhJY-R03vmj0PBUv,parking_record_index_v2,101a0d0101e4,2017-08-10T07:48:51.927Z,2017-08-10T07:48:51.000Z,2995,fcffff0709fea6ff190128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-88.0,13.8,1502351331.0,0.927,-503,-90,281,583.1552109001514,40,2017-08-10 15:48:51,-0.016129032258049847,2.9032258064516157,2.4677419354838435,3.8103451929023127
2191,2191,AV3LHiia-R03vmj0PBVL,parking_record_index_v2,101a0d0101e4,2017-08-10T07:48:57.625Z,2017-08-10T07:48:57.000Z,2997,fcffff0709fea2ff120128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,30.5,1502351337.0,0.625,-503,-94,274,580.4489641648092,40,2017-08-10 15:48:57,-0.016129032258049847,-1.0967741935483843,-4.5322580645161565,4.663103788324578
2194,2194,AV3LHjQt-R03vmj0PBVV,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:00.589Z,2017-08-10T07:49:00.000Z,2998,fcffff0709fea0ff160128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,29.5,1502351340.0,0.589,-503,-96,278,582.6740083442885,40,2017-08-10 15:49:00,-0.016129032258049847,-3.0967741935483843,-0.5322580645161565,3.1422236073760432
2195,2195,AV3LHkBW-R03vmj0PBVi,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:03.701Z,2017-08-10T07:49:03.000Z,2999,fcffff0708fea2ff180128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,25.0,1502351343.0,0.701,-504,-94,280,584.167784116858,40,2017-08-10 15:49:03,-1.0161290322580498,-1.0967741935483843,1.4677419354838435,2.0951606694975085
2196,2196,AV3LHm6f-R03vmj0PBWH,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:15.550Z,2017-08-10T07:49:15.000Z,3001,fcffff070afea1ff1b0128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,21.2,1502351355.0,0.55,-502,-95,283,584.0530797795692,40,2017-08-10 15:49:15,0.9838709677419502,-2.0967741935483843,4.4677419354838435,5.03241314897504
2198,2198,AV3LHp-1-R03vmj0PBWz,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:28.116Z,2017-08-10T07:49:27.000Z,3003,fcffff070afea2ff130128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,17.0,1502351367.0,1.1159999999999999,-502,-94,275,580.0560317762414,40,2017-08-10 15:49:27,0.9838709677419502,-1.0967741935483843,-3.5322580645161565,3.827239572738897
2200,2200,AV3LHrXX-R03vmj0PBXP,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:33.783Z,2017-08-10T07:49:33.000Z,3004,fcffff0709fea5ff160128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,33.0,1502351373.0,0.7829999999999999,-503,-91,278,581.8711197507572,40,2017-08-10 15:49:33,-0.016129032258049847,1.9032258064516157,-0.5322580645161565,1.9763165898376378
2203,2203,AV3LHsFG-R03vmj0PBXW,parking_record_index_v2,101a0d0101e4,2017-08-10T07:49:36.709Z,2017-08-10T07:49:36.000Z,3005,fcffff0708fea7ff130128,yilan,宜蘭市中山路二段,1016,192.168.88.113,-82.0,19.5,1502351376.0,0.7090000000000001,-504,-89,275,581.0008605845604,40,2017-08-10 15:49:36,-1.0161290322580498,3.9032258064516157,-3.5322580645161565,5.3613931902712535
