,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2824,2824,AV3LHanr-R03vmj0PBS_,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:25.194Z,2017-08-10T07:48:24.000Z,2405,fcffff07d5feefff80ff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-135.0,-15.0,1502351304.0,1.194,-299,-17,-128,325.6900366913302,41,2017-08-10 15:48:24,-0.5806451612903061,1.387096774193548,5.306451612903231,5.515397989664145
2826,2826,AV3LHbXB-R03vmj0PBTL,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:28.224Z,2017-08-10T07:48:27.000Z,2406,fcffff07d5fef0ff7eff29,yilan,宜蘭市中山路二段,1002,192.168.88.113,-77.0,18.8,1502351307.0,1.224,-299,-16,-130,326.4306970859205,41,2017-08-10 15:48:27,-0.5806451612903061,2.387096774193548,3.3064516129032313,4.11922348036198
2829,2829,AV3LHcyR-R03vmj0PBTs,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:34.064Z,2017-08-10T07:48:33.000Z,2407,fcffff07d5fef0ff7fff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,28.8,1502351313.0,1.064,-299,-16,-129,326.0337405852345,41,2017-08-10 15:48:33,-0.5806451612903061,2.387096774193548,4.306451612903231,4.95791340252852
2830,2830,AV3LHfuI-R03vmj0PBUT,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:46.088Z,2017-08-10T07:48:45.000Z,2409,fcffff07d6feefff7bff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-95.0,14.5,1502351325.0,1.088,-298,-17,-133,326.7751520541304,41,2017-08-10 15:48:45,0.4193548387096939,1.387096774193548,0.3064516129032313,1.4811510837110347
2831,2831,AV3LHhNk-R03vmj0PBUx,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:52.195Z,2017-08-10T07:48:51.000Z,2410,fcffff07d6feeaff7dff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-136.3,-15.3,1502351331.0,1.195,-298,-22,-131,326.26522952959607,41,2017-08-10 15:48:51,0.4193548387096939,-3.612903225806452,2.3064516129032313,4.306814047814906
2833,2833,AV3LHioE-R03vmj0PBVN,parking_record_index_v2,101a0d0100cc,2017-08-10T07:48:57.987Z,2017-08-10T07:48:57.000Z,2411,fcffff07d5feefff7fff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-70.0,10.0,1502351337.0,0.987,-299,-17,-129,326.08434491707817,41,2017-08-10 15:48:57,-0.5806451612903061,1.387096774193548,4.306451612903231,4.561437466258289
2834,2834,AV3LHjYO-R03vmj0PBVY,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:01.069Z,2017-08-10T07:49:00.000Z,2412,fcffff07d6fef1ff7bff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,25.5,1502351340.0,1.069,-298,-15,-133,326.677210714185,41,2017-08-10 15:49:00,0.4193548387096939,3.387096774193548,0.3064516129032313,3.426688726679528
2835,2835,AV3LHkJL-R03vmj0PBVl,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:04.203Z,2017-08-10T07:49:03.000Z,2413,fcffff07d6feefff78ff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-135.0,-15.0,1502351343.0,1.203,-298,-17,-136,328.00762186266337,41,2017-08-10 15:49:03,0.4193548387096939,1.387096774193548,-2.6935483870967687,3.0586106086520695
2837,2837,AV3LHk1T-R03vmj0PBVs,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:07.026Z,2017-08-10T07:49:06.000Z,2414,fcffff07d6feeeff77ff29,yilan,宜蘭市中山路二段,1002,10.5.180.16,-102.0,8.8,1502351346.0,1.026,-298,-18,-137,328.4767876121538,41,2017-08-10 15:49:06,0.4193548387096939,0.38709677419354804,-3.6935483870967687,3.7373790390011856
2838,2838,AV3LHljw-R03vmj0PBV1,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:09.999Z,2017-08-10T07:49:09.000Z,2415,fcffff07d7feeeff77ff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,21.2,1502351349.0,0.9990000000000001,-297,-18,-137,327.56983988151285,41,2017-08-10 15:49:09,1.419354838709694,0.38709677419354804,-3.6935483870967687,3.975765556290362
2839,2839,AV3LHmUN-R03vmj0PBWA,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:13.100Z,2017-08-10T07:49:12.000Z,2416,fcffff07d6feedff78ff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-75.0,20.5,1502351352.0,1.1,-298,-19,-136,328.1173570538444,41,2017-08-10 15:49:12,0.4193548387096939,-0.612903225806452,-2.6935483870967687,2.7940493479150996
2840,2840,AV3LHnCZ-R03vmj0PBWJ,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:16.056Z,2017-08-10T07:49:15.000Z,2417,fcffff07d6feefff78ff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-91.0,22.0,1502351355.0,1.056,-298,-17,-136,328.00762186266337,41,2017-08-10 15:49:15,0.4193548387096939,1.387096774193548,-2.6935483870967687,3.0586106086520695
2842,2842,AV3LHnyS-R03vmj0PBWS,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:19.121Z,2017-08-10T07:49:18.000Z,2418,fcffff07d6fef0ff78ff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-80.0,28.0,1502351358.0,1.121,-298,-16,-136,327.957314295626,41,2017-08-10 15:49:18,0.4193548387096939,2.387096774193548,-2.6935483870967687,3.6234365461183504
2843,2843,AV3LHpPo-R03vmj0PBWq,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:25.095Z,2017-08-10T07:49:24.000Z,2419,fcffff07d4feefff7dff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,28.0,1502351364.0,1.095,-300,-17,-131,327.79566806167526,41,2017-08-10 15:49:24,-1.580645161290306,1.387096774193548,2.3064516129032313,3.1212490495877643
2845,2845,AV3LHquK-R03vmj0PBW-,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:31.146Z,2017-08-10T07:49:30.000Z,2420,fcffff07d5feebff7dff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-78.0,24.5,1502351370.0,1.146,-299,-21,-131,327.11313027758456,41,2017-08-10 15:49:30,-0.5806451612903061,-2.612903225806452,2.3064516129032313,3.533288993759713
2846,2846,AV3LHtqQ-R03vmj0PBXt,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:43.183Z,2017-08-10T07:49:42.000Z,2422,fcffff07d6feeaff7cff29,yilan,宜蘭市中山路二段,1002,10.5.180.16,-101.0,16.2,1502351382.0,1.183,-298,-22,-132,326.66802720805106,41,2017-08-10 15:49:42,0.4193548387096939,-3.612903225806452,1.3064516129032313,3.864679031517282
2849,2849,AV3LHuaC-R03vmj0PBX_,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:46.241Z,2017-08-10T07:49:45.000Z,2423,fcffff07d5feecff7bff29,yilan,宜蘭市中山路二段,1002,10.5.180.50,-136.8,-16.8,1502351385.0,1.2409999999999999,-299,-20,-133,327.85667600340236,41,2017-08-10 15:49:45,-0.5806451612903061,-1.612903225806452,0.3064516129032313,1.741412705305005
2851,2851,AV3LHv19-R03vmj0PBYc,parking_record_index_v2,101a0d0100cc,2017-08-10T07:49:52.125Z,2017-08-10T07:49:51.000Z,2424,fcffff07d5feefff82ff29,yilan,宜蘭市中山路二段,1002,10.5.151.1,-73.0,23.0,1502351391.0,1.125,-299,-17,-126,324.9092180902228,41,2017-08-10 15:49:51,-0.5806451612903061,1.387096774193548,7.306451612903231,7.459585875637081
