,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2048,2048,AV3LLPiB-R03vmj0PCXT,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:08.352Z,2017-08-10T08:05:07.000Z,2558,fcffff07cafe3a000fff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,20.8,1502352307.0,1.3519999999999999,-310,58,-241,396.91938728159903,43,2017-08-10 16:05:07,2.8666666666666742,2.9555555555555415,1.4222222222222456,4.356122412092644
2050,2050,AV3LLQNS-R03vmj0PCXd,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:11.122Z,2017-08-10T08:05:10.000Z,2559,fcffff07cafe3c0012ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-86.5,-10.5,1502352310.0,1.122,-310,60,-238,395.4035912836402,43,2017-08-10 16:05:10,2.8666666666666742,4.9555555555555415,4.422222222222246,7.2340416106552405
2052,2052,AV3LLT7l-R03vmj0PCYf,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:26.372Z,2017-08-10T08:05:25.000Z,2562,fcffff07cbfe3c0012ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-75.0,25.5,1502352325.0,1.3719999999999999,-309,60,-238,394.62007044751283,43,2017-08-10 16:05:25,3.8666666666666742,4.9555555555555415,4.422222222222246,7.685355642911056
2053,2053,AV3LLWEL-R03vmj0PCY6,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:35.114Z,2017-08-10T08:05:34.000Z,2564,fcffff07c5fe35000aff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,27.5,1502352334.0,1.114,-315,53,-246,403.17490001238923,43,2017-08-10 16:05:34,-2.1333333333333258,-2.0444444444444585,-3.5777777777777544,4.640189438448738
2054,2054,AV3LLWzh-R03vmj0PCZG,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:38.144Z,2017-08-10T08:05:37.000Z,2565,fcffff07c5fe350008ff2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,-7.0,1502352337.0,1.1440000000000001,-315,53,-248,404.3983184930422,43,2017-08-10 16:05:37,-2.1333333333333258,-2.0444444444444585,-5.577777777777754,6.312089126097812
2055,2055,AV3LLYSC-R03vmj0PCZY,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:44.193Z,2017-08-10T08:05:43.000Z,2566,fcffff07c6fe2f0005ff2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,21.3,1502352343.0,1.193,-314,47,-251,404.72953932224914,43,2017-08-10 16:05:43,-1.1333333333333258,-8.044444444444458,-8.577777777777754,11.814220349609856
2057,2057,AV3LLbMN-R03vmj0PCaK,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:56.108Z,2017-08-10T08:05:55.000Z,2568,fcffff07b6ff76ff70012b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,32.5,1502352355.0,1.1079999999999999,-74,-138,368,399.92999387392786,43,2017-08-10 16:05:55,238.86666666666667,-193.04444444444445,610.4222222222222,683.3291530134103
2058,2058,AV3LLb7E-R03vmj0PCaY,parking_record_index_v2,101a0d0100a3,2017-08-10T08:05:59.108Z,2017-08-10T08:05:58.000Z,2569,fcffff073dffbefff7fe2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-77.0,24.5,1502352358.0,1.1079999999999999,-195,-66,-265,335.56817489148165,43,2017-08-10 16:05:58,117.86666666666667,-121.04444444444445,-22.577777777777754,170.45252914333076
2059,2059,AV3LLeIb-R03vmj0PCa0,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:08.155Z,2017-08-10T08:06:07.000Z,2571,fcffff07c9fed3ff9dfe2b,yilan,宜蘭市中山路二段,1012,192.168.88.113,-78.0,22.5,1502352367.0,1.155,-311,-45,-355,474.1002003796244,43,2017-08-10 16:06:07,1.8666666666666742,-100.04444444444445,-112.57777777777775,150.61915999641175
2060,2060,AV3LLe3J-R03vmj0PCbD,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:11.145Z,2017-08-10T08:06:10.000Z,2572,fcffff07cafed4ff94fe2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-82.0,33.0,1502352370.0,1.145,-310,-44,-364,480.1374803116291,43,2017-08-10 16:06:10,2.8666666666666742,-99.04444444444445,-121.57777777777775,156.84124394581016
2061,2061,AV3LLfp6-R03vmj0PCbN,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:14.393Z,2017-08-10T08:06:13.000Z,2573,fcffff07ccfecfff9afe2b,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,28.8,1502352373.0,1.393,-308,-49,-358,474.79363938452246,43,2017-08-10 16:06:13,4.866666666666674,-104.04444444444445,-115.57777777777775,155.5864826398711
2062,2062,AV3LLgW7-R03vmj0PCbV,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:17.274Z,2017-08-10T08:06:16.000Z,2574,fcffff07cbfeccff99fe2b,yilan,宜蘭市中山路二段,1012,10.5.180.50,-93.0,15.0,1502352376.0,1.274,-309,-52,-359,476.5144279032903,43,2017-08-10 16:06:16,3.8666666666666742,-107.04444444444445,-116.57777777777775,158.31564189661046
2063,2063,AV3LLh1A-R03vmj0PCbv,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:23.295Z,2017-08-10T08:06:22.000Z,2575,fcffff07ccfecbff9cfe2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,32.5,1502352382.0,1.295,-308,-53,-356,473.718270705279,42,2017-08-10 16:06:22,4.866666666666674,-108.04444444444445,-113.57777777777775,156.83493878817742
2051,2051,AV3LLnpl-R03vmj0PCdC,parking_record_index_v2,101a0d0100a3,2017-08-10T08:06:47.140Z,2017-08-10T08:05:23.000Z,2579,fcffff07ccfecdff9bfe2a,yilan,宜蘭市中山路二段,1012,192.168.0.225,-99.0,10.5,1502352323.0,84.14,-308,-51,-357,474.2509884017112,42,2017-08-10 16:05:23,4.866666666666674,-106.04444444444445,-114.57777777777775,156.19595322052723
2064,2064,AV3LL7my-R03vmj0PChe,parking_record_index_v2,101a0d0100a3,2017-08-10T08:08:08.882Z,2017-08-10T08:06:44.000Z,2595,fcffff07ccfeccff97fe2a,yilan,宜蘭市中山路二段,1012,192.168.0.225,-99.0,7.0,1502352404.0,84.882,-308,-52,-361,477.37720934288427,42,2017-08-10 16:06:44,4.866666666666674,-107.04444444444445,-118.57777777777775,159.82142194831155
