,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2445,2445,AV3LLPT3-R03vmj0PCXM,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:07.447Z,2017-08-10T08:05:06.000Z,3283,fcffff070efea8ff200127,yilan,宜蘭市中山路二段,1016,10.5.180.50,-94.0,16.3,1502352306.0,1.4469999999999998,-498,-88,288,581.9725079417411,39,2017-08-10 16:05:06,4.983870967742007,4.90322580645163,9.467741935483843,11.76939805126304
2446,2446,AV3LLP4R-R03vmj0PCXY,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:09.776Z,2017-08-10T08:05:09.000Z,3284,fcffff070efea3ff1e0127,yilan,宜蘭市中山路二段,1016,192.168.88.113,-83.0,15.0,1502352309.0,0.7759999999999999,-498,-93,286,581.7636977330228,39,2017-08-10 16:05:09,4.983870967742007,-0.09677419354837014,7.4677419354838435,8.978613739471287
2449,2449,AV3LLQne-R03vmj0PCXi,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:12.797Z,2017-08-10T08:05:12.000Z,3285,fcffff070ffea2ff1c0127,yilan,宜蘭市中山路二段,1016,192.168.88.113,-81.0,2.0,1502352312.0,0.797,-497,-94,284,580.0870624311492,39,2017-08-10 16:05:12,5.983870967742007,-1.0967741935483701,5.4677419354838435,8.179598233609518
2450,2450,AV3LLRWN-R03vmj0PCXu,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:15.788Z,2017-08-10T08:05:15.000Z,3286,fcffff070ffea6ff170127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,17.0,1502352315.0,0.7879999999999999,-497,-90,279,577.018197286706,39,2017-08-10 16:05:15,5.983870967742007,2.90322580645163,0.46774193548384346,6.667399370072453
2451,2451,AV3LLSEL-R03vmj0PCX3,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:18.730Z,2017-08-10T08:05:18.000Z,3287,fcffff070efea9ff1c0127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,27.5,1502352318.0,0.73,-498,-87,284,579.8525674686626,39,2017-08-10 16:05:18,4.983870967742007,5.90322580645163,5.4677419354838435,9.464842662089357
2452,2452,AV3LLSy--R03vmj0PCYE,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:21.725Z,2017-08-10T08:05:21.000Z,3288,fcffff070efea9ff210127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-90.0,16.2,1502352321.0,0.725,-498,-87,289,582.3177826582321,39,2017-08-10 16:05:21,4.983870967742007,5.90322580645163,10.467741935483843,13.010021751440126
2453,2453,AV3LLVv1-R03vmj0PCY3,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:33.813Z,2017-08-10T08:05:33.000Z,3292,fcffff070bfe99ff120127,yilan,宜蘭市中山路二段,1016,192.168.88.113,-83.0,18.8,1502352333.0,0.813,-501,-103,274,580.2464993431671,39,2017-08-10 16:05:33,1.983870967742007,-10.09677419354837,-4.5322580645161565,11.243751878066577
2457,2457,AV3LLZWu-R03vmj0PCZr,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:48.590Z,2017-08-10T08:05:48.000Z,3297,fcffff070cfea1ff100127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,23.0,1502352348.0,0.59,-500,-95,272,577.0693199261246,39,2017-08-10 16:05:48,2.983870967742007,-2.09677419354837,-6.5322580645161565,7.481332995683349
2458,2458,AV3LLaJf-R03vmj0PCZ4,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:51.838Z,2017-08-10T08:05:51.000Z,3298,fcffff070dfea6ff170127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,28.8,1502352351.0,0.838,-499,-90,279,578.7417386019433,39,2017-08-10 16:05:51,3.983870967742007,2.90322580645163,0.46774193548384346,4.951639171938372
2459,2459,AV3LLa0j-R03vmj0PCaD,parking_record_index_v2,101a0d0101e4,2017-08-10T08:05:54.594Z,2017-08-10T08:05:54.000Z,3299,fcffff0717feb4ff470127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,23.8,1502352354.0,0.594,-489,-76,327,593.1492223715717,39,2017-08-10 16:05:54,13.983870967742007,16.90322580645163,48.46774193548384,53.201406919657764
2460,2460,AV3LLcR6-R03vmj0PCaa,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:00.569Z,2017-08-10T08:06:00.000Z,3301,fcffff072efe06ff3a0127,yilan,宜蘭市中山路二段,1016,10.5.151.1,-115.0,27.5,1502352360.0,0.569,-466,-250,314,615.0219508277733,39,2017-08-10 16:06:00,36.98387096774201,-157.09677419354836,35.46774193548384,165.24274232709703
2461,2461,AV3LLdv9-R03vmj0PCar,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:06.588Z,2017-08-10T08:06:06.000Z,3303,fcffff0736fee4febc0027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-77.0,23.8,1502352366.0,0.588,-458,-284,188,570.7573915421507,39,2017-08-10 16:06:06,44.98387096774201,-191.09677419354836,-90.53225806451616,216.18884222984917
2462,2462,AV3LLee9-R03vmj0PCa7,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:09.596Z,2017-08-10T08:06:09.000Z,3304,fcffff0747fee2feb40027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,12.0,1502352369.0,0.596,-441,-286,180,555.5870768835431,39,2017-08-10 16:06:09,61.98387096774201,-193.09677419354836,-98.53225806451616,225.47055316247463
2463,2463,AV3LLgtQ-R03vmj0PCbb,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:18.703Z,2017-08-10T08:06:18.000Z,3307,fcffff0745feeafeb40027,yilan,宜蘭市中山路二段,1016,10.5.180.50,-99.0,7.0,1502352378.0,0.703,-443,-278,180,553.1121043694487,39,2017-08-10 16:06:18,59.98387096774201,-185.09677419354836,-98.53225806451616,218.09971680959276
2465,2465,AV3LLhcC-R03vmj0PCbn,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:21.697Z,2017-08-10T08:06:21.000Z,3308,fcffff0746feebfeb30027,yilan,宜蘭市中山路二段,1016,192.168.88.113,-88.0,22.0,1502352381.0,0.6970000000000001,-442,-277,179,551.4834539675692,39,2017-08-10 16:06:21,60.98387096774201,-184.09677419354836,-99.53225806451616,217.98469024704917
2467,2467,AV3LLjnk-R03vmj0PCcB,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:30.627Z,2017-08-10T08:06:30.000Z,3311,fcffff0744fee7feb80027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-77.0,25.0,1502352390.0,0.627,-444,-281,184,556.7342274371139,39,2017-08-10 16:06:30,58.98387096774201,-188.09677419354836,-94.53225806451616,218.6226001838196
2468,2468,AV3LLlEW-R03vmj0PCcU,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:36.566Z,2017-08-10T08:06:36.000Z,3313,fcffff0745fee2feb50027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,35.0,1502352396.0,0.5660000000000001,-443,-286,181,557.4997757847083,39,2017-08-10 16:06:36,59.98387096774201,-193.09677419354836,-97.53225806451616,224.49269552346755
2469,2469,AV3LLl0m-R03vmj0PCcg,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:39.653Z,2017-08-10T08:06:39.000Z,3314,fcffff0746fee3feb20027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,23.0,1502352399.0,0.653,-442,-285,178,555.2233784703234,39,2017-08-10 16:06:39,60.98387096774201,-192.09677419354836,-100.53225806451616,225.2264151588969
2470,2470,AV3LLmjd-R03vmj0PCcs,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:42.653Z,2017-08-10T08:06:42.000Z,3315,fcffff0746fee8feb30027,yilan,宜蘭市中山路二段,1016,10.5.180.50,-99.0,5.0,1502352402.0,0.653,-442,-280,179,552.9963833516455,39,2017-08-10 16:06:42,60.98387096774201,-187.09677419354836,-99.53225806451616,220.52416154984758
2472,2472,AV3LLnS1-R03vmj0PCc8,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:45.685Z,2017-08-10T08:06:45.000Z,3316,fcffff0745feeafeb50027,yilan,宜蘭市中山路二段,1016,10.5.180.50,-100.0,3.8,1502352405.0,0.685,-443,-278,181,553.4383434493856,39,2017-08-10 16:06:45,59.98387096774201,-185.09677419354836,-97.53225806451616,217.64976902421822
2474,2474,AV3LLovl-R03vmj0PCdQ,parking_record_index_v2,101a0d0101e4,2017-08-10T08:06:51.620Z,2017-08-10T08:06:51.000Z,3318,fcffff0746fee3feb70027,yilan,宜蘭市中山路二段,1016,10.5.151.1,-80.0,28.8,1502352411.0,0.62,-442,-285,183,556.8464779452231,39,2017-08-10 16:06:51,60.98387096774201,-192.09677419354836,-95.53225806451616,223.03949315016527
2456,2456,AV3LLtI3-R03vmj0PCeO,parking_record_index_v2,101a0d0101e4,2017-08-10T08:07:09.622Z,2017-08-10T08:05:46.000Z,3324,fcffff0744fee2feb50027,yilan,宜蘭市中山路二段,1016,192.168.0.225,-113.2,-8.2,1502352346.0,83.62200000000001,-444,-286,181,558.2947250332928,39,2017-08-10 16:05:46,58.98387096774201,-193.09677419354836,-97.53225806451616,224.22756878104178
