,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2092,2092,AV3LLTIa-R03vmj0PCYP,parking_record_index_v2,101a0d010119,2017-08-10T08:05:23.098Z,2017-08-10T08:05:22.000Z,2556,fcffff070cff4e0081ff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-88.2,-11.2,1502352322.0,1.0979999999999999,-244,78,-127,285.9178203610261,39,2017-08-10 16:05:22,12.770833333333314,8.3125,6.833333333333343,16.699888763767913
2093,2093,AV3LLT4f-R03vmj0PCYe,parking_record_index_v2,101a0d010119,2017-08-10T08:05:26.174Z,2017-08-10T08:05:25.000Z,2557,fcffff070cff4d0082ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-83.0,30.0,1502352325.0,1.1740000000000002,-244,77,-126,285.20343616443336,39,2017-08-10 16:05:25,12.770833333333314,7.3125,7.833333333333343,16.671171266257467
2095,2095,AV3LLUnY-R03vmj0PCYo,parking_record_index_v2,101a0d010119,2017-08-10T08:05:29.176Z,2017-08-10T08:05:28.000Z,2558,fcffff0708ff430076ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-77.0,27.0,1502352328.0,1.176,-248,67,-138,291.6110423149302,39,2017-08-10 16:05:28,8.770833333333314,-2.6875,-4.166666666666657,10.075280875599539
2097,2097,AV3LLWFW-R03vmj0PCY7,parking_record_index_v2,101a0d010119,2017-08-10T08:05:35.188Z,2017-08-10T08:05:34.000Z,2559,fcffff0707ff37006aff27,yilan,宜蘭市中山路二段,1010,10.5.181.21,-134.0,-13.0,1502352334.0,1.188,-249,55,-150,295.8479339120015,39,2017-08-10 16:05:34,7.770833333333314,-14.6875,-16.166666666666657,23.183390995614833
2098,2098,AV3LLXhl-R03vmj0PCZP,parking_record_index_v2,101a0d010119,2017-08-10T08:05:41.092Z,2017-08-10T08:05:40.000Z,2560,fcffff0706ff38006aff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,25.0,1502352340.0,1.092,-250,56,-150,296.8770789400893,39,2017-08-10 16:05:40,6.770833333333314,-13.6875,-16.166666666666657,22.238546521499295
2100,2100,AV3LLeLi-R03vmj0PCa1,parking_record_index_v2,101a0d010119,2017-08-10T08:06:08.353Z,2017-08-10T08:06:07.000Z,2565,fcffff0768ff580004fe27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-90.0,18.3,1502352367.0,1.3530000000000002,-152,88,-508,537.5053488105956,39,2017-08-10 16:06:07,104.77083333333331,18.3125,-374.16666666666663,388.98967803536317
2102,2102,AV3LLfow-R03vmj0PCbM,parking_record_index_v2,101a0d010119,2017-08-10T08:06:14.318Z,2017-08-10T08:06:13.000Z,2566,fcffff0768ff570000fe27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-90.0,22.0,1502352373.0,1.318,-152,87,-512,541.1256785627531,39,2017-08-10 16:06:13,104.77083333333331,17.3125,-378.16666666666663,392.79342910923145
2104,2104,AV3LLgXk-R03vmj0PCbW,parking_record_index_v2,101a0d010119,2017-08-10T08:06:17.315Z,2017-08-10T08:06:16.000Z,2567,fcffff0768ff5600fffd27,yilan,宜蘭市中山路二段,1010,10.5.180.16,-101.0,16.2,1502352376.0,1.315,-152,86,-513,541.912354537152,39,2017-08-10 16:06:16,104.77083333333331,16.3125,-379.16666666666663,393.71358407441596
2106,2106,AV3LLhDR-R03vmj0PCbj,parking_record_index_v2,101a0d010119,2017-08-10T08:06:20.113Z,2017-08-10T08:06:19.000Z,2568,fcffff0768ff540001fe27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.5,-14.5,1502352379.0,1.113,-152,84,-511,539.7045488042509,39,2017-08-10 16:06:19,104.77083333333331,14.3125,-377.16666666666663,391.709675165237
2107,2107,AV3LLhxd-R03vmj0PCbu,parking_record_index_v2,101a0d010119,2017-08-10T08:06:23.068Z,2017-08-10T08:06:22.000Z,2569,fcffff0769ff5500fdfd27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-81.0,27.0,1502352382.0,1.068,-151,85,-515,543.3700396598988,39,2017-08-10 16:06:22,105.77083333333331,15.3125,-381.16666666666663,395.866100617438
