,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3158,3158,AV3LLP-0-R03vmj0PCXZ,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:10.195Z,2017-08-10T08:05:09.000Z,2651,fcffff07d9fef5ff81ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,29.5,1502352309.0,1.195,-295,-11,-127,321.36427928442833,40,2017-08-10 16:05:09,3.419354838709694,7.387096774193548,6.306451612903231,10.297209243780467
3159,3159,AV3LLQtO-R03vmj0PCXl,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:13.166Z,2017-08-10T08:05:12.000Z,2652,fcffff07d7fef7ff85ff28,yilan,宜蘭市中山路二段,1002,10.5.180.50,-96.0,11.3,1502352312.0,1.166,-297,-9,-123,321.58824605386314,40,2017-08-10 16:05:12,1.419354838709694,9.387096774193548,10.306451612903231,14.012676363042113
3161,3161,AV3LLS7G-R03vmj0PCYL,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:22.245Z,2017-08-10T08:05:21.000Z,2654,fcffff07d8fef1ff7fff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,29.5,1502352321.0,1.245,-296,-15,-129,323.2367553357755,40,2017-08-10 16:05:21,2.419354838709694,3.387096774193548,4.306451612903231,5.989259377219957
3164,3164,AV3LLTmd-R03vmj0PCYX,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:25.021Z,2017-08-10T08:05:24.000Z,2655,fcffff07d8fef5ff7cff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-79.0,25.5,1502352324.0,1.021,-296,-11,-132,324.2853681558883,40,2017-08-10 16:05:24,2.419354838709694,7.387096774193548,1.3064516129032313,7.882213674073178
3165,3165,AV3LLWzc-R03vmj0PCZE,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:38.139Z,2017-08-10T08:05:36.000Z,2657,fcffff07dbfeecff78ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,30.0,1502352336.0,2.1390000000000002,-293,-20,-136,323.6433221928115,40,2017-08-10 16:05:36,5.419354838709694,-1.612903225806452,-2.6935483870967687,6.263071658323465
3167,3167,AV3LLYuB-R03vmj0PCZh,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:45.984Z,2017-08-10T08:05:45.000Z,2659,fcffff07dafee8ff78ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,24.5,1502352345.0,0.9840000000000001,-294,-24,-136,324.81995012621985,40,2017-08-10 16:05:45,4.419354838709694,-5.612903225806452,-2.6935483870967687,7.634826961125371
3168,3168,AV3LLZdo-R03vmj0PCZv,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:49.031Z,2017-08-10T08:05:48.000Z,2660,fcffff07d9feecff7dff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-90.0,29.5,1502352348.0,1.031,-295,-20,-131,323.39758811716575,40,2017-08-10 16:05:48,3.419354838709694,-1.612903225806452,2.3064516129032313,4.428675125981604
3169,3169,AV3LLaNF-R03vmj0PCZ5,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:52.069Z,2017-08-10T08:05:51.000Z,2661,fcffff07d6fef9ff86ff28,yilan,宜蘭市中山路二段,1002,10.5.180.50,-134.3,-14.3,1502352351.0,1.069,-298,-7,-122,322.08228762227833,40,2017-08-10 16:05:51,0.4193548387096939,11.387096774193548,11.306451612903231,16.05234186966252
3170,3170,AV3LLbt5-R03vmj0PCaS,parking_record_index_v2,101a0d0100cc,2017-08-10T08:05:58.264Z,2017-08-10T08:05:57.000Z,2662,fcffff0701ffafff69ff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-87.0,31.2,1502352357.0,1.264,-255,-81,-151,307.22467348831213,40,2017-08-10 16:05:57,43.419354838709694,-62.61290322580645,-17.69354838709677,78.22197695980664
3173,3173,AV3LLcYm-R03vmj0PCab,parking_record_index_v2,101a0d0100cc,2017-08-10T08:06:00.997Z,2017-08-10T08:06:00.000Z,2663,fcffff0724ffc3ff3fff28,yilan,宜蘭市中山路二段,1002,10.5.151.1,-81.0,29.5,1502352360.0,0.997,-220,-61,-193,298.9481560404746,40,2017-08-10 16:06:00,78.4193548387097,-42.61290322580645,-59.69354838709677,107.37213071227593
