,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2212,2212,AV3LMOv4-R03vmj0PCma,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:27.287Z,2017-08-10T08:09:26.000Z,2730,fcffff07aefe17008dff26,yilan,宜蘭市中山路二段,1006,192.168.88.113,-95.0,15.0,1502352566.0,1.287,-338,23,-115,357.76808130407613,38,2017-08-10 16:09:26,-7.954545454545439,6.795454545454547,20.47727272727272,22.99503629514151
2214,2214,AV3LMPbc-R03vmj0PCmo,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:30.075Z,2017-08-10T08:09:29.000Z,2731,fcffff07aefe17008cff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-79.0,24.5,1502352569.0,1.075,-338,23,-116,358.0907706154963,38,2017-08-10 16:09:29,-7.954545454545439,6.795454545454547,19.47727272727272,22.109209591487662
2215,2215,AV3LMQ5Y-R03vmj0PCm7,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:36.088Z,2017-08-10T08:09:35.000Z,2733,fcffff07acfe1a008fff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-75.0,29.5,1502352575.0,1.088,-340,26,-113,359.2283396392885,38,2017-08-10 16:09:35,-9.954545454545439,9.795454545454547,22.47727272727272,26.462647150556865
2216,2216,AV3LMRoC-R03vmj0PCnF,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:39.074Z,2017-08-10T08:09:38.000Z,2734,fcffff07aefe16008eff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-83.0,27.5,1502352578.0,1.074,-338,22,-114,357.38494652125456,38,2017-08-10 16:09:38,-7.954545454545439,5.795454545454547,21.47727272727272,23.624887948485846
2217,2217,AV3LMSWq-R03vmj0PCnY,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:42.058Z,2017-08-10T08:09:41.000Z,2735,fcffff07aefe19008eff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-86.0,25.5,1502352581.0,1.058,-338,25,-114,357.5821583916066,38,2017-08-10 16:09:41,-7.954545454545439,8.795454545454547,21.47727272727272,24.53381458011043
2218,2218,AV3LMTG_-R03vmj0PCnm,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:45.151Z,2017-08-10T08:09:44.000Z,2736,fcffff07b0fe1c008fff26,yilan,宜蘭市中山路二段,1006,10.5.180.50,-96.0,7.0,1502352584.0,1.151,-336,28,-113,355.596681649309,38,2017-08-10 16:09:44,-5.954545454545439,11.795454545454547,22.47727272727272,26.07330337261334
2219,2219,AV3LMT0Q-R03vmj0PCnw,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:48.047Z,2017-08-10T08:09:47.000Z,2737,fcffff07c0fe1d009eff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-87.0,9.5,1502352587.0,1.047,-320,29,-98,335.92409856990014,38,2017-08-10 16:09:47,10.045454545454561,12.795454545454547,37.47727272727272,40.85560897996708
2221,2221,AV3LMUjb-R03vmj0PCn-,parking_record_index_v2,101a0d0100d9,2017-08-10T08:09:51.067Z,2017-08-10T08:09:50.000Z,2738,fcffff07f1fe1e00f3ff26,yilan,宜蘭市中山路二段,1006,10.5.151.1,-93.0,8.0,1502352590.0,1.067,-271,30,-13,272.9651992470835,38,2017-08-10 16:09:50,59.04545454545456,13.795454545454547,122.47727272727272,136.66514772723067
2222,2222,AV3LMWwo-R03vmj0PCoZ,parking_record_index_v2,101a0d0100d9,2017-08-10T08:10:00.104Z,2017-08-10T08:09:59.000Z,2741,fcffff07faff82001c0126,yilan,宜蘭市中山路二段,1006,10.5.151.1,-68.0,23.0,1502352599.0,1.104,-6,130,284,312.39718308589147,38,2017-08-10 16:09:59,324.04545454545456,113.79545454545455,419.47727272727275,542.1402442371232
2223,2223,AV3LMXfK-R03vmj0PCok,parking_record_index_v2,101a0d0100d9,2017-08-10T08:10:03.081Z,2017-08-10T08:10:02.000Z,2742,fcffff07e5ff8200180126,yilan,宜蘭市中山路二段,1006,10.5.151.1,-72.0,22.0,1502352602.0,1.081,-27,130,280,309.8854627116284,38,2017-08-10 16:10:02,303.04545454545456,113.79545454545455,415.47727272727275,526.6947096267062
