,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3822,3822,AV3LMNir-R03vmj0PCmF,parking_record_index_v2,101a0d0100b8,2017-08-10T08:09:22.346Z,2017-08-10T08:09:21.000Z,3220,fcffff07fbfe120056ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.8,-12.8,1502352561.0,1.3459999999999999,-261,18,-170,312.0016025599868,37,2017-08-10 16:09:21,7.660714285714278,3.1071428571428577,13.267857142857167,15.632559395866904
3825,3825,AV3LMPC1-R03vmj0PCmf,parking_record_index_v2,101a0d0100b8,2017-08-10T08:09:28.500Z,2017-08-10T08:09:27.000Z,3221,fcffff07fcfe13004fff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,23.0,1502352567.0,1.5,-260,19,-177,315.10315771188334,37,2017-08-10 16:09:27,8.660714285714278,4.107142857142858,6.267857142857167,11.45262535626747
3827,3827,AV3LMRPw-R03vmj0PCnC,parking_record_index_v2,101a0d0100b8,2017-08-10T08:09:37.520Z,2017-08-10T08:09:36.000Z,3223,fcffff07fbfe130052ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-62.0,23.8,1502352576.0,1.52,-261,19,-174,314.2578559081698,37,2017-08-10 16:09:36,7.660714285714278,4.107142857142858,9.267857142857167,12.706232401334987
3830,3830,AV3LMVmz-R03vmj0PCoQ,parking_record_index_v2,101a0d0100b8,2017-08-10T08:09:55.378Z,2017-08-10T08:09:54.000Z,3226,fcffff0752ffeaff5aff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,7.0,1502352594.0,1.3780000000000001,-174,-22,-166,241.4870596947174,37,2017-08-10 16:09:54,94.66071428571428,-36.89285714285714,17.267857142857167,103.05296030464636
3831,3831,AV3LMWUL-R03vmj0PCoX,parking_record_index_v2,101a0d0100b8,2017-08-10T08:09:58.282Z,2017-08-10T08:09:57.000Z,3227,fcffff074ffff1ff4fff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,28.8,1502352597.0,1.2819999999999998,-177,-15,-177,250.76483006992828,37,2017-08-10 16:09:57,91.66071428571428,-29.892857142857142,6.267857142857167,96.61550333509564
3832,3832,AV3LMXyU-R03vmj0PCop,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:04.307Z,2017-08-10T08:10:03.000Z,3229,fcffff074affeeff4bff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,22.5,1502352603.0,1.307,-182,-18,-181,257.3110957576451,37,2017-08-10 16:10:03,86.66071428571428,-32.89285714285714,2.267857142857167,92.7208856059465
3833,3833,AV3LMZ_Y-R03vmj0PCpK,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:13.336Z,2017-08-10T08:10:12.000Z,3232,fcffff0748fff2ff4fff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-83.0,19.5,1502352612.0,1.3359999999999999,-184,-14,-177,255.69708641281,37,2017-08-10 16:10:12,84.66071428571428,-28.892857142857142,6.267857142857167,89.67452130013386
3835,3835,AV3LMauO-R03vmj0PCpQ,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:16.334Z,2017-08-10T08:10:15.000Z,3233,fcffff0748fff3ff51ff25,yilan,宜蘭市中山路二段,1008,10.5.180.50,-83.0,22.0,1502352615.0,1.334,-184,-13,-175,254.2636427018224,37,2017-08-10 16:10:15,84.66071428571428,-27.892857142857142,8.267857142857167,89.51986083933485
3837,3837,AV3LMc7F-R03vmj0PCpx,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:25.349Z,2017-08-10T08:10:24.000Z,3235,fcffff0749ffedff4cff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-72.0,-7.0,1502352624.0,1.349,-183,-19,-180,257.390753524675,37,2017-08-10 16:10:24,85.66071428571428,-33.89285714285714,3.267857142857167,92.18005547595976
3838,3838,AV3LMdoz-R03vmj0PCp4,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:28.275Z,2017-08-10T08:10:27.000Z,3236,fcffff074affeeff4aff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-60.0,26.2,1502352627.0,1.275,-182,-18,-182,258.0155034101633,37,2017-08-10 16:10:27,86.66071428571428,-32.89285714285714,1.2678571428571672,92.70181720584178
3840,3840,AV3LMhWv-R03vmj0PCqt,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:43.503Z,2017-08-10T08:10:42.000Z,3239,fcffff0748fff2ff51ff25,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,34.5,1502352642.0,1.5030000000000001,-184,-14,-175,254.31673165562665,37,2017-08-10 16:10:42,84.66071428571428,-28.892857142857142,8.267857142857167,89.83646920365688
3824,3824,AV3LMi6f-R03vmj0PCrI,parking_record_index_v2,101a0d0100b8,2017-08-10T08:10:49.886Z,2017-08-10T08:09:25.000Z,3241,fcffff0749ffefff4eff24,yilan,宜蘭市中山路二段,1008,192.168.0.225,-101.0,11.2,1502352565.0,84.88600000000002,-183,-17,-178,255.85542792757008,36,2017-08-10 16:09:25,85.66071428571428,-31.892857142857142,5.267857142857167,91.55688192348525
3828,3828,AV3LMo3n-R03vmj0PCsh,parking_record_index_v2,101a0d0100b8,2017-08-10T08:11:14.278Z,2017-08-10T08:09:49.000Z,3249,fcffff074affeeff4cff24,yilan,宜蘭市中山路二段,1008,192.168.0.225,-106.8,-3.8,1502352589.0,85.27799999999998,-182,-18,-180,256.6086514519726,36,2017-08-10 16:09:49,86.66071428571428,-32.89285714285714,3.267857142857167,92.75073229811575
3829,3829,AV3LMpXn-R03vmj0PCss,parking_record_index_v2,101a0d0100b8,2017-08-10T08:11:16.327Z,2017-08-10T08:09:52.000Z,3250,fcffff074dffecff4dff24,yilan,宜蘭市中山路二段,1008,192.168.0.225,-103.0,5.5,1502352592.0,84.32700000000001,-179,-20,-179,253.93306204588643,36,2017-08-10 16:09:52,89.66071428571428,-34.89285714285714,4.267857142857167,96.30560612138923
