,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2447,2447,AV3LMMx9-R03vmj0PCl5,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:19.229Z,2017-08-10T08:09:18.000Z,3079,fcffff07f7feef0075ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,26.2,1502352558.0,1.229,-265,239,-139,382.97127829642784,39,2017-08-10 16:09:18,-0.2641509433962028,-4.28301886792454,0.28301886792453956,4.30047974341189
2448,2448,AV3LMNj3-R03vmj0PCmI,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:22.422Z,2017-08-10T08:09:21.000Z,3080,fcffff07f7feee0071ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,29.5,1502352561.0,1.422,-265,238,-143,383.8202704391732,40,2017-08-10 16:09:21,-0.2641509433962028,-5.28301886792454,-3.7169811320754604,6.464983589766393
2449,2449,AV3LMOQQ-R03vmj0PCmW,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:25.264Z,2017-08-10T08:09:24.000Z,3081,fcffff07f8fef00070ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,23.0,1502352564.0,1.264,-264,240,-144,384.7492690051537,39,2017-08-10 16:09:24,0.7358490566037972,-3.2830188679245396,-4.71698113207546,5.79392765933517
2450,2450,AV3LMO-q-R03vmj0PCmd,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:28.234Z,2017-08-10T08:09:27.000Z,3082,fcffff07f7fef4006fff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,20.0,1502352567.0,1.234,-265,244,-145,388.31173044346735,39,2017-08-10 16:09:27,-0.2641509433962028,0.7169811320754604,-5.71698113207546,5.767816825208316
2451,2451,AV3LMQdw-R03vmj0PCm1,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:34.320Z,2017-08-10T08:09:33.000Z,3084,fcffff07f7fef60070ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-93.0,13.8,1502352573.0,1.32,-265,246,-144,389.20046248687834,39,2017-08-10 16:09:33,-0.2641509433962028,2.7169811320754604,-4.71698113207546,5.4499241456470795
2453,2453,AV3LMRLi-R03vmj0PCnB,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:37.249Z,2017-08-10T08:09:36.000Z,3085,fcffff07f6fef30073ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,32.5,1502352576.0,1.249,-266,243,-141,386.8927499966883,39,2017-08-10 16:09:36,-1.2641509433962028,-0.28301886792453956,-1.7169811320754604,2.1508606405794697
2454,2454,AV3LMTYE-R03vmj0PCnq,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:46.243Z,2017-08-10T08:09:45.000Z,3088,fcffff0710fffc008bff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-73.0,27.0,1502352585.0,1.2429999999999999,-240,252,-117,367.14166203251847,39,2017-08-10 16:09:45,24.735849056603797,8.71698113207546,22.28301886792454,34.414835732229314
2455,2455,AV3LMUIz-R03vmj0PCn3,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:49.363Z,2017-08-10T08:09:48.000Z,3089,fcffff075bffa2005cff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-73.5,-1.5,1502352588.0,1.3630000000000002,-165,162,-164,283.48721311551253,39,2017-08-10 16:09:48,99.7358490566038,-81.28301886792454,-24.71698113207546,131.015639904587
2456,2456,AV3LMU1_-R03vmj0PCoC,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:52.254Z,2017-08-10T08:09:51.000Z,3090,fcffff0747ff810039ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-82.0,-6.0,1502352591.0,1.254,-185,129,-199,300.7773262731085,39,2017-08-10 16:09:51,79.7358490566038,-114.28301886792454,-59.71698113207546,151.606503362727
2457,2457,AV3LMVmx-R03vmj0PCoP,parking_record_index_v2,101a0d0100e4,2017-08-10T08:09:55.376Z,2017-08-10T08:09:54.000Z,3091,fcffff0738ff81002fff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.2,-3.2,1502352594.0,1.376,-200,129,-209,316.73648353165765,39,2017-08-10 16:09:54,64.7358490566038,-114.28301886792454,-69.71698113207546,148.7003564649929
