,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2133,2133,AV3LMMi0-R03vmj0PCl3,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:18.259Z,2017-08-10T08:09:17.000Z,3025,fcffff07f8febbff71ff22,yilan,宜蘭市中山路二段,1003,192.168.88.113,-75.0,21.3,1502352557.0,1.2590000000000001,-264,-69,-143,308.0681742731631,34,2017-08-10 16:09:17,0.1384615384615131,-2.2461538461538453,0.015384615384618883,2.250470036373596
2135,2135,AV3LMOAT-R03vmj0PCmQ,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:24.243Z,2017-08-10T08:09:23.000Z,3027,fcffff07fafebeff6cff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-134.5,-15.5,1502352563.0,1.2429999999999999,-262,-66,-148,308.0649282213085,34,2017-08-10 16:09:23,2.138461538461513,0.7538461538461547,-4.984615384615381,5.476101926342511
2136,2136,AV3LMQMa-R03vmj0PCmx,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:33.209Z,2017-08-10T08:09:32.000Z,3030,fcffff07f9fec1ff71ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-107.0,22.5,1502352572.0,1.209,-263,-63,-143,305.9199241631705,34,2017-08-10 16:09:32,1.138461538461513,3.7538461538461547,0.015384615384618883,3.9227149154242977
2137,2137,AV3LMQ9E-R03vmj0PCm9,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:36.323Z,2017-08-10T08:09:35.000Z,3031,fcffff07f7fec5ff71ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-72.0,32.5,1502352575.0,1.3230000000000002,-265,-59,-143,306.84686734591253,34,2017-08-10 16:09:35,-0.8615384615384869,7.753846153846155,0.015384615384618883,7.801577749700085
2139,2139,AV3LMRs_-R03vmj0PCnJ,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:39.390Z,2017-08-10T08:09:38.000Z,3032,fcffff07f9fec2ff70ff22,yilan,宜蘭市中山路二段,1003,10.5.181.21,-136.3,-15.3,1502352578.0,1.39,-263,-62,-144,306.1845848503808,34,2017-08-10 16:09:38,1.138461538461513,4.753846153846155,-0.9846153846153811,4.986443159669558
2143,2143,AV3LMSas-R03vmj0PCna,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:42.315Z,2017-08-10T08:09:41.000Z,3033,fcffff07f9fec4ff70ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-69.0,27.5,1502352581.0,1.315,-263,-60,-144,305.785872793365,34,2017-08-10 16:09:41,1.138461538461513,6.753846153846155,-0.9846153846153811,6.9195375568024735
2144,2144,AV3LMVUY-R03vmj0PCoG,parking_record_index_v2,101a0d0100dc,2017-08-10T08:09:54.200Z,2017-08-10T08:09:53.000Z,3037,fcffff07f8feaaffb2ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-74.0,-5.0,1502352593.0,1.2,-264,-86,-78,288.4024965217881,34,2017-08-10 16:09:53,0.1384615384615131,-19.246153846153845,65.01538461538462,67.80437925498505
2145,2145,AV3LMWz4-R03vmj0PCob,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:00.311Z,2017-08-10T08:09:59.000Z,3039,fcffff0700ffacffa9ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-90.0,30.5,1502352599.0,1.311,-256,-84,-87,283.12717990330776,34,2017-08-10 16:09:59,8.138461538461513,-17.246153846153845,56.01538461538462,59.17252480930396
2147,2147,AV3LMXjs-R03vmj0PCom,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:03.371Z,2017-08-10T08:10:02.000Z,3040,fcffff0704ffabffa3ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-88.0,27.0,1502352602.0,1.371,-252,-85,-93,281.7410158283668,34,2017-08-10 16:10:02,12.138461538461513,-18.246153846153845,50.01538461538462,54.6058886652628
2149,2149,AV3LMZAK-R03vmj0PCo5,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:09.290Z,2017-08-10T08:10:08.000Z,3042,fcffff0705ffa7ffa3ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-85.0,24.5,1502352608.0,1.29,-251,-89,-93,282.08332102412584,34,2017-08-10 16:10:08,13.138461538461513,-22.246153846153845,50.01538461538462,56.29430904424736
2150,2150,AV3LMZvn-R03vmj0PCpD,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:12.326Z,2017-08-10T08:10:11.000Z,3043,fcffff0704ffa4ffa3ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-81.0,27.5,1502352611.0,1.3259999999999998,-252,-92,-93,283.9313297260448,33,2017-08-10 16:10:11,12.138461538461513,-25.246153846153845,50.01538461538462,57.325816442238576
2151,2151,AV3LMaef-R03vmj0PCpM,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:15.326Z,2017-08-10T08:10:14.000Z,3044,fcffff0704ffa5ffa6ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-79.0,29.5,1502352614.0,1.3259999999999998,-252,-91,-90,282.63934616397626,34,2017-08-10 16:10:14,12.138461538461513,-24.246153846153845,53.01538461538462,59.54703376969528
2152,2152,AV3LMbM2-R03vmj0PCpV,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:18.294Z,2017-08-10T08:10:17.000Z,3045,fcffff0704ffa5ffa6ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-89.0,28.8,1502352617.0,1.294,-252,-91,-90,282.63934616397626,33,2017-08-10 16:10:17,12.138461538461513,-24.246153846153845,53.01538461538462,59.54703376969528
2153,2153,AV3LMb8R-R03vmj0PCpd,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:21.328Z,2017-08-10T08:10:20.000Z,3046,fcffff0704ffa4ffa4ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-91.0,32.5,1502352620.0,1.328,-252,-92,-92,283.6053596108508,33,2017-08-10 16:10:20,12.138461538461513,-25.246153846153845,51.01538461538462,58.200343641597165
2154,2154,AV3LMcrV-R03vmj0PCpt,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:24.341Z,2017-08-10T08:10:23.000Z,3047,fcffff0704ffa6ffa2ff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-104.3,-2.3,1502352623.0,1.341,-252,-90,-94,283.6194633659686,34,2017-08-10 16:10:23,12.138461538461513,-23.246153846153845,49.01538461538462,55.589871794723955
2155,2155,AV3LMeIi-R03vmj0PCqA,parking_record_index_v2,101a0d0100dc,2017-08-10T08:10:30.306Z,2017-08-10T08:10:29.000Z,3049,fcffff0704ffabffa4ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-82.0,20.0,1502352629.0,1.306,-252,-85,-92,281.41250860613854,34,2017-08-10 16:10:29,12.138461538461513,-18.246153846153845,51.01538461538462,55.523273013699814
