,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2154,2154,AV3LMNHX-R03vmj0PCmB,parking_record_index_v2,101a0d01019a,2017-08-10T08:09:20.598Z,2017-08-10T08:09:20.000Z,3212,fcffff0726ff990076ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-90.0,16.3,1502352560.0,0.598,-218,153,-138,299.96166421727963,40,2017-08-10 16:09:20,1.0,-1.2307692307692548,-3.1153846153845848,3.4957709022736747
2156,2156,AV3LMQBP-R03vmj0PCmv,parking_record_index_v2,101a0d01019a,2017-08-10T08:09:32.494Z,2017-08-10T08:09:32.000Z,3216,fcffff0726ff9b0078ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,30.5,1502352572.0,0.494,-218,155,-136,300.07499062734297,40,2017-08-10 16:09:32,1.0,0.7692307692307452,-1.1153846153845848,1.68398302146071
2157,2157,AV3LMQw2-R03vmj0PCm5,parking_record_index_v2,101a0d01019a,2017-08-10T08:09:35.541Z,2017-08-10T08:09:35.000Z,3217,fcffff0726ff9c0079ff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-79.0,22.5,1502352575.0,0.541,-218,156,-135,300.1416332333787,40,2017-08-10 16:09:35,1.0,1.7692307692307452,-0.11538461538458478,2.035556711138322
2159,2159,AV3LMTAK-R03vmj0PCnk,parking_record_index_v2,101a0d01019a,2017-08-10T08:09:44.713Z,2017-08-10T08:09:44.000Z,3220,fcffff0726ffa0007bff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-91.0,14.5,1502352584.0,0.713,-218,160,-133,301.3519537019795,40,2017-08-10 16:09:44,1.0,5.769230769230745,1.8846153846154152,6.151081109574794
2161,2161,AV3LMVLk-R03vmj0PCoF,parking_record_index_v2,101a0d01019a,2017-08-10T08:09:53.636Z,2017-08-10T08:09:53.000Z,3223,fcffff071eff6700c6ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-106.5,-5.5,1502352593.0,0.636,-226,103,-58,255.0470544821093,40,2017-08-10 16:09:53,-7.0,-51.230769230769255,76.88461538461542,92.6543889884153
2162,2162,AV3LMY2F-R03vmj0PCo3,parking_record_index_v2,101a0d01019a,2017-08-10T08:10:08.644Z,2017-08-10T08:10:08.000Z,3228,fcffff0732ff7100dbff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-102.8,-2.8,1502352608.0,0.644,-206,113,-37,237.85289571497762,40,2017-08-10 16:10:08,13.0,-41.230769230769255,97.88461538461542,107.0064215846649
2165,2165,AV3LMceo-R03vmj0PCpp,parking_record_index_v2,101a0d01019a,2017-08-10T08:10:23.528Z,2017-08-10T08:10:23.000Z,3233,fcffff0731ff6f00ddff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-90.0,20.0,1502352623.0,0.528,-207,111,-35,237.47631460842567,40,2017-08-10 16:10:23,12.0,-43.230769230769255,99.88461538461542,109.49810865406113
2167,2167,AV3LMesP-R03vmj0PCqL,parking_record_index_v2,101a0d01019a,2017-08-10T08:10:32.590Z,2017-08-10T08:10:32.000Z,3236,fcffff0731ff6f00dfff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-87.0,22.5,1502352632.0,0.59,-207,111,-33,237.18979741970352,40,2017-08-10 16:10:32,12.0,-43.230769230769255,101.88461538461542,111.32553283211824
2169,2169,AV3LMfaB-R03vmj0PCqY,parking_record_index_v2,101a0d01019a,2017-08-10T08:10:35.521Z,2017-08-10T08:10:35.000Z,3237,fcffff0730ff6c00e0ff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-84.0,23.8,1502352635.0,0.521,-208,108,-32,236.5417510715604,40,2017-08-10 16:10:35,11.0,-46.230769230769255,102.88461538461542,113.32929059386582
2155,2155,AV3LMis1-R03vmj0PCrC,parking_record_index_v2,101a0d01019a,2017-08-10T08:10:49.012Z,2017-08-10T08:09:24.000Z,3241,fcffff0731ff6e00ddff28,yilan,宜蘭市中山路二段,1001,192.168.0.225,-115.8,-8.8,1502352564.0,85.012,-207,110,-35,237.0105482884676,40,2017-08-10 16:09:24,12.0,-44.230769230769255,99.88461538461542,109.89675762859483
2164,2164,AV3LMuDV-R03vmj0PCtu,parking_record_index_v2,101a0d01019a,2017-08-10T08:11:35.509Z,2017-08-10T08:10:12.000Z,3257,fcffff071fffa4009eff28,yilan,宜蘭市中山路二段,1001,192.168.0.225,-95.0,0.0,1502352612.0,83.509,-225,164,-98,295.1694428629088,40,2017-08-10 16:10:12,-6.0,9.769230769230745,36.884615384615415,38.62528604286955
2170,2170,AV3LMz7U-R03vmj0PCvM,parking_record_index_v2,101a0d01019a,2017-08-10T08:11:59.571Z,2017-08-10T08:10:36.000Z,3265,fcffff0725ff97007aff27,yilan,宜蘭市中山路二段,1001,192.168.0.225,-96.0,0.0,1502352636.0,83.571,-219,151,-134,297.85566974627164,39,2017-08-10 16:10:36,0.0,-3.230769230769255,0.8846153846154152,3.3496886722774164
