,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2121,2121,AV3LKtSX-R03vmj0PCN6,parking_record_index_v2,101a0d0100d9,2017-08-10T08:02:48.087Z,2017-08-10T08:02:47.000Z,2643,fcffff07b7fe15007bff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-76.0,22.0,1502352167.0,1.087,-329,21,-133,355.4869899166494,39,2017-08-10 16:02:47,1.045454545454561,4.795454545454547,2.4772727272727195,5.497839545623489
2122,2122,AV3LKwOL-R03vmj0PCOr,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:00.106Z,2017-08-10T08:02:59.000Z,2645,fcffff07b8fe0e007bff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-78.0,31.2,1502352179.0,1.1059999999999999,-328,14,-133,354.21603577477964,39,2017-08-10 16:02:59,2.045454545454561,-2.2045454545454533,2.4772727272727195,3.8962527027859677
2123,2123,AV3LKyaO-R03vmj0PCPa,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:09.069Z,2017-08-10T08:03:08.000Z,2647,fcffff07b9fe0e0074ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-116.0,-9.0,1502352188.0,1.069,-327,14,-140,355.9845502265513,39,2017-08-10 16:03:08,3.045454545454561,-2.2045454545454533,-4.5227272727272805,5.881315841974312
2124,2124,AV3LKzK8-R03vmj0PCPt,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:12.188Z,2017-08-10T08:03:11.000Z,2648,fcffff07b9fe120075ff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-95.0,5.8,1502352191.0,1.188,-327,18,-139,355.77239915429084,39,2017-08-10 16:03:11,3.045454545454561,1.7954545454545467,-3.5227272727272805,4.990797316185042
2126,2126,AV3LK2zl-R03vmj0PCQu,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:27.076Z,2017-08-10T08:03:26.000Z,2651,fcffff07b9fe0f0077ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-76.0,29.5,1502352206.0,1.0759999999999998,-327,15,-137,354.85630894772044,39,2017-08-10 16:03:26,3.045454545454561,-1.2045454545454533,-1.5227272727272805,3.61170617404066
2127,2127,AV3LK4_--R03vmj0PCRX,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:36.062Z,2017-08-10T08:03:35.000Z,2653,fcffff07b8fe170078ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-76.0,22.0,1502352215.0,1.062,-328,23,-136,355.8215845054935,39,2017-08-10 16:03:35,2.045454545454561,6.795454545454547,-0.5227272727272805,7.115850657406498
2128,2128,AV3LK6eJ-R03vmj0PCRt,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:42.088Z,2017-08-10T08:03:41.000Z,2654,fcffff07b8fe170079ff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-111.5,-10.5,1502352221.0,1.088,-328,23,-135,355.4405716853381,39,2017-08-10 16:03:41,2.045454545454561,6.795454545454547,0.4772727272727195,7.112656046306325
2130,2130,AV3LK9ai-R03vmj0PCSn,parking_record_index_v2,101a0d0100d9,2017-08-10T08:03:54.146Z,2017-08-10T08:03:53.000Z,2656,fcffff07b9fe150076ff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-96.0,11.3,1502352233.0,1.146,-327,21,-138,355.54746518573296,39,2017-08-10 16:03:53,3.045454545454561,4.795454545454547,-2.5227272727272805,6.215732505386034
2132,2132,AV3LK-4K-R03vmj0PCS9,parking_record_index_v2,101a0d0100d9,2017-08-10T08:04:00.137Z,2017-08-10T08:03:59.000Z,2657,fcffff07b9fe0f0073ff27,yilan,宜蘭市中山路二段,1006,10.5.180.50,-93.0,15.8,1502352239.0,1.137,-327,15,-141,356.4196964254361,39,2017-08-10 16:03:59,3.045454545454561,-1.2045454545454533,-5.5227272727272805,6.420766283662852
2133,2133,AV3LLAVA-R03vmj0PCTf,parking_record_index_v2,101a0d0100d9,2017-08-10T08:04:06.079Z,2017-08-10T08:04:05.000Z,2658,fcffff07b8fe14007dff27,yilan,宜蘭市中山路二段,1006,10.5.151.1,-77.0,30.0,1502352245.0,1.079,-328,20,-131,353.7583921266038,39,2017-08-10 16:04:05,2.045454545454561,3.7954545454545467,4.4772727272727195,6.215732505386022
