,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3700,3700,AV3LKvHK-R03vmj0PCOf,parking_record_index_v2,101a0d0100b8,2017-08-10T08:02:55.561Z,2017-08-10T08:02:54.000Z,3120,fcffff07f6fe140047ff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.0,33.0,1502352174.0,1.561,-266,20,-185,324.6243983436858,38,2017-08-10 16:02:54,2.6607142857142776,5.107142857142858,-1.7321428571428328,6.013537024997875
3703,3703,AV3LKxSG-R03vmj0PCO_,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:04.454Z,2017-08-10T08:03:03.000Z,3122,fcffff07f5fe15004cff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,29.5,1502352183.0,1.454,-267,21,-180,322.6918034285965,38,2017-08-10 16:03:03,1.6607142857142776,6.107142857142858,3.267857142857167,7.122784295656378
3704,3704,AV3LKx_1-R03vmj0PCPW,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:07.380Z,2017-08-10T08:03:06.000Z,3123,fcffff07f5fe14004cff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-61.0,29.5,1502352186.0,1.38,-267,20,-180,322.62826906518904,38,2017-08-10 16:03:06,1.6607142857142776,5.107142857142858,3.267857142857167,6.286475197450747
3705,3705,AV3LKyuI-R03vmj0PCPj,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:10.343Z,2017-08-10T08:03:09.000Z,3124,fcffff07f5fe12004cff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-131.3,-10.3,1502352189.0,1.3430000000000002,-267,18,-180,322.5104649464882,38,2017-08-10 16:03:09,1.6607142857142776,3.1071428571428577,3.267857142857167,4.805330267483388
3707,3707,AV3LKzc5-R03vmj0PCP1,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:13.337Z,2017-08-10T08:03:12.000Z,3125,fcffff07f6fe10004bff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-134.8,-13.8,1502352192.0,1.337,-266,16,-181,322.1381691138137,38,2017-08-10 16:03:12,2.6607142857142776,1.1071428571428577,2.267857142857167,3.6671980907410444
3708,3708,AV3LK0Mo-R03vmj0PCQA,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:16.391Z,2017-08-10T08:03:15.000Z,3126,fcffff07f7fe0d0048ff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,27.0,1502352195.0,1.391,-265,13,-184,322.87768581925883,38,2017-08-10 16:03:15,3.6607142857142776,-1.8928571428571423,-0.7321428571428328,4.185662481395648
3709,3709,AV3LK08v-R03vmj0PCQN,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:19.470Z,2017-08-10T08:03:18.000Z,3127,fcffff07f7fe110044ff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,26.2,1502352198.0,1.47,-265,17,-188,325.35826407208407,38,2017-08-10 16:03:18,3.6607142857142776,2.1071428571428577,-4.732142857142833,6.343032092181837
3710,3710,AV3LK2Z1-R03vmj0PCQr,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:25.428Z,2017-08-10T08:03:24.000Z,3128,fcffff07f5fe15004bff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-85.0,10.8,1502352204.0,1.4280000000000002,-267,21,-181,323.25067672009595,38,2017-08-10 16:03:24,1.6607142857142776,6.107142857142858,2.267857142857167,6.722971206002208
3712,3712,AV3LK3L6-R03vmj0PCQ3,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:28.633Z,2017-08-10T08:03:28.000Z,3129,fcffff07f6fe11004dff26,yilan,宜蘭市中山路二段,1008,10.5.180.50,-87.0,25.8,1502352208.0,0.633,-266,17,-179,321.07008580682185,38,2017-08-10 16:03:28,2.6607142857142776,2.1071428571428577,4.267857142857167,5.452894288581904
3713,3713,AV3LK4nt-R03vmj0PCRV,parking_record_index_v2,101a0d0100b8,2017-08-10T08:03:34.508Z,2017-08-10T08:03:33.000Z,3130,fcffff07f5fe0d0046ff26,yilan,宜蘭市中山路二段,1008,10.5.151.1,-63.0,18.0,1502352213.0,1.508,-267,13,-186,325.65933120363684,38,2017-08-10 16:03:33,1.6607142857142776,-1.8928571428571423,-2.732142857142833,3.7155732658470604
