,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2369,2369,AV3LKuTN-R03vmj0PCOT,parking_record_index_v2,101a0d0100e4,2017-08-10T08:02:52.236Z,2017-08-10T08:02:51.000Z,2986,fcffff07fafef90076ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,27.5,1502352171.0,1.236,-262,249,-138,386.8966270207069,40,2017-08-10 16:02:51,2.735849056603797,5.71698113207546,1.2830188679245396,6.4664426650575875
2370,2370,AV3LKvGv-R03vmj0PCOe,parking_record_index_v2,101a0d0100e4,2017-08-10T08:02:55.535Z,2017-08-10T08:02:54.000Z,2987,fcffff07fafefa0078ff29,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,33.8,1502352174.0,1.535,-262,250,-136,386.83329742926736,41,2017-08-10 16:02:54,2.735849056603797,6.71698113207546,3.2830188679245396,7.961213379650501
2371,2371,AV3LKwji-R03vmj0PCO0,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:01.473Z,2017-08-10T08:03:00.000Z,2988,fcffff07fafef50079ff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-91.0,13.8,1502352180.0,1.473,-262,245,-135,383.26753058405563,40,2017-08-10 16:03:00,2.735849056603797,1.7169811320754604,4.28301886792454,5.3644333243522215
2372,2372,AV3LKx_p-R03vmj0PCPV,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:07.369Z,2017-08-10T08:03:06.000Z,2989,fcffff07fafef20078ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,22.0,1502352186.0,1.369,-262,242,-136,381.71193326905563,40,2017-08-10 16:03:06,2.735849056603797,-1.2830188679245396,3.2830188679245396,4.461974939768127
2374,2374,AV3LKyt6-R03vmj0PCPh,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:10.329Z,2017-08-10T08:03:09.000Z,2990,fcffff07fafef20076ff29,yilan,宜蘭市中山路二段,1014,10.5.151.1,-80.2,-3.2,1502352189.0,1.329,-262,242,-138,382.429078392321,41,2017-08-10 16:03:09,2.735849056603797,-1.2830188679245396,1.2830188679245396,3.282856209373268
2375,2375,AV3LK0Mj-R03vmj0PCP_,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:16.386Z,2017-08-10T08:03:15.000Z,2991,fcffff07fbfef50073ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,28.8,1502352195.0,1.386,-261,245,-141,384.7427712121437,40,2017-08-10 16:03:15,3.735849056603797,1.7169811320754604,-1.7169811320754604,4.4556275191642465
2376,2376,AV3LK1pR-R03vmj0PCQa,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:22.320Z,2017-08-10T08:03:21.000Z,2992,fcffff07fafef70079ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-71.0,21.2,1502352201.0,1.32,-262,247,-135,384.54908659363633,40,2017-08-10 16:03:21,2.735849056603797,3.7169811320754604,4.28301886792454,6.296433071169935
2378,2378,AV3LK_4G-R03vmj0PCTN,parking_record_index_v2,101a0d0100e4,2017-08-10T08:04:04.229Z,2017-08-10T08:03:24.000Z,2993,fcffff07fafef40078ff29,yilan,宜蘭市中山路二段,1014,10.6.1.11,-110.0,12.5,1502352204.0,40.229,-262,244,-136,382.9830283445992,41,2017-08-10 16:03:24,2.735849056603797,0.7169811320754604,3.2830188679245396,4.333260307369108
2380,2380,AV3LK35W-R03vmj0PCRK,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:31.541Z,2017-08-10T08:03:30.000Z,2995,fcffff07fbfef40072ff28,yilan,宜蘭市中山路二段,1014,10.5.180.50,-135.5,-16.5,1502352210.0,1.541,-261,244,-142,384.47496667533517,40,2017-08-10 16:03:30,3.735849056603797,0.7169811320754604,-2.7169811320754604,4.6746782337968185
2382,2382,AV3LK4ki-R03vmj0PCRU,parking_record_index_v2,101a0d0100e4,2017-08-10T08:03:34.306Z,2017-08-10T08:03:33.000Z,2996,fcffff07fbfef70073ff29,yilan,宜蘭市中山路二段,1014,10.5.180.50,-89.0,22.0,1502352213.0,1.306,-261,247,-141,386.0194295628136,41,2017-08-10 16:03:33,3.735849056603797,3.7169811320754604,-1.7169811320754604,5.542611398775453
