,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2038,2038,AV3LKxBj-R03vmj0PCO4,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:03.395Z,2017-08-10T08:03:02.000Z,2923,fcffff07fafebdff74ff23,yilan,宜蘭市中山路二段,1003,10.5.180.50,-136.3,-15.3,1502352182.0,1.395,-262,-67,-140,304.52093524091254,35,2017-08-10 16:03:02,2.138461538461513,-0.24615384615384528,3.015384615384619,3.7048824335130743
2039,2039,AV3LKz5P-R03vmj0PCP7,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:15.150Z,2017-08-10T08:03:14.000Z,2925,fcffff07fbfec1ff6eff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-65.0,10.5,1502352194.0,1.15,-261,-63,-146,305.62395194094324,35,2017-08-10 16:03:14,3.138461538461513,3.7538461538461547,-2.984615384615381,5.731424846338875
2040,2040,AV3LK1XW-R03vmj0PCQT,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:21.174Z,2017-08-10T08:03:20.000Z,2926,fcffff07f9fec2ff75ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-106.2,-3.2,1502352200.0,1.1740000000000002,-263,-62,-139,303.8651016487415,35,2017-08-10 16:03:20,1.138461538461513,4.753846153846155,4.015384615384619,6.326014664736521
2041,2041,AV3LK23q-R03vmj0PCQv,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:27.337Z,2017-08-10T08:03:26.000Z,2927,fcffff07fafebcff71ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-77.5,-6.5,1502352206.0,1.337,-262,-68,-143,306.13232433050905,35,2017-08-10 16:03:26,2.138461538461513,-1.2461538461538453,0.015384615384618883,2.475106835301001
2043,2043,AV3LK3kc-R03vmj0PCQ6,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:30.204Z,2017-08-10T08:03:29.000Z,2928,fcffff07fbfebfff6fff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-112.0,2.0,1502352209.0,1.204,-261,-65,-145,305.5666866659388,35,2017-08-10 16:03:29,3.138461538461513,1.7538461538461547,-1.9846153846153811,4.106655011638452
2044,2044,AV3LK_4W-R03vmj0PCTV,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:04.245Z,2017-08-10T08:03:32.000Z,2929,fcffff07fafec3ff6eff23,yilan,宜蘭市中山路二段,1003,10.6.1.11,-105.0,20.5,1502352212.0,32.245,-262,-61,-146,306.073520579615,35,2017-08-10 16:03:32,2.138461538461513,5.753846153846155,-2.984615384615381,6.825517731842193
2048,2048,AV3LK6hO-R03vmj0PCRv,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:42.285Z,2017-08-10T08:03:41.000Z,2932,fcffff07fafec5ff72ff23,yilan,宜蘭市中山路二段,1003,10.5.180.50,-134.8,-15.8,1502352221.0,1.285,-262,-59,-142,303.79104660934297,35,2017-08-10 16:03:41,2.138461538461513,7.753846153846155,1.0153846153846189,8.107166819928757
2049,2049,AV3LK7Ob-R03vmj0PCR_,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:45.179Z,2017-08-10T08:03:44.000Z,2933,fcffff07fafec3ff73ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.8,-1.8,1502352224.0,1.179,-262,-61,-141,303.72026603438894,35,2017-08-10 16:03:44,2.138461538461513,5.753846153846155,2.015384615384619,6.460769184976227
2050,2050,AV3LK79x-R03vmj0PCSK,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:48.208Z,2017-08-10T08:03:47.000Z,2934,fcffff07fafec3ff70ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-109.5,-2.5,1502352227.0,1.208,-262,-61,-144,305.1245647272602,35,2017-08-10 16:03:47,2.138461538461513,5.753846153846155,-0.9846153846153811,6.2168505506591245
2051,2051,AV3LK8te-R03vmj0PCSb,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:51.261Z,2017-08-10T08:03:50.000Z,2935,fcffff07fafec3ff70ff23,yilan,宜蘭市中山路二段,1003,10.5.180.50,-89.0,23.8,1502352230.0,1.261,-262,-61,-144,305.1245647272602,35,2017-08-10 16:03:50,2.138461538461513,5.753846153846155,-0.9846153846153811,6.2168505506591245
2053,2053,AV3LK-Km-R03vmj0PCSx,parking_record_index_v2,101a0d0100dc,2017-08-10T08:03:57.222Z,2017-08-10T08:03:56.000Z,2937,fcffff07fafebeff71ff23,yilan,宜蘭市中山路二段,1003,192.168.88.113,-76.0,22.0,1502352236.0,1.222,-262,-66,-143,305.6942917360413,35,2017-08-10 16:03:56,2.138461538461513,0.7538461538461547,0.015384615384618883,2.267496077513334
2056,2056,AV3LK_o2-R03vmj0PCTJ,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:03.254Z,2017-08-10T08:04:02.000Z,2939,fcffff07f9febeff73ff23,yilan,宜蘭市中山路二段,1003,10.5.180.50,-134.8,-14.8,1502352242.0,1.254,-263,-66,-141,305.62395194094324,35,2017-08-10 16:04:02,1.138461538461513,0.7538461538461547,2.015384615384619,2.4343692912444084
2058,2058,AV3LLAZE-R03vmj0PCTg,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:06.339Z,2017-08-10T08:04:05.000Z,2940,fcffff07f9fec4ff74ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,6.2,1502352245.0,1.339,-263,-60,-140,303.92268753747226,35,2017-08-10 16:04:05,1.138461538461513,6.753846153846155,3.015384615384619,7.483520356294683
2059,2059,AV3LLBHd-R03vmj0PCTo,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:09.309Z,2017-08-10T08:04:08.000Z,2941,fcffff07fafec4ff70ff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-70.0,28.0,1502352248.0,1.3090000000000002,-262,-60,-144,304.92622058458664,35,2017-08-10 16:04:08,2.138461538461513,6.753846153846155,-0.9846153846153811,7.152406803092437
2060,2060,AV3LLBz8-R03vmj0PCT0,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:12.155Z,2017-08-10T08:04:11.000Z,2942,fcffff07fafebeff6fff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-110.0,-2.0,1502352251.0,1.155,-262,-66,-145,306.6349621292393,35,2017-08-10 16:04:11,2.138461538461513,0.7538461538461547,-1.9846153846153811,3.0133038346638528
2061,2061,AV3LLCkp-R03vmj0PCT_,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:15.273Z,2017-08-10T08:04:14.000Z,2943,fcffff07fafebcff70ff23,yilan,宜蘭市中山路二段,1003,10.5.180.50,-89.0,23.8,1502352254.0,1.273,-262,-68,-144,306.60071754645327,35,2017-08-10 16:04:14,2.138461538461513,-1.2461538461538453,-0.9846153846153811,2.6637163166119056
2037,2037,AV3LLDSj-R03vmj0PCUN,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:18.211Z,2017-08-10T08:02:54.000Z,2944,fcffff07fafebfff76ff23,yilan,宜蘭市中山路二段,1003,192.168.0.225,-90.0,0.0,1502352174.0,84.211,-262,-65,-138,303.17156858782124,35,2017-08-10 16:02:54,2.138461538461513,1.7538461538461547,5.015384615384619,5.727397046047781
2064,2064,AV3LLHtu-R03vmj0PCVU,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:36.333Z,2017-08-10T08:04:35.000Z,2947,fcffff07fbfebcff71ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-66.0,18.0,1502352275.0,1.3330000000000002,-261,-68,-143,305.2769234645816,34,2017-08-10 16:04:35,3.138461538461513,-1.2461538461538453,0.015384615384618883,3.3768442254680275
2065,2065,AV3LLIZ--R03vmj0PCVc,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:39.166Z,2017-08-10T08:04:38.000Z,2948,fcffff07fafebdff6fff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-108.0,13.0,1502352278.0,1.166,-262,-67,-145,306.8517557388258,35,2017-08-10 16:04:38,2.138461538461513,-0.24615384615384528,-1.9846153846153811,2.9278503534688327
2066,2066,AV3LLJ34-R03vmj0PCV7,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:45.175Z,2017-08-10T08:04:44.000Z,2949,fcffff07fafebdff72ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-106.2,-0.2,1502352284.0,1.175,-262,-67,-142,305.44557616701536,34,2017-08-10 16:04:44,2.138461538461513,-0.24615384615384528,1.0153846153846189,2.3800452484386265
2067,2067,AV3LLMEZ-R03vmj0PCWf,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:54.168Z,2017-08-10T08:04:53.000Z,2951,fcffff07fbfebdff6fff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,26.2,1502352293.0,1.168,-261,-67,-145,305.9983660087093,34,2017-08-10 16:04:53,3.138461538461513,-0.24615384615384528,-1.9846153846153811,3.721455463824684
2068,2068,AV3LLM4b-R03vmj0PCWt,parking_record_index_v2,101a0d0100dc,2017-08-10T08:04:57.498Z,2017-08-10T08:04:56.000Z,2952,fcffff07fafec0ff6fff23,yilan,宜蘭市中山路二段,1003,10.5.181.21,-137.8,-14.8,1502352296.0,1.4980000000000002,-262,-64,-145,306.21071176560764,35,2017-08-10 16:04:56,2.138461538461513,2.7538461538461547,-1.9846153846153811,4.011905359724292
2070,2070,AV3LLNis-R03vmj0PCW4,parking_record_index_v2,101a0d0100dc,2017-08-10T08:05:00.203Z,2017-08-10T08:04:59.000Z,2953,fcffff07fafec2ff6dff23,yilan,宜蘭市中山路二段,1003,10.5.151.1,-67.0,24.5,1502352299.0,1.203,-262,-62,-147,306.75234310433564,35,2017-08-10 16:04:59,2.138461538461513,4.753846153846155,-3.984615384615381,6.561191261442593
