,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2049,2049,AV3LKxy2-R03vmj0PCPF,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:06.549Z,2017-08-10T08:02:48.000Z,3089,fcffff0726ff9c007cff29,yilan,宜蘭市中山路二段,1001,10.6.1.11,-107.0,15.5,1502352168.0,18.549,-218,156,-132,298.80428377116687,41,2017-08-10 16:02:48,1.0,1.7692307692307452,2.8846153846154152,3.52862344717494
2053,2053,AV3LKuTF-R03vmj0PCOS,parking_record_index_v2,101a0d01019a,2017-08-10T08:02:52.228Z,2017-08-10T08:02:51.000Z,3090,fcffff0726ff9b007cff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,25.5,1502352171.0,1.228,-218,155,-132,298.28342226815084,41,2017-08-10 16:02:51,1.0,0.7692307692307452,2.8846153846154152,3.148447537039686
2054,2054,AV3LKvAl-R03vmj0PCOa,parking_record_index_v2,101a0d01019a,2017-08-10T08:02:55.140Z,2017-08-10T08:02:54.000Z,3091,fcffff0726ff9a007dff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-69.0,26.2,1502352174.0,1.14,-218,154,-131,297.32305662359926,41,2017-08-10 16:02:54,1.0,-0.23076923076925482,3.8846153846154152,4.017896355589652
2055,2055,AV3LKwgM-R03vmj0PCOz,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:01.260Z,2017-08-10T08:03:00.000Z,3093,fcffff0726ff9a007cff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,25.0,1502352180.0,1.26,-218,154,-132,297.7650080180678,41,2017-08-10 16:03:00,1.0,-0.23076923076925482,2.8846153846154152,3.061741392578703
2056,2056,AV3LKxOb-R03vmj0PCO-,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:04.218Z,2017-08-10T08:03:03.000Z,3094,fcffff0726ff9a007bff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,25.5,1502352183.0,1.218,-218,154,-133,298.2096577912928,41,2017-08-10 16:03:03,1.0,-0.23076923076925482,1.8846153846154152,2.1459332668559252
2058,2058,AV3LKx73-R03vmj0PCPU,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:07.126Z,2017-08-10T08:03:06.000Z,3095,fcffff0726ff9b007aff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,30.0,1502352186.0,1.126,-218,155,-134,299.1738624947039,41,2017-08-10 16:03:06,1.0,0.7692307692307452,0.8846153846154152,1.5408635095392464
2059,2059,AV3LKyqI-R03vmj0PCPg,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:10.086Z,2017-08-10T08:03:09.000Z,3096,fcffff0727ff9d007aff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,33.0,1502352189.0,1.0859999999999999,-217,157,-134,299.48956576148026,41,2017-08-10 16:03:09,2.0,2.769230769230745,0.8846153846154152,3.5286234471749154
2060,2060,AV3LKzah-R03vmj0PCP0,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:13.184Z,2017-08-10T08:03:12.000Z,3097,fcffff0727ff9f0079ff29,yilan,宜蘭市中山路二段,1001,192.168.88.113,-77.0,15.0,1502352192.0,1.1840000000000002,-217,159,-135,300.99003305757486,41,2017-08-10 16:03:12,2.0,4.769230769230745,-0.11538461538458478,5.172898195368312
2064,2064,AV3LK0Ie-R03vmj0PCP-,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:16.125Z,2017-08-10T08:03:15.000Z,3098,fcffff0727ffa00079ff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,22.0,1502352195.0,1.125,-217,160,-135,301.5194852741693,41,2017-08-10 16:03:15,2.0,5.769230769230745,-0.11538461538458478,6.107154597527904
2065,2065,AV3LK04V-R03vmj0PCQL,parking_record_index_v2,101a0d01019a,2017-08-10T08:03:19.188Z,2017-08-10T08:03:18.000Z,3099,fcffff0727ff9e007cff29,yilan,宜蘭市中山路二段,1001,10.5.151.1,-68.0,28.8,1502352198.0,1.188,-217,158,-132,299.127063302537,41,2017-08-10 16:03:18,2.0,3.769230769230745,2.8846153846154152,5.150544292487517
