,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2072,2072,AV3LKtyY-R03vmj0PCOO,parking_record_index_v2,101a0d010119,2017-08-10T08:02:50.136Z,2017-08-10T08:02:49.000Z,2529,fcffff0708ff460078ff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72.0,31.2,1502352169.0,1.136,-248,70,-136,291.37604568666933,39,2017-08-10 16:02:49,8.770833333333314,0.3125,-2.166666666666657,9.039890378514286
2073,2073,AV3LKy60-R03vmj0PCPq,parking_record_index_v2,101a0d010119,2017-08-10T08:03:11.156Z,2017-08-10T08:03:10.000Z,2533,fcffff070bff410084ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,23.3,1502352190.0,1.156,-245,65,-124,282.1807931096658,39,2017-08-10 16:03:10,11.770833333333314,-4.6875,9.833333333333343,16.038067778119512
2075,2075,AV3LK_4O-R03vmj0PCTQ,parking_record_index_v2,101a0d010119,2017-08-10T08:04:04.235Z,2017-08-10T08:03:22.000Z,2535,fcffff070bff470084ff27,yilan,宜蘭市中山路二段,1010,10.6.1.11,-106.0,20.0,1502352202.0,42.235,-245,71,-124,283.6229891951638,39,2017-08-10 16:03:22,11.770833333333314,1.3125,9.833333333333343,15.393817527031924
2079,2079,AV3LK2kT-R03vmj0PCQs,parking_record_index_v2,101a0d010119,2017-08-10T08:03:26.098Z,2017-08-10T08:03:25.000Z,2536,fcffff070bff440084ff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-72.0,27.5,1502352205.0,1.0979999999999999,-245,68,-124,282.8869031963127,39,2017-08-10 16:03:25,11.770833333333314,-1.6875,9.833333333333343,15.430314904614075
2081,2081,AV3LK5ga-R03vmj0PCRj,parking_record_index_v2,101a0d010119,2017-08-10T08:03:38.137Z,2017-08-10T08:03:37.000Z,2538,fcffff070cff44007dff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-89.0,-10.0,1502352217.0,1.137,-244,68,-131,285.1683713177182,39,2017-08-10 16:03:37,12.770833333333314,-1.6875,2.833333333333343,13.18975428336537
2082,2082,AV3LLA0h-R03vmj0PCTl,parking_record_index_v2,101a0d010119,2017-08-10T08:04:08.096Z,2017-08-10T08:04:07.000Z,2543,fcffff070cff44007cff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,35.0,1502352247.0,1.0959999999999999,-244,68,-132,285.62913016707523,39,2017-08-10 16:04:07,12.770833333333314,-1.6875,1.8333333333333428,13.011646759303314
2083,2083,AV3LLCSh-R03vmj0PCT8,parking_record_index_v2,101a0d010119,2017-08-10T08:04:14.113Z,2017-08-10T08:04:13.000Z,2544,fcffff070bff420084ff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-69.0,27.0,1502352253.0,1.113,-245,66,-124,282.412818405964,39,2017-08-10 16:04:13,11.770833333333314,-3.6875,9.833333333333343,15.774809604415367
2084,2084,AV3LLDzD-R03vmj0PCUa,parking_record_index_v2,101a0d010119,2017-08-10T08:04:20.290Z,2017-08-10T08:04:19.000Z,2545,fcffff070bff470081ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-135.3,-15.3,1502352259.0,1.29,-245,71,-127,284.9473635603601,39,2017-08-10 16:04:19,11.770833333333314,1.3125,6.833333333333343,13.673683412144484
2085,2085,AV3LLGsA-R03vmj0PCVD,parking_record_index_v2,101a0d010119,2017-08-10T08:04:32.127Z,2017-08-10T08:04:31.000Z,2547,fcffff070cff400081ff27,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.8,1502352271.0,1.127,-244,64,-127,282.419900148697,39,2017-08-10 16:04:31,12.770833333333314,-5.6875,6.833333333333343,15.560728926442419
2086,2086,AV3LLI5c-R03vmj0PCVq,parking_record_index_v2,101a0d010119,2017-08-10T08:04:41.179Z,2017-08-10T08:04:40.000Z,2549,fcffff070bff430084ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,30.8,1502352280.0,1.179,-245,67,-124,282.64819122011016,39,2017-08-10 16:04:40,11.770833333333314,-2.6875,9.833333333333343,15.571435966395498
2088,2088,AV3LLKb2-R03vmj0PCWE,parking_record_index_v2,101a0d010119,2017-08-10T08:04:47.478Z,2017-08-10T08:04:46.000Z,2550,fcffff070aff440085ff27,yilan,宜蘭市中山路二段,1010,10.5.180.50,-82.0,27.0,1502352286.0,1.4780000000000002,-246,68,-123,283.3178427137973,39,2017-08-10 16:04:46,10.770833333333314,-1.6875,10.833333333333343,15.36943779243585
2080,2080,AV3LLL10-R03vmj0PCWc,parking_record_index_v2,101a0d010119,2017-08-10T08:04:53.235Z,2017-08-10T08:03:29.000Z,2551,fcffff070bff410083ff27,yilan,宜蘭市中山路二段,1010,192.168.0.225,-95.0,17.0,1502352209.0,84.235,-245,65,-125,282.6216552212516,39,2017-08-10 16:03:29,11.770833333333314,-4.6875,8.833333333333343,15.445159480849934
2091,2091,AV3LLgbz-R03vmj0PCbY,parking_record_index_v2,101a0d010119,2017-08-10T08:06:17.587Z,2017-08-10T08:04:53.000Z,2567,fcffff0768ff5600fffd27,yilan,宜蘭市中山路二段,1010,192.168.0.225,-112.0,-7.0,1502352293.0,84.587,-152,86,-513,541.912354537152,39,2017-08-10 16:04:53,104.77083333333331,16.3125,-379.16666666666663,393.71358407441596
