,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
978,978,AV3LJwCK-R03vmj0PB7u,parking_record_index_v2,101a0d0100da,2017-08-10T07:58:37.193Z,2017-08-10T07:58:36.000Z,1259,fcffff070ffd3aff7e0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-85.0,22.5,1502351916.0,1.193,-753,-198,126,788.7261882301108,32,2017-08-10 15:58:36,-10.954545454545496,-11.863636363636374,-15.636363636363626,22.477628915276927
979,979,AV3LJxiM-R03vmj0PB8J,parking_record_index_v2,101a0d0100da,2017-08-10T07:58:43.340Z,2017-08-10T07:58:42.000Z,1260,fcffff070ffd35ff7f0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-84.0,18.8,1502351922.0,1.34,-753,-203,127,790.1563136493942,32,2017-08-10 15:58:42,-10.954545454545496,-16.863636363636374,-14.636363636363626,24.871820158897293
980,980,AV3LJ2oj-R03vmj0PB9r,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:04.226Z,2017-08-10T07:58:51.000Z,1261,fcffff070cfd3bff7e0020,yilan,宜蘭市中山路二段,1009,10.6.1.11,-114.0,4.5,1502351931.0,13.225999999999999,-756,-197,126,791.3412664584097,32,2017-08-10 15:58:51,-13.954545454545496,-10.863636363636374,-15.636363636363626,23.606011981122386
983,983,AV3LJ4Hr-R03vmj0PB-I,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:10.314Z,2017-08-10T07:59:09.000Z,1264,fcffff0710fd36ff800020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-89.0,17.0,1502351949.0,1.314,-752,-202,128,789.1083575783493,32,2017-08-10 15:59:09,-9.954545454545496,-15.863636363636374,-13.636363636363626,23.166750896650115
984,984,AV3LJ9QU-R03vmj0PB_l,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:31.348Z,2017-08-10T07:59:30.000Z,1267,fcffff070efd39ff840020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-82.0,14.5,1502351970.0,1.348,-754,-199,132,790.9114994738666,32,2017-08-10 15:59:30,-11.954545454545496,-12.863636363636374,-9.636363636363626,20.031070906291895
986,986,AV3LJ-ui-R03vmj0PB_7,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:37.377Z,2017-08-10T07:59:36.000Z,1268,fcffff0710fd3fff7f0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-82.0,21.2,1502351976.0,1.3769999999999998,-752,-193,127,786.6905363610267,32,2017-08-10 15:59:36,-9.954545454545496,-6.863636363636374,-14.636363636363626,18.98487871530159
987,987,AV3LKBpt-R03vmj0PCA3,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:49.356Z,2017-08-10T07:59:48.000Z,1270,fcffff071bfd43ff8c0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-82.0,27.5,1502351988.0,1.3559999999999999,-741,-189,140,777.4329553086877,32,2017-08-10 15:59:48,1.0454545454545041,-2.863636363636374,-1.636363636363626,3.4599240425427302
988,988,AV3LKDH1-R03vmj0PCBV,parking_record_index_v2,101a0d0100da,2017-08-10T07:59:55.381Z,2017-08-10T07:59:54.000Z,1271,fcffff071bfd45ff8b0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-78.0,18.0,1502351994.0,1.381,-741,-187,139,776.7695926077437,32,2017-08-10 15:59:54,1.0454545454545041,-0.863636363636374,-2.636363636363626,2.9646679743854936
989,989,AV3LKEkA-R03vmj0PCBs,parking_record_index_v2,101a0d0100da,2017-08-10T08:00:01.279Z,2017-08-10T08:00:00.000Z,1272,fcffff071afd46ff8a0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-88.0,17.5,1502352000.0,1.2790000000000001,-742,-186,138,777.3056027071977,32,2017-08-10 16:00:00,0.045454545454504114,0.13636363636362603,-3.636363636363626,3.6392034365905515
990,990,AV3LKGuw-R03vmj0PCCS,parking_record_index_v2,101a0d0100da,2017-08-10T08:00:10.160Z,2017-08-10T08:00:09.000Z,1273,fcffff071afd41ff880020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-81.0,19.5,1502352009.0,1.16,-742,-191,136,778.1651495665942,32,2017-08-10 16:00:09,0.045454545454504114,-4.863636363636374,-5.636363636363626,7.444838469349803
992,992,AV3LKJCi-R03vmj0PCC0,parking_record_index_v2,101a0d0100da,2017-08-10T08:00:19.618Z,2017-08-10T08:00:18.000Z,1274,fcffff071afd43ff900020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83.0,23.0,1502352018.0,1.618,-742,-189,144,779.1155241682712,32,2017-08-10 16:00:18,0.045454545454504114,-2.863636363636374,2.363636363636374,3.713388775545487
993,993,AV3LKPij-R03vmj0PCEq,parking_record_index_v2,101a0d0100da,2017-08-10T08:00:46.242Z,2017-08-10T08:00:45.000Z,1278,fcffff071afd3fff900020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-78.0,19.5,1502352045.0,1.242,-742,-193,144,780.0955069733449,32,2017-08-10 16:00:45,0.045454545454504114,-6.863636363636374,2.363636363636374,7.259362720476103
995,995,AV3LKT9F-R03vmj0PCF6,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:04.324Z,2017-08-10T08:01:03.000Z,1280,fcffff071bfd3eff8c0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-99.0,10.0,1502352063.0,1.324,-741,-194,140,778.6635987382484,32,2017-08-10 16:01:03,1.0454545454545041,-7.863636363636374,-1.636363636363626,8.09984185132827
996,996,AV3LKVaa-R03vmj0PCGU,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:10.297Z,2017-08-10T08:01:09.000Z,1281,fcffff071afd44ff8a0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-113.0,21.2,1502352069.0,1.297,-742,-188,138,777.786603124533,32,2017-08-10 16:01:09,0.045454545454504114,-1.863636363636374,-3.636363636363626,4.086361108301367
997,997,AV3LKYVW-R03vmj0PCHR,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:22.261Z,2017-08-10T08:01:21.000Z,1283,fcffff0719fd45ff8d0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-103.3,-0.3,1502352081.0,1.261,-743,-187,141,779.0372263249042,32,2017-08-10 16:01:21,-0.9545454545454959,-0.863636363636374,-0.636363636363626,1.4359608180846941
991,991,AV3LKbpW-R03vmj0PCIN,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:35.829Z,2017-08-10T08:00:10.000Z,1285,fcffff071afd41ff8a0020,yilan,宜蘭市中山路二段,1009,192.168.0.225,-99.8,-6.8,1502352010.0,85.829,-742,-191,138,778.5171802857019,32,2017-08-10 16:00:10,0.045454545454504114,-4.863636363636374,-3.636363636363626,6.072904189039723
1001,1001,AV3LKfuo-R03vmj0PCJt,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:52.551Z,2017-08-10T08:01:51.000Z,1288,fcffff0719fd45ff8c0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-83.0,20.0,1502352111.0,1.551,-743,-187,140,778.8568546273442,32,2017-08-10 16:01:51,-0.9545454545454959,-0.863636363636374,-1.636363636363626,2.081996816472522
1003,1003,AV3LKhIN-R03vmj0PCKJ,parking_record_index_v2,101a0d0100da,2017-08-10T08:01:58.285Z,2017-08-10T08:01:57.000Z,1289,fcffff071afd3fff8a0020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-95.0,8.0,1502352117.0,1.285,-742,-193,138,779.0102695086888,32,2017-08-10 16:01:57,0.045454545454504114,-6.863636363636374,-3.636363636363626,7.767542130159431
1004,1004,AV3LKkD_-R03vmj0PCLA,parking_record_index_v2,101a0d0100da,2017-08-10T08:02:10.303Z,2017-08-10T08:02:09.000Z,1291,fcffff071bfd42ff900020,yilan,宜蘭市中山路二段,1009,10.5.151.1,-89.0,10.5,1502352129.0,1.3030000000000002,-741,-190,144,778.4067060348336,32,2017-08-10 16:02:09,1.0454545454545041,-3.863636363636374,2.363636363636374,4.648380149743453
994,994,AV3LKo0c-R03vmj0PCMm,parking_record_index_v2,101a0d0100da,2017-08-10T08:02:29.786Z,2017-08-10T08:01:01.000Z,1293,fcffff0719fd44ff8a0020,yilan,宜蘭市中山路二段,1009,192.168.0.225,-101.0,-4.0,1502352061.0,88.786,-743,-188,138,778.7406500241271,32,2017-08-10 16:01:01,-0.9545454545454959,-1.863636363636374,-3.636363636363626,4.196121782852467
1009,1009,AV3LKsMN-R03vmj0PCNr,parking_record_index_v2,101a0d0100da,2017-08-10T08:02:43.597Z,2017-08-10T08:02:42.000Z,1296,fcffff0719fd40ff8f0020,yilan,宜蘭市中山路二段,1009,10.5.180.50,-88.0,15.8,1502352162.0,1.597,-743,-192,143,780.6164230913927,32,2017-08-10 16:02:42,-0.9545454545454959,-5.863636363636374,1.363636363636374,6.095317265080113
