,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2337,2337,AV3LJtBL-R03vmj0PB69,parking_record_index_v2,101a0d0101e4,2017-08-10T07:58:24.843Z,2017-08-10T07:58:24.000Z,3163,fcffff070bfe9bff0d0128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-94.0,16.3,1502351904.0,0.843,-501,-101,269,577.549132109122,40,2017-08-10 15:58:24,1.983870967742007,-8.09677419354837,-9.532258064516157,12.663231821556998
2340,2340,AV3LJucI-R03vmj0PB7Q,parking_record_index_v2,101a0d0101e4,2017-08-10T07:58:30.664Z,2017-08-10T07:58:30.000Z,3164,fcffff070bfe9aff0d0128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-91.0,15.8,1502351910.0,0.664,-501,-102,269,577.7248480029226,40,2017-08-10 15:58:30,1.983870967742007,-9.09677419354837,-9.532258064516157,13.324826023389218
2342,2342,AV3LJv6U-R03vmj0PB7r,parking_record_index_v2,101a0d0101e4,2017-08-10T07:58:36.692Z,2017-08-10T07:58:36.000Z,3165,fcffff070cfe96ff120128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,26.2,1502351916.0,0.6920000000000001,-500,-106,274,579.9241329691324,40,2017-08-10 15:58:36,2.983870967742007,-13.09677419354837,-4.5322580645161565,14.176400932264151
2343,2343,AV3LJxWc-R03vmj0PB8F,parking_record_index_v2,101a0d0101e4,2017-08-10T07:58:42.587Z,2017-08-10T07:58:42.000Z,3166,fcffff070bfe9cff150128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,15.0,1502351922.0,0.5870000000000001,-501,-100,277,581.1454206995011,40,2017-08-10 15:58:42,1.983870967742007,-7.09677419354837,-1.5322580645161565,7.526470802915435
2344,2344,AV3LJ1xR-R03vmj0PB9W,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:00.688Z,2017-08-10T07:59:00.000Z,3169,fcffff070bfe98ff100128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-69.0,21.2,1502351940.0,0.688,-501,-104,272,579.4833906161591,40,2017-08-10 15:59:00,1.983870967742007,-11.09677419354837,-6.5322580645161565,13.028604566133975
2345,2345,AV3LJ4sk-R03vmj0PB-Q,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:12.675Z,2017-08-10T07:59:12.000Z,3171,fcffff070dfe9eff0f0128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-94.0,9.5,1502351952.0,0.675,-499,-98,271,576.2343273356769,40,2017-08-10 15:59:12,3.983870967742007,-5.09677419354837,-7.5322580645161565,9.92890963893352
2346,2346,AV3LJ6Ke-R03vmj0PB-m,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:18.685Z,2017-08-10T07:59:18.000Z,3172,fcffff070cfe9bff0e0128,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,17.0,1502351958.0,0.685,-500,-101,270,577.1490275483447,40,2017-08-10 15:59:18,2.983870967742007,-8.09677419354837,-8.532258064516157,12.135100575312324
2347,2347,AV3LJ9HZ-R03vmj0PB_i,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:30.776Z,2017-08-10T07:59:30.000Z,3174,fcffff070bfe9fff110128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,23.0,1502351970.0,0.7759999999999999,-501,-97,273,578.7391467664858,40,2017-08-10 15:59:30,1.983870967742007,-4.09677419354837,-5.5322580645161565,7.164159553079312
2348,2348,AV3LJ9zy-R03vmj0PB_u,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:33.611Z,2017-08-10T07:59:33.000Z,3175,fcffff070afe9dff140128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,30.5,1502351973.0,0.611,-502,-99,276,581.3613334235431,40,2017-08-10 15:59:33,0.983870967742007,-6.09677419354837,-2.5322580645161565,6.674652691608012
2349,2349,AV3LJ-iP-R03vmj0PB_3,parking_record_index_v2,101a0d0101e4,2017-08-10T07:59:36.591Z,2017-08-10T07:59:36.000Z,3176,fcffff070cfe9dff160128,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.2,-4.2,1502351976.0,0.591,-500,-99,278,580.5902169344571,40,2017-08-10 15:59:36,2.983870967742007,-6.09677419354837,-0.5322580645161565,6.808629830332494
