,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2790,2790,AV3LJtFf-R03vmj0PB7A,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:25.118Z,2017-08-10T07:58:24.000Z,2430,fcffff074bff54001aff28,yilan,宜蘭市中山路二段,1015,10.5.180.50,-82.0,25.0,1502351904.0,1.1179999999999999,-181,84,-230,304.49466333582933,40,2017-08-10 15:58:24,0.38888888888888573,-0.6388888888888999,4.583333333333314,4.643959304805674
2792,2792,AV3LJuj9-R03vmj0PB7U,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:31.165Z,2017-08-10T07:58:30.000Z,2431,fcffff074bff560017ff28,yilan,宜蘭市中山路二段,1015,10.5.181.21,-139.0,-16.0,1502351910.0,1.165,-181,86,-233,307.32067942134967,40,2017-08-10 15:58:30,0.38888888888888573,1.3611111111111,1.5833333333333144,2.1238649837350088
2796,2796,AV3LJvNx-R03vmj0PB7i,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:33.840Z,2017-08-10T07:58:33.000Z,2432,fcffff074cff570013ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,22.0,1502351913.0,0.84,-180,87,-237,310.0612842649014,40,2017-08-10 15:58:33,1.3888888888888857,2.3611111111111,-2.4166666666666856,3.6529626062237712
2797,2797,AV3LJv-F-R03vmj0PB7s,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:36.933Z,2017-08-10T07:58:36.000Z,2433,fcffff074cff540013ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-72.0,32.5,1502351916.0,0.9329999999999999,-180,84,-237,309.2329219213245,40,2017-08-10 15:58:36,1.3888888888888857,-0.6388888888888999,-2.4166666666666856,2.8596274470291694
2798,2798,AV3LJxab-R03vmj0PB8H,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:42.842Z,2017-08-10T07:58:42.000Z,2434,fcffff074bff4d0017ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-67.0,22.5,1502351922.0,0.8420000000000001,-181,77,-233,304.9245808392626,40,2017-08-10 15:58:42,0.38888888888888573,-7.6388888888889,1.5833333333333144,7.810941202514324
2799,2799,AV3LJy47-R03vmj0PB8i,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:48.890Z,2017-08-10T07:58:48.000Z,2435,fcffff074bff560013ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-77.0,35.0,1502351928.0,0.89,-181,86,-237,310.36430207096953,40,2017-08-10 15:58:48,0.38888888888888573,1.3611111111111,-2.4166666666666856,2.8007384387816714
2800,2800,AV3LJ0Wg-R03vmj0PB89,parking_record_index_v2,101a0d0100c0,2017-08-10T07:58:54.879Z,2017-08-10T07:58:54.000Z,2436,fcffff074bff500019ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,28.8,1502351934.0,0.879,-181,80,-231,304.1742921418574,40,2017-08-10 15:58:54,0.38888888888888573,-4.6388888888889,3.5833333333333144,5.874589557504062
2801,2801,AV3LJ12X-R03vmj0PB9Y,parking_record_index_v2,101a0d0100c0,2017-08-10T07:59:01.014Z,2017-08-10T07:59:00.000Z,2437,fcffff074cff570014ff28,yilan,宜蘭市中山路二段,1015,10.5.180.50,-83.0,23.3,1502351940.0,1.014,-180,87,-236,309.2975913258944,40,2017-08-10 15:59:00,1.3888888888888857,2.3611111111111,-1.4166666666666856,3.083958895500359
2803,2803,AV3LJ3aq-R03vmj0PB99,parking_record_index_v2,101a0d0100c0,2017-08-10T07:59:07.434Z,2017-08-10T07:59:06.000Z,2438,fcffff074dff4e0015ff28,yilan,宜蘭市中山路二段,1015,10.5.180.50,-84.0,29.5,1502351946.0,1.4340000000000002,-179,78,-235,305.5323223490438,40,2017-08-10 15:59:06,2.3888888888888857,-6.6388888888889,-0.4166666666666856,7.067902582349335
2805,2805,AV3LJ6Nn-R03vmj0PB-n,parking_record_index_v2,101a0d0100c0,2017-08-10T07:59:18.886Z,2017-08-10T07:59:18.000Z,2440,fcffff074dff580017ff28,yilan,宜蘭市中山路二段,1015,10.5.151.1,-75.0,25.0,1502351958.0,0.8859999999999999,-179,88,-233,306.71485128698936,40,2017-08-10 15:59:18,2.3888888888888857,3.3611111111111,1.5833333333333144,4.417103402585869
