,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2549,2549,AV3LN9mX-R03vmj0PDDl,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:01.334Z,2017-08-10T08:17:00.000Z,3201,fcffff07f9fef00078ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,29.5,1502353020.0,1.334,-263,240,-136,381.13645850272576,39,2017-08-10 16:17:00,1.7358490566037972,-3.2830188679245396,3.2830188679245396,4.956772914065092
2551,2551,AV3LOBRD-R03vmj0PDEp,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:16.354Z,2017-08-10T08:17:15.000Z,3204,fcffff07f1fee50078ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-94.0,14.5,1502353035.0,1.354,-271,229,-136,379.9710515289289,39,2017-08-10 16:17:15,-6.264150943396203,-14.28301886792454,3.2830188679245396,15.938081061102947
2553,2553,AV3LODfM-R03vmj0PDFU,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:25.452Z,2017-08-10T08:17:24.000Z,3206,fcffff07f0fee20073ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,25.0,1502353044.0,1.452,-272,226,-141,380.71117661555456,39,2017-08-10 16:17:24,-7.264150943396203,-17.28301886792454,-1.7169811320754604,18.826010047946504
2554,2554,AV3LOFCJ-R03vmj0PDFs,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:31.784Z,2017-08-10T08:17:30.000Z,3207,fcffff07ecfedf0072ff27,yilan,宜蘭市中山路二段,1014,10.5.180.50,-93.0,14.5,1502353050.0,1.784,-276,223,-142,382.1897434521235,39,2017-08-10 16:17:30,-11.264150943396203,-20.28301886792454,-2.7169811320754604,23.359450707245887
2556,2556,AV3LOFom-R03vmj0PDF0,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:34.245Z,2017-08-10T08:17:33.000Z,3208,fcffff07ecfedf0072ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,28.0,1502353053.0,1.245,-276,223,-142,382.1897434521235,39,2017-08-10 16:17:33,-11.264150943396203,-20.28301886792454,-2.7169811320754604,23.359450707245887
2557,2557,AV3LOIoK-R03vmj0PDGe,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:46.506Z,2017-08-10T08:17:45.000Z,3212,fcffff07ebfee30077ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,20.5,1502353065.0,1.506,-277,227,-137,383.44099937278486,39,2017-08-10 16:17:45,-12.264150943396203,-16.28301886792454,2.2830188679245396,20.51239325302857
2558,2558,AV3LOJVQ-R03vmj0PDGs,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:49.390Z,2017-08-10T08:17:48.000Z,3213,fcffff07ebfee40077ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,25.0,1502353068.0,1.39,-277,228,-137,384.0338526744745,40,2017-08-10 16:17:48,-12.264150943396203,-15.28301886792454,2.2830188679245396,19.72795577932602
2559,2559,AV3LOKCY-R03vmj0PDG3,parking_record_index_v2,101a0d0100e4,2017-08-10T08:17:52.280Z,2017-08-10T08:17:51.000Z,3214,fcffff07ebfee60076ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,22.5,1502353071.0,1.28,-277,230,-138,385.5813792184472,40,2017-08-10 16:17:51,-12.264150943396203,-13.28301886792454,1.2830188679245396,18.124406915082645
2561,2561,AV3LONyF-R03vmj0PDH1,parking_record_index_v2,101a0d0100e4,2017-08-10T08:18:07.620Z,2017-08-10T08:18:06.000Z,3217,fcffff07ecfee10077ff27,yilan,宜蘭市中山路二段,1014,192.168.88.113,-81.0,20.0,1502353086.0,1.62,-276,225,-137,381.53636786026044,39,2017-08-10 16:18:06,-11.264150943396203,-18.28301886792454,2.2830188679245396,21.595417350720446
2564,2564,AV3LOPJ2-R03vmj0PDIP,parking_record_index_v2,101a0d0100e4,2017-08-10T08:18:13.237Z,2017-08-10T08:18:12.000Z,3218,fcffff07ecfede0072ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-86.5,-8.5,1502353092.0,1.237,-276,222,-142,381.6071278160302,39,2017-08-10 16:18:12,-11.264150943396203,-21.28301886792454,-2.7169811320754604,24.23282845810822
