,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2168,2168,AV3LN9zi-R03vmj0PDDq,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:02.177Z,2017-08-10T08:17:01.000Z,2713,fcffff07e7fe30002fff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,21.3,1502353021.0,1.177,-281,48,-209,353.47701481143014,42,2017-08-10 16:17:01,31.866666666666674,-7.0444444444444585,33.422222222222246,46.7135267374121
2170,2170,AV3LN_Tm-R03vmj0PDEA,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:08.322Z,2017-08-10T08:17:07.000Z,2714,fcffff07d4fe270028ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-79.0,30.0,1502353027.0,1.3219999999999998,-300,39,-216,371.7216700704978,42,2017-08-10 16:17:07,12.866666666666674,-16.04444444444446,26.422222222222246,33.48296784639126
2171,2171,AV3LOADS-R03vmj0PDET,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:11.377Z,2017-08-10T08:17:10.000Z,2715,fcffff07d4fe270029ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-88.0,27.5,1502353030.0,1.3769999999999998,-300,39,-215,371.14148245648863,42,2017-08-10 16:17:10,12.866666666666674,-16.04444444444446,27.422222222222246,34.277595893628764
2173,2173,AV3LOAu8-R03vmj0PDEk,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:14.171Z,2017-08-10T08:17:13.000Z,2716,fcffff07d4fe280029ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-85.0,32.0,1502353033.0,1.171,-300,40,-215,371.2478956169314,42,2017-08-10 16:17:13,12.866666666666674,-15.044444444444458,27.422222222222246,33.821068749494394
2174,2174,AV3LOBgl-R03vmj0PDEw,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:17.348Z,2017-08-10T08:17:16.000Z,2717,fcffff07d4fe260026ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-78.0,23.0,1502353036.0,1.348,-300,38,-218,372.78411983345,42,2017-08-10 16:17:16,12.866666666666674,-17.04444444444446,24.422222222222246,32.44239719568317
2175,2175,AV3LOCMN-R03vmj0PDE-,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:20.141Z,2017-08-10T08:17:19.000Z,2718,fcffff07d5fe240027ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-84.0,33.0,1502353039.0,1.141,-299,36,-217,371.1953663503897,42,2017-08-10 16:17:19,13.866666666666674,-19.04444444444446,25.422222222222246,34.659265591729245
2176,2176,AV3LOFHW-R03vmj0PDFw,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:32.118Z,2017-08-10T08:17:31.000Z,2722,fcffff07cffe240029ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-81.0,32.0,1502353051.0,1.1179999999999999,-305,36,-215,374.8946518690284,42,2017-08-10 16:17:31,7.866666666666674,-19.04444444444446,27.422222222222246,34.30092681323517
2177,2177,AV3LOF6L-R03vmj0PDF6,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:35.370Z,2017-08-10T08:17:34.000Z,2723,fcffff07cffe260029ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.16,-106.0,9.5,1502353054.0,1.37,-305,38,-215,375.09198871743445,42,2017-08-10 16:17:34,7.866666666666674,-17.04444444444446,27.422222222222246,33.2321501331036
2180,2180,AV3LOHVI-R03vmj0PDGK,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:41.191Z,2017-08-10T08:17:40.000Z,2725,fcffff07cffe2a0028ff2a,yilan,宜蘭市中山路二段,1012,10.5.151.1,-83.0,29.5,1502353060.0,1.1909999999999998,-305,42,-216,376.0917441263501,42,2017-08-10 16:17:40,7.866666666666674,-13.044444444444458,26.422222222222246,30.498783622779737
2181,2181,AV3LOIE6-R03vmj0PDGU,parking_record_index_v2,101a0d0100a3,2017-08-10T08:17:44.249Z,2017-08-10T08:17:43.000Z,2726,fcffff07d0fe2a0028ff2a,yilan,宜蘭市中山路二段,1012,10.5.180.50,-89.0,25.0,1502353063.0,1.249,-304,42,-216,375.2812278811718,42,2017-08-10 16:17:43,8.866666666666674,-13.044444444444458,26.422222222222246,30.771888726603553
