,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2267,2267,AV3LN9i7-R03vmj0PDDj,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:01.115Z,2017-08-10T08:17:00.000Z,3359,fcffff0726ff98007bff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,31.2,1502353020.0,1.115,-218,152,-133,297.1817625629137,40,2017-08-10 16:17:00,1.0,-2.230769230769255,1.8846153846154152,3.0867631118820835
2269,2269,AV3LOAGM-R03vmj0PDEU,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:11.564Z,2017-08-10T08:17:11.000Z,3361,fcffff0726ff830080ff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-77.0,17.5,1502353031.0,0.564,-218,131,-128,284.7261842542761,40,2017-08-10 16:17:11,1.0,-23.230769230769255,6.884615384615415,24.250083877119657
2270,2270,AV3LOCTA-R03vmj0PDE_,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:20.575Z,2017-08-10T08:17:20.000Z,3364,fcffff0725ff850080ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-91.0,21.3,1502353040.0,0.575,-219,133,-128,286.41578168809065,40,2017-08-10 16:17:20,0.0,-21.230769230769255,6.884615384615415,22.319128368380827
2271,2271,AV3LOEtV-R03vmj0PDFl,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:30.452Z,2017-08-10T08:17:29.000Z,3367,fcffff0722ff86007aff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,25.0,1502353049.0,1.452,-222,134,-134,291.8835384190071,40,2017-08-10 16:17:29,-3.0,-20.230769230769255,0.8846153846154152,20.47111545684158
2272,2272,AV3LOH6I-R03vmj0PDGS,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:43.559Z,2017-08-10T08:17:42.000Z,3370,fcffff0720ff80007bff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,22.0,1502353062.0,1.5590000000000002,-224,128,-133,290.25678286648184,40,2017-08-10 16:17:42,-5.0,-26.230769230769255,1.8846153846154152,26.769479441815825
2273,2273,AV3LOIoF-R03vmj0PDGd,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:46.500Z,2017-08-10T08:17:45.000Z,3371,fcffff0720ff80007cff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,34.5,1502353065.0,1.5,-224,128,-132,289.7999309868793,40,2017-08-10 16:17:45,-5.0,-26.230769230769255,2.8846153846154152,26.858411352033293
2274,2274,AV3LOJRk-R03vmj0PDGp,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:49.155Z,2017-08-10T08:17:48.000Z,3372,fcffff0720ff80007cff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-73.0,23.0,1502353068.0,1.155,-224,128,-132,289.7999309868793,40,2017-08-10 16:17:48,-5.0,-26.230769230769255,2.8846153846154152,26.858411352033293
2277,2277,AV3LOKVd-R03vmj0PDG5,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:53.500Z,2017-08-10T08:17:53.000Z,3373,fcffff0720ff81007cff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-114.0,-7.0,1502353073.0,0.5,-224,129,-132,290.24300163828235,40,2017-08-10 16:17:53,-5.0,-25.230769230769255,2.8846153846154152,25.882672232470366
2278,2278,AV3LOLf2-R03vmj0PDHQ,parking_record_index_v2,101a0d01019a,2017-08-10T08:17:58.261Z,2017-08-10T08:17:57.000Z,3374,fcffff0720ff81007cff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-71.0,32.5,1502353077.0,1.261,-224,129,-132,290.24300163828235,40,2017-08-10 16:17:57,-5.0,-25.230769230769255,2.8846153846154152,25.882672232470366
2279,2279,AV3LOM-V-R03vmj0PDHl,parking_record_index_v2,101a0d01019a,2017-08-10T08:18:04.308Z,2017-08-10T08:18:03.000Z,3375,fcffff0720ff81007dff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-72.0,27.0,1502353083.0,1.308,-224,129,-131,289.78957883264195,40,2017-08-10 16:18:03,-5.0,-25.230769230769255,3.8846153846154152,26.013111168461247
2281,2281,AV3LONrF-R03vmj0PDHw,parking_record_index_v2,101a0d01019a,2017-08-10T08:18:07.172Z,2017-08-10T08:18:06.000Z,3376,fcffff0720ff80007dff28,yilan,宜蘭市中山路二段,1001,10.5.151.1,-70.0,32.0,1502353086.0,1.172,-224,128,-131,289.3458138629277,40,2017-08-10 16:18:06,-5.0,-26.230769230769255,3.8846153846154152,26.984134062894473
2282,2282,AV3LOOwq-R03vmj0PDIH,parking_record_index_v2,101a0d01019a,2017-08-10T08:18:11.625Z,2017-08-10T08:18:11.000Z,3377,fcffff0720ff81007bff28,yilan,宜蘭市中山路二段,1001,192.168.88.113,-74.0,19.5,1502353091.0,0.625,-224,129,-133,290.69915720552063,40,2017-08-10 16:18:11,-5.0,-25.230769230769255,1.8846153846154152,25.790375939956007
2284,2284,AV3LOQ8n-R03vmj0PDIq,parking_record_index_v2,101a0d01019a,2017-08-10T08:18:20.583Z,2017-08-10T08:18:20.000Z,3380,fcffff0720ff850079ff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-91.0,16.3,1502353100.0,0.583,-224,133,-135,293.4109745732085,40,2017-08-10 16:18:20,-5.0,-21.230769230769255,-0.11538461538458478,21.811897573105508
2285,2285,AV3LOTIz-R03vmj0PDJQ,parking_record_index_v2,101a0d01019a,2017-08-10T08:18:29.554Z,2017-08-10T08:18:29.000Z,3383,fcffff0720ff80007cff28,yilan,宜蘭市中山路二段,1001,10.5.180.50,-93.0,16.3,1502353109.0,0.5539999999999999,-224,128,-132,289.7999309868793,40,2017-08-10 16:18:29,-5.0,-26.230769230769255,2.8846153846154152,26.858411352033293
2276,2276,AV3LOfPy-R03vmj0PDMo,parking_record_index_v2,101a0d01019a,2017-08-10T08:19:19.153Z,2017-08-10T08:17:48.000Z,3393,fcffff0721ff840078ff28,yilan,宜蘭市中山路二段,1001,192.168.0.225,-94.2,-3.2,1502353068.0,91.15299999999999,-223,132,-136,292.65850406232863,40,2017-08-10 16:17:48,-4.0,-22.230769230769255,-1.1153846153845848,22.615286499002256
