,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3881,3881,AV3LM-oa-R03vmj0PCxv,parking_record_index_v2,101a0d0100b8,2017-08-10T08:12:43.418Z,2017-08-10T08:12:42.000Z,3274,fcffff07fbfe18005aff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-66.2,-1.2,1502352762.0,1.4180000000000001,-261,24,-166,310.24667604988133,36,2017-08-10 16:12:42,7.660714285714278,9.107142857142858,17.267857142857167,20.971539874169427
3882,3882,AV3LNA2B-R03vmj0PCyS,parking_record_index_v2,101a0d0100b8,2017-08-10T08:12:52.481Z,2017-08-10T08:12:51.000Z,3276,fcffff07fefe0e0058ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,27.5,1502352771.0,1.4809999999999999,-258,14,-168,308.19474362811576,36,2017-08-10 16:12:51,10.660714285714278,-0.8928571428571423,15.267857142857167,18.642840038306346
3884,3884,AV3LNBl5-R03vmj0PCyc,parking_record_index_v2,101a0d0100b8,2017-08-10T08:12:55.544Z,2017-08-10T08:12:54.000Z,3277,fcffff07fdfe0c0055ff24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-133.5,-14.5,1502352774.0,1.544,-259,12,-171,310.58976158270247,36,2017-08-10 16:12:54,9.660714285714278,-2.8928571428571423,12.267857142857167,15.880753818277492
3885,3885,AV3LNDC3-R03vmj0PCyx,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:01.494Z,2017-08-10T08:13:00.000Z,3278,fcffff07fdfe170054ff24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-136.0,-15.0,1502352780.0,1.494,-259,23,-172,311.7595227094114,36,2017-08-10 16:13:00,9.660714285714278,8.107142857142858,11.267857142857167,16.912119039557513
3887,3887,AV3LNDyN-R03vmj0PCy7,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:04.524Z,2017-08-10T08:13:03.000Z,3279,fcffff07fcfe1a0057ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-69.0,30.0,1502352783.0,1.524,-260,26,-169,311.1864392932314,36,2017-08-10 16:13:03,8.660714285714278,11.107142857142858,14.267857142857167,20.04864937687163
3888,3888,AV3LNEgs-R03vmj0PCzG,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:07.499Z,2017-08-10T08:13:06.000Z,3280,fcffff07fefe130059ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-67.0,26.2,1502352786.0,1.499,-258,19,-167,307.91882047059084,36,2017-08-10 16:13:06,10.660714285714278,4.107142857142858,16.267857142857167,19.878697833384887
3889,3889,AV3LNFN8-R03vmj0PCzY,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:10.393Z,2017-08-10T08:13:09.000Z,3281,fcffff07fafe080057ff24,yilan,宜蘭市中山路二段,1008,10.5.180.16,-109.0,8.8,1502352789.0,1.393,-262,8,-169,311.87978453243807,36,2017-08-10 16:13:09,6.660714285714278,-6.892857142857142,14.267857142857167,17.18861081753657
3890,3890,AV3LNGs6-R03vmj0PCzv,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:16.474Z,2017-08-10T08:13:15.000Z,3283,fcffff07f8fe0e0053ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,5.0,1502352795.0,1.474,-264,14,-173,315.94461539959815,36,2017-08-10 16:13:15,4.660714285714278,-0.8928571428571423,10.267857142857167,11.311425278749585
3891,3891,AV3LNHcN-R03vmj0PC0A,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:19.501Z,2017-08-10T08:13:18.000Z,3284,fcffff07f7fe0f0059ff24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-134.3,-13.3,1502352798.0,1.501,-265,15,-167,313.59049730500436,36,2017-08-10 16:13:18,3.6607142857142776,0.10714285714285765,16.267857142857167,16.674995792919358
3895,3895,AV3LNI53-R03vmj0PC0a,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:25.495Z,2017-08-10T08:13:24.000Z,3285,fcffff07f7fe08005aff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-67.0,24.5,1502352804.0,1.495,-265,8,-166,312.8018542144532,36,2017-08-10 16:13:24,3.6607142857142776,-6.892857142857142,17.267857142857167,18.94970181769604
3896,3896,AV3LNKUD-R03vmj0PC0w,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:31.266Z,2017-08-10T08:13:30.000Z,3286,fcffff07f8fe090053ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-68.5,-1.5,1502352810.0,1.266,-264,9,-173,315.7625690293262,36,2017-08-10 16:13:30,4.660714285714278,-5.892857142857142,10.267857142857167,12.723085838950649
3897,3897,AV3LNLEx-R03vmj0PC1A,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:34.384Z,2017-08-10T08:13:33.000Z,3287,fcffff07f8fe0a0051ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,23.8,1502352813.0,1.3840000000000001,-264,10,-175,316.8927263286426,36,2017-08-10 16:13:33,4.660714285714278,-4.892857142857142,8.267857142857167,10.678004046082938
3898,3898,AV3LNLx4-R03vmj0PC1P,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:37.272Z,2017-08-10T08:13:36.000Z,3288,fcffff07f8fe0b0052ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-67.0,27.0,1502352816.0,1.272,-264,11,-174,316.3747777557497,36,2017-08-10 16:13:36,4.660714285714278,-3.8928571428571423,9.267857142857167,11.080152093187333
3899,3899,AV3LNMkc-R03vmj0PC1a,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:40.507Z,2017-08-10T08:13:39.000Z,3289,fcffff07f8fe090052ff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-64.0,22.5,1502352819.0,1.507,-264,9,-174,316.3115552742264,36,2017-08-10 16:13:39,4.660714285714278,-5.892857142857142,9.267857142857167,11.930683089395687
3901,3901,AV3LNOt--R03vmj0PC19,parking_record_index_v2,101a0d0100b8,2017-08-10T08:13:49.309Z,2017-08-10T08:13:48.000Z,3291,fcffff07f6fe0a005aff24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73.0,-8.0,1502352828.0,1.3090000000000002,-266,10,-166,313.70686954544044,36,2017-08-10 16:13:48,2.6607142857142776,-4.892857142857142,17.267857142857167,18.143823793146126
