,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
1640,1640,AV3LNFAx-R03vmj0PCzT,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:09.552Z,2017-08-10T08:13:09.000Z,2900,fcffff0722ffbdff6bff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-136.8,-15.8,1502352789.0,0.552,-222,-67,-149,275.63381505178205,33,2017-08-10 16:13:09,24.03448275862067,0.3448275862068897,11.379310344827587,26.594434971672996
1641,1641,AV3LNGfJ-R03vmj0PCzq,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:15.592Z,2017-08-10T08:13:15.000Z,2901,fcffff0721ffadff61ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-115.5,-2.5,1502352795.0,0.5920000000000001,-223,-83,-159,286.18001327835594,33,2017-08-10 16:13:15,23.03448275862067,-15.65517241379311,1.3793103448275872,27.885019567684186
1642,1642,AV3LNHNP-R03vmj0PCz1,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:18.542Z,2017-08-10T08:13:18.000Z,2902,fcffff071effb1ff60ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-134.0,-14.0,1502352798.0,0.542,-226,-79,-160,287.9531211846817,33,2017-08-10 16:13:18,20.03448275862067,-11.65517241379311,0.3793103448275872,23.181186762942183
1644,1644,AV3LNIsj-R03vmj0PC0S,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:24.642Z,2017-08-10T08:13:24.000Z,2903,fcffff0719ffb2ff66ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-133.0,-13.0,1502352804.0,0.642,-231,-78,-154,288.37649002649295,33,2017-08-10 16:13:24,15.034482758620669,-10.65517241379311,6.379310344827587,19.500358239338684
1645,1645,AV3LNLmV-R03vmj0PC1F,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:36.532Z,2017-08-10T08:13:36.000Z,2905,fcffff071dffacff62ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-132.5,-13.5,1502352816.0,0.532,-227,-84,-158,289.0484388471939,33,2017-08-10 16:13:36,19.03448275862067,-16.65517241379311,2.379310344827587,25.40408273759173
1647,1647,AV3LNND0-R03vmj0PC1h,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:42.515Z,2017-08-10T08:13:42.000Z,2906,fcffff071cffadff66ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-130.0,-9.0,1502352822.0,0.515,-228,-83,-154,287.3830196793123,33,2017-08-10 16:13:42,18.03448275862067,-15.65517241379311,6.379310344827587,24.718871174715872
1649,1649,AV3LNOjn-R03vmj0PC14,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:48.646Z,2017-08-10T08:13:48.000Z,2907,fcffff071cffb4ff67ff21,yilan,宜蘭市中山路二段,1004,10.5.180.50,-83.0,28.3,1502352828.0,0.6459999999999999,-228,-76,-153,284.90173744643965,33,2017-08-10 16:13:48,18.03448275862067,-8.65517241379311,7.379310344827587,21.321557144091305
1650,1650,AV3LNP-Y-R03vmj0PC2Q,parking_record_index_v2,101a0d0100b5,2017-08-10T08:13:54.455Z,2017-08-10T08:13:54.000Z,2908,fcffff071effb3ff61ff21,yilan,宜蘭市中山路二段,1004,10.5.151.1,-79.0,18.0,1502352834.0,0.455,-226,-77,-159,286.85536425174274,33,2017-08-10 16:13:54,20.03448275862067,-9.65517241379311,1.3793103448275872,22.28240002272845
1643,1643,AV3LNbtT-R03vmj0PC5p,parking_record_index_v2,101a0d0100b5,2017-08-10T08:14:42.515Z,2017-08-10T08:13:19.000Z,2920,fcffff071cffb0ff66ff21,yilan,宜蘭市中山路二段,1004,192.168.0.225,-98.0,11.2,1502352799.0,83.515,-228,-80,-154,286.53097563788805,33,2017-08-10 16:13:19,18.03448275862067,-12.65517241379311,6.379310344827587,22.936685847555236
1648,1648,AV3LNhnV-R03vmj0PC7b,parking_record_index_v2,101a0d0100b5,2017-08-10T08:15:06.709Z,2017-08-10T08:13:43.000Z,2928,fcffff071dffacff60ff21,yilan,宜蘭市中山路二段,1004,192.168.0.225,-105.0,7.5,1502352823.0,83.709,-227,-84,-160,290.1465147128257,33,2017-08-10 16:13:43,19.03448275862067,-16.65517241379311,0.3793103448275872,25.295259997855243
