,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3285,3285,AV3LM_TD-R03vmj0PCx7,parking_record_index_v2,101a0d0100cc,2017-08-10T08:12:46.146Z,2017-08-10T08:12:45.000Z,2749,fcffff0709ff040067ff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,32.0,1502352765.0,1.146,-247,4,-153,290.5752914478449,39,2017-08-10 16:12:45,51.419354838709694,22.387096774193548,-19.69354838709677,59.438775240420014
3287,3287,AV3LNBdH-R03vmj0PCyb,parking_record_index_v2,101a0d0100cc,2017-08-10T08:12:54.982Z,2017-08-10T08:12:54.000Z,2751,fcffff07f5fedfff5aff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,13.8,1502352774.0,0.982,-267,-33,-166,316.12339362976604,39,2017-08-10 16:12:54,31.419354838709694,-14.612903225806452,-32.69354838709677,47.64011865336791
3288,3288,AV3LNCOM-R03vmj0PCym,parking_record_index_v2,101a0d0100cc,2017-08-10T08:12:58.123Z,2017-08-10T08:12:57.000Z,2752,fcffff070ffff6ff66ff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-67.0,26.2,1502352777.0,1.123,-241,-10,-154,286.17651895290084,39,2017-08-10 16:12:57,57.419354838709694,8.387096774193548,-20.69354838709677,61.60802421148123
3290,3290,AV3LNC8y-R03vmj0PCyt,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:01.105Z,2017-08-10T08:13:00.000Z,2753,fcffff0709ff03005eff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-85.0,18.8,1502352780.0,1.105,-247,3,-162,295.40142179752615,39,2017-08-10 16:13:00,51.419354838709694,21.387096774193548,-28.69354838709677,62.64724798026264
3292,3292,AV3LNEeB-R03vmj0PCzF,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:07.329Z,2017-08-10T08:13:06.000Z,2754,fcffff070ffff7ff6fff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-133.5,-12.5,1502352786.0,1.329,-241,-9,-145,281.401847897273,39,2017-08-10 16:13:06,57.419354838709694,9.387096774193548,-11.693548387096769,59.34508378815471
3294,3294,AV3LNHX7-R03vmj0PCz8,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:19.226Z,2017-08-10T08:13:18.000Z,2756,fcffff07d2fee5ff46ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-82.0,21.3,1502352798.0,1.226,-302,-27,-186,355.70915085220963,39,2017-08-10 16:13:18,-3.580645161290306,-8.612903225806452,-52.69354838709677,53.51273832809799
3297,3297,AV3LNIEd-R03vmj0PC0G,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:22.076Z,2017-08-10T08:13:21.000Z,2757,fcffff07d2fee4ff47ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-134.3,-13.3,1502352801.0,1.0759999999999998,-302,-28,-185,355.2646900551756,39,2017-08-10 16:13:21,-3.580645161290306,-9.612903225806452,-51.69354838709677,52.7015357750503
3299,3299,AV3LNIy8-R03vmj0PC0X,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:25.051Z,2017-08-10T08:13:24.000Z,2758,fcffff07cffee2ff48ff27,yilan,宜蘭市中山路二段,1002,192.168.88.113,-69.0,17.0,1502352804.0,1.051,-305,-30,-184,357.46468357027936,39,2017-08-10 16:13:24,-6.580645161290306,-11.612903225806452,-50.69354838709677,52.42137216961876
3303,3303,AV3LNJkO-R03vmj0PC0i,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:28.205Z,2017-08-10T08:13:27.000Z,2759,fcffff07d2fee1ff45ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-135.8,-15.8,1502352807.0,1.205,-302,-31,-187,356.55855059162445,39,2017-08-10 16:13:27,-3.580645161290306,-12.612903225806452,-53.69354838709677,55.2711813330612
3305,3305,AV3LNLDc-R03vmj0PC0-,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:34.299Z,2017-08-10T08:13:33.000Z,2760,fcffff07d4fedfff44ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-133.3,-12.3,1502352813.0,1.2990000000000002,-300,-33,-188,355.57418353980654,39,2017-08-10 16:13:33,-1.580645161290306,-14.612903225806452,-54.69354838709677,56.63408527542747
3307,3307,AV3LNLv7-R03vmj0PC1M,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:37.147Z,2017-08-10T08:13:36.000Z,2761,fcffff07d4fee1ff40ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-85.0,28.8,1502352816.0,1.147,-300,-31,-192,357.52622281449516,39,2017-08-10 16:13:36,-1.580645161290306,-12.612903225806452,-58.69354838709677,60.05427869167974
3309,3309,AV3LNNRc-R03vmj0PC1m,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:43.388Z,2017-08-10T08:13:42.000Z,2762,fcffff07d3fee0ff44ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-136.3,-15.3,1502352822.0,1.3880000000000001,-301,-32,-188,356.3270969207927,39,2017-08-10 16:13:42,-2.580645161290306,-13.612903225806452,-54.69354838709677,56.421229150518855
3311,3311,AV3LNN72-R03vmj0PC1x,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:46.102Z,2017-08-10T08:13:45.000Z,2763,fcffff07d2fee2ff47ff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-70.0,29.5,1502352825.0,1.102,-302,-30,-185,355.42791111560166,39,2017-08-10 16:13:45,-3.580645161290306,-11.612903225806452,-51.69354838709677,53.10276344929831
3312,3312,AV3LNOrc-R03vmj0PC18,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:49.147Z,2017-08-10T08:13:48.000Z,2764,fcffff07d3fee5ff48ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-85.0,28.3,1502352828.0,1.147,-301,-27,-184,353.8163365363448,39,2017-08-10 16:13:48,-2.580645161290306,-8.612903225806452,-50.69354838709677,51.484732489355714
3315,3315,AV3LNPaC-R03vmj0PC2I,parking_record_index_v2,101a0d0100cc,2017-08-10T08:13:52.130Z,2017-08-10T08:13:51.000Z,2765,fcffff07d3fee7ff48ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-136.0,-15.0,1502352831.0,1.13,-301,-25,-184,353.6693370932798,39,2017-08-10 16:13:51,-2.580645161290306,-6.612903225806452,-50.69354838709677,51.18814380886744
