,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT
0,AV3KlMCI-R03vmj0O2ZY,parking_record_index_v2,101a0d0100da,2017-08-10T05:18:52.552Z,2017-08-10T05:17:29.000Z,273,fcffff074cfc2200ec0021,yilan,宜蘭市中山路二段,1009,192.168.0.225,-118.0,-13.0,1502342249.0,83.552,-948,34,236,977.5254472390988,33
1,AV3Klb3N-R03vmj0O2dr,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:57.388Z,2017-08-10T05:18:26.000Z,289,fcffff074cfc2300eb0021,yilan,宜蘭市中山路二段,1009,192.168.0.225,-113.0,-10.0,1502342306.0,91.388,-948,35,235,977.3198043629321,33
2,AV3KlL9b-R03vmj0O2ZW,parking_record_index_v2,101a0d0100da,2017-08-10T05:18:52.250Z,2017-08-10T05:18:51.000Z,273,fcffff074cfc2200ec0021,yilan,宜蘭市中山路二段,1009,192.168.88.113,-90.0,16.3,1502342331.0,1.25,-948,34,236,977.5254472390988,33
3,AV3KlL9C-R03vmj0O2ZV,parking_record_index_v2,101a0d0100da,2017-08-10T05:18:52.226Z,2017-08-10T05:18:51.000Z,273,fcffff074cfc2200ec0021,yilan,宜蘭市中山路二段,1009,10.5.180.16,-124.5,-10.5,1502342331.0,1.226,-948,34,236,977.5254472390988,33
4,AV3KlNfF-R03vmj0O2Z1,parking_record_index_v2,101a0d0100da,2017-08-10T05:18:58.500Z,2017-08-10T05:18:57.000Z,274,fcffff074cfc2000ed0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-96.0,22.5,1502342337.0,1.5,-948,32,237,977.6998516927371,33
5,AV3KlitX-R03vmj0O2fm,parking_record_index_v2,101a0d0100da,2017-08-10T05:20:25.430Z,2017-08-10T05:19:02.000Z,297,fcffff0749fc2200f00020,yilan,宜蘭市中山路二段,1009,192.168.0.225,-114.5,-7.5,1502342342.0,83.43,-951,34,240,981.4056246017749,32
6,AV3KlPr9-R03vmj0O2aW,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:07.516Z,2017-08-10T05:19:06.000Z,276,fcffff074afc2300f00021,yilan,宜蘭市中山路二段,1009,10.5.180.50,-99.0,9.5,1502342346.0,1.516,-950,35,240,980.4718251943806,33
7,AV3KlSkJ-R03vmj0O2bC,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:19.304Z,2017-08-10T05:19:18.000Z,279,fcffff074afc2100ef0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-96.0,25.5,1502342358.0,1.304,-950,33,239,980.1581505042949,33
8,AV3KlSjK-R03vmj0O2a_,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:19.241Z,2017-08-10T05:19:18.000Z,279,fcffff074afc2100ef0021,yilan,宜蘭市中山路二段,1009,10.5.180.50,-99.0,10.0,1502342358.0,1.241,-950,33,239,980.1581505042949,33
9,AV3KlTUq-R03vmj0O2bT,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:22.409Z,2017-08-10T05:19:21.000Z,280,fcffff074afc2100ed0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-96.0,20.0,1502342361.0,1.409,-950,33,237,979.6723942216602,33
10,AV3KlUEL-R03vmj0O2bn,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:25.450Z,2017-08-10T05:19:24.000Z,281,fcffff074cfc2000ec0021,yilan,宜蘭市中山路二段,1009,10.5.180.16,-123.2,-8.2,1502342364.0,1.45,-948,32,236,977.4579274833266,33
11,AV3KlUCa-R03vmj0O2bk,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:25.337Z,2017-08-10T05:19:24.000Z,281,fcffff074cfc2000ec0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-100.0,22.0,1502342364.0,1.337,-948,32,236,977.4579274833266,33
12,AV3KlUAr-R03vmj0O2bh,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:25.227Z,2017-08-10T05:19:24.000Z,281,fcffff074cfc2000ec0021,yilan,宜蘭市中山路二段,1009,192.168.88.113,-89.0,15.8,1502342364.0,1.227,-948,32,236,977.4579274833266,33
13,AV3KlVEX-R03vmj0O2bx,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:29.558Z,2017-08-10T05:19:27.000Z,282,fcffff074cfc2400eb0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-96.0,19.5,1502342367.0,2.558,-948,36,235,977.3561275195444,33
14,AV3KlWQc-R03vmj0O2cM,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:34.427Z,2017-08-10T05:19:33.000Z,284,fcffff074afc2600f00021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-99.0,25.5,1502342373.0,1.427,-950,38,240,980.5834997591995,33
15,AV3KlXt8-R03vmj0O2ci,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:40.411Z,2017-08-10T05:19:39.000Z,286,fcffff074bfc2200ee0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-96.0,22.0,1502342379.0,1.411,-949,34,238,978.9795707776542,33
16,AV3KlYdy-R03vmj0O2cw,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:43.473Z,2017-08-10T05:19:42.000Z,287,fcffff074cfc2100ea0021,yilan,宜蘭市中山路二段,1009,10.5.151.1,-95.0,16.2,1502342382.0,1.473,-948,33,234,977.0102353609199,33
17,AV3KlYaT-R03vmj0O2cu,parking_record_index_v2,101a0d0100da,2017-08-10T05:19:43.250Z,2017-08-10T05:19:42.000Z,287,fcffff074cfc2100ea0021,yilan,宜蘭市中山路二段,1009,10.5.180.50,-99.0,10.8,1502342382.0,1.25,-948,33,234,977.0102353609199,33
